# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_1.01.0.sql,rev_1.01.1.1.sql,56,56,709,709,0,0,0,0,0,0,0
rev_1.01.1.1.sql,rev_1.02.sql,56,56,709,709,0,0,0,0,0,0,0
rev_1.02.sql,rev_1.03.sql,56,55,709,703,0,1,0,6,0,0,0
rev_1.03.sql,rev_1.04.sql,55,57,703,716,2,0,13,0,0,0,0
rev_1.04.sql,rev_1.05.sql,57,57,716,716,0,0,0,0,0,0,0
rev_1.05.sql,rev_1.06.sql,57,57,716,716,0,0,0,0,3,0,3
rev_1.06.sql,rev_1.07.sql,57,57,716,716,0,0,1,2,0,0,0
rev_1.07.sql,rev_1.08.sql,57,57,716,716,0,0,0,0,9,0,9
rev_1.08.sql,rev_1.09.sql,57,57,716,716,0,0,0,0,1,0,1
rev_1.09.sql,rev_1.10.sql,57,57,716,716,0,0,6,6,0,0,0
rev_1.10.sql,rev_1.11.sql,57,57,716,716,0,0,0,0,0,0,0
rev_1.11.sql,rev_1.12.sql,57,57,716,718,0,0,3,2,0,0,0
rev_1.12.sql,rev_1.13.0.sql,57,58,718,732,1,0,14,0,0,0,0
rev_1.13.0.sql,rev_1.13.2.1.sql,58,58,732,732,0,0,0,0,1,0,1
rev_1.13.2.1.sql,rev_1.14.sql,58,58,732,732,0,0,0,0,20,0,20
rev_1.14.sql,rev_1.15.0.sql,58,58,732,732,0,0,0,0,1,0,1
rev_1.15.0.sql,rev_1.15.2.1.sql,58,58,732,732,0,0,0,0,1,0,1
rev_1.15.2.1.sql,rev_1.16.sql,58,59,732,740,1,0,8,0,2,0,2
rev_1.16.sql,rev_1.17.sql,59,59,740,742,0,0,2,0,0,0,0
rev_1.17.sql,rev_1.18.sql,59,59,742,742,0,0,0,0,56,0,56
rev_1.18.sql,rev_1.19.sql,59,59,742,742,0,0,0,0,0,0,0
rev_1.19.sql,rev_1.20.sql,59,59,742,742,0,0,0,0,0,0,0
rev_1.20.sql,rev_1.21.sql,59,51,742,700,0,8,0,42,1,0,1
rev_1.21.sql,rev_1.22.sql,51,51,700,700,0,0,3,6,0,0,0
rev_1.22.sql,rev_1.23.sql,51,51,700,700,0,0,0,0,2,0,2
rev_1.23.sql,rev_1.24.sql,51,51,700,700,0,0,0,0,2,0,2
rev_1.24.sql,rev_1.25.sql,51,51,700,700,0,0,1,2,4,0,4
rev_1.25.sql,rev_1.26.sql,51,51,700,700,0,0,0,0,6,0,6
rev_1.26.sql,rev_1.27.sql,51,52,700,708,1,0,8,0,0,0,0
rev_1.27.sql,rev_1.28.sql,52,52,708,706,0,0,0,4,0,0,0
rev_1.28.sql,rev_1.29.sql,52,53,706,714,1,0,8,0,0,0,0
rev_1.29.sql,rev_1.30.sql,53,53,714,715,0,0,1,0,0,0,0
rev_1.30.sql,rev_1.31.sql,53,53,715,768,0,0,53,0,0,0,0
rev_1.31.sql,rev_1.32.sql,53,55,768,728,2,0,12,104,0,0,0
rev_1.32.sql,rev_1.33.sql,55,55,728,731,0,0,3,0,1,1,2
