table;dur;birth;death;chngs;s@s;s@e;sAvg
Files2Delete;194;0;-;0;16;16;16.0
TapeAccessSpecification;140;0;139;0;4;4;4.0
TapeDriveCompability;1;0;0;0;4;4;4.0
GcPolicy;28;160;-;0;7;7;7.0
GCFile;194;0;-;0;3;3;3.0
Id2Type;194;0;-;0;2;2;2.0
StageUpdateNextRequest;194;0;-;0;17;17;17.0
GetUpdateFailed;194;0;-;2;16;18;16.494844
WhiteList;82;112;-;0;4;4;4.0
StagePrepareToGetRequest;194;0;-;0;15;15;15.0
TapePool;194;0;-;3;2;3;2.1494846
CleanupJobLog;34;160;-;0;3;3;3.0
RepackRequest;1;70;70;0;7;7;7.0
StageGetNextRequest;194;0;-;0;17;17;17.0
TapeDriveDedication;140;0;139;7;8;10;9.65
PutFailed;194;0;-;2;16;18;16.494844
FileSystem;194;0;-;23;14;18;17.025774
CastorConfig;34;160;-;0;4;4;4.0
SetFileGCWeight;153;41;-;1;16;16;16.0
Stream;194;0;-;3;5;8;6.4484534
VersionQuery;79;115;-;0;15;15;15.0
Client;193;0;-;2;3;5;3.746114
Disk2DiskCopyStartRequest;62;132;-;3;20;21;21.403225
SubRequest;194;0;-;154;17;22;19.195877
StagePutDoneRequest;194;0;-;0;17;17;17.0
StageRequestQueryRequest;187;0;186;0;15;15;15.0
Stream2TapeCopy;194;0;-;0;2;2;2.0
LockTable;194;0;-;0;2;2;2.0
TapeDrive;140;0;139;3;16;15;15.007143
DiskPoolQuery;134;54;-;0;16;16;16.0
StagePrepareToPutRequest;194;0;-;0;15;15;15.0
RepackSubRequest;1;70;70;0;6;6;6.0
ChangePrivilege;34;160;-;0;16;16;16.0
GetUpdateStartRequest;194;0;-;2;18;20;18.494844
DiskCopy;194;0;-;11;7;13;7.6804123
NbTapeCopiesInFS;194;0;-;0;3;3;3.0
StageDiskCopyReplicaRequest;62;132;-;5;17;18;17.612904
TapeRequestState;9;185;-;0;9;9;9.0
GCLocalFile;194;0;-;7;3;10;4.0670104
StagePrepareToUpdateRequest;194;0;-;0;15;15;15.0
NsFilesDeleted;62;132;-;0;16;16;16.0
PutStartRequest;194;0;-;2;18;20;18.494844
StagePutRequest;194;0;-;0;15;15;15.0
Disk2DiskCopyDoneRequest;194;0;-;4;17;19;17.494844
TapeCopy;194;0;-;0;4;4;4.0
StageFileQueryRequest;194;0;-;0;16;16;16.0
StageRepackRequest;121;73;-;0;16;16;16.0
DiskServer;194;0;-;10;3;11;7.14433
FilesDeletionFailed;194;0;-;0;15;15;15.0
StageGetRequest;188;0;-;0;15;15;15.0
RequestType;34;160;-;0;3;3;3.0
TapeRequest;140;0;139;3;9;10;9.921429
QueryParameter;194;0;-;0;4;4;4.0
RepackSegment;1;70;70;0;6;6;6.0
Type2Obj;62;132;-;0;3;3;3.0
Accounting;9;185;-;2;3;3;3.0
StgFilesDeleted;48;146;-;1;15;16;15.875
StageFindRequestRequest;187;0;186;0;15;15;15.0
BlackList;82;112;-;0;4;4;4.0
CastorVersion;194;0;-;6;1;2;1.6340206
FileSystemsToCheck;51;142;-;0;2;2;2.0
ClientIdentification;139;0;139;0;7;7;7.0
Segment;194;0;-;2;18;20;18.494844
SvcClass2TapePool;194;0;-;0;2;2;2.0
TapeDriveCompatibility;139;1;139;0;4;4;4.0
FileClass;194;0;-;2;5;3;4.6494846
BWUser;34;160;-;0;4;4;4.0
DeviceGroupName;140;0;139;5;2;3;2.95
DiskPool2SvcClass;194;0;-;0;2;2;2.0
ErrorHistory;140;0;139;1;5;5;5.0
PriorityMap;34;160;-;0;3;3;3.0
StageUpdateRequest;194;0;-;0;15;15;15.0
StageReleaseFilesRequest;194;0;-;0;15;15;15.0
TapeServer;140;0;139;1;4;3;3.0785713
Tape;194;0;-;0;10;10;10.0
FilesDeleted;194;0;-;0;15;15;15.0
SvcClass;194;0;-;21;9;13;10.541237
CastorFile;194;0;-;5;9;10;10.164948
BaseAddress;193;0;-;0;5;5;5.0
StageRmRequest;194;0;-;0;15;15;15.0
TapeDrive2TapeDriveComp;139;1;139;0;2;2;2.0
newRequests;194;0;-;2;3;3;3.0
GetUpdateDone;194;0;-;2;16;18;16.494844
FirstByteWritten;62;132;-;2;16;18;17.548388
StageAbortRequest;194;0;-;0;17;17;17.0
FileSystemGC;29;60;88;0;2;2;2.0
MoverCloseRequest;194;0;-;5;17;22;18.154638
StagePutNextRequest;194;0;-;0;17;17;17.0
ListPrivileges;34;160;-;0;18;18;18.0
DiskPool;194;0;-;0;2;2;2.0
PutDoneStart;194;0;-;2;18;20;18.494844
