# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_1.01.sql,rev_1.02.sql,11,11,54,54,1,1,4,4,0,8,8
rev_1.02.sql,rev_1.03.sql,11,13,54,57,2,0,3,0,0,9,9
rev_1.03.sql,rev_1.04.sql,13,12,57,55,0,1,13,24,3,0,3
rev_1.04.sql,rev_1.05.sql,12,12,55,58,1,1,7,4,0,0,0
rev_1.05.sql,rev_1.06.sql,12,12,58,58,0,0,0,0,1,0,1
rev_1.06.sql,rev_1.07.sql,12,12,58,52,2,2,11,17,0,0,0
rev_1.07.sql,rev_1.08.sql,12,12,52,52,0,0,1,2,0,0,0
rev_1.08.sql,rev_1.09.sql,12,12,52,53,0,0,1,0,0,0,0
rev_1.09.sql,rev_1.10.sql,12,12,53,54,0,0,1,0,0,0,0
rev_1.10.sql,rev_1.11.sql,12,12,54,56,0,0,2,0,0,0,0
rev_1.11.sql,rev_1.12.sql,12,10,56,58,2,4,12,10,0,1,1
rev_1.12.sql,rev_1.13.sql,10,9,58,50,0,1,2,14,0,0,0
rev_1.13.sql,rev_1.14.sql,9,9,50,50,0,0,2,3,0,0,0
rev_1.14.sql,rev_1.15.sql,9,9,50,51,0,0,2,2,4,0,4
rev_1.15.sql,rev_1.16.sql,9,9,51,53,0,0,2,0,0,0,0
rev_1.16.sql,rev_1.17.sql,9,9,53,54,0,0,1,0,0,0,0
rev_1.17.sql,rev_1.18.sql,9,10,54,64,1,0,10,0,0,0,0
rev_1.18.sql,rev_1.19.sql,10,10,64,66,0,0,2,0,0,0,0
rev_1.19.sql,rev_1.20.sql,10,10,66,66,0,0,0,0,1,0,1
rev_1.20.sql,rev_1.21.sql,10,9,66,62,0,1,2,8,0,0,0
rev_1.21.sql,rev_1.22.sql,9,9,62,62,0,0,5,9,0,0,0
rev_1.22.sql,rev_1.23.sql,9,9,62,63,0,0,1,0,0,0,0
rev_1.23.sql,rev_1.24.sql,9,9,63,63,0,0,0,0,0,0,0
rev_1.24.sql,rev_1.25.sql,9,9,63,69,0,0,6,0,1,0,1
rev_1.25.sql,rev_1.26.sql,9,9,69,69,0,0,0,0,0,0,0
rev_1.26.sql,rev_1.27.sql,9,9,69,69,0,0,0,0,0,0,0
rev_1.27.sql,rev_1.28.sql,9,9,69,69,0,0,0,0,0,0,0
rev_1.28.sql,rev_1.29.sql,9,9,69,72,0,0,3,0,0,0,0
rev_1.29.sql,rev_1.30.sql,9,9,72,73,0,0,1,0,0,0,0
rev_1.30.sql,rev_1.31.sql,9,9,73,73,0,0,0,0,0,0,0
rev_1.31.sql,rev_1.32.sql,9,9,73,73,0,0,2,3,0,0,0
rev_1.32.sql,rev_1.33.sql,9,9,73,73,0,0,0,0,0,0,0
rev_1.33.sql,rev_1.34.0.sql,9,9,73,73,0,0,0,0,0,0,0
rev_1.34.0.sql,rev_1.34.4.1.sql,9,9,73,73,0,0,0,0,0,0,0
rev_1.34.4.1.sql,rev_1.35.sql,9,9,73,73,0,0,0,0,0,0,0
rev_1.35.sql,rev_1.36.sql,9,9,73,74,0,0,1,0,1,0,1
rev_1.36.sql,rev_1.37.sql,9,9,74,74,0,0,0,0,0,0,0
rev_1.37.sql,rev_1.38.sql,9,9,74,74,0,0,0,0,0,0,0
rev_1.38.sql,rev_1.39.sql,9,9,74,74,0,0,1,2,0,0,0
rev_1.39.sql,rev_1.40.sql,9,9,74,74,0,0,0,0,0,0,0
rev_1.40.sql,rev_1.41.sql,9,10,74,77,1,0,3,0,0,0,0
rev_1.41.sql,rev_1.42.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.42.sql,rev_1.43.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.43.sql,rev_1.44.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.44.sql,rev_1.45.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.45.sql,rev_1.46.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.46.sql,rev_1.47.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.47.sql,rev_1.48.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.48.sql,rev_1.49.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.49.sql,rev_1.50.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.50.sql,rev_1.51.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.51.sql,rev_1.52.0.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.52.0.sql,rev_1.52.2.1.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.52.2.1.sql,rev_1.52.2.2.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.52.2.2.sql,rev_1.52.2.3.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.52.2.3.sql,rev_1.53.sql,10,10,77,77,0,0,0,0,0,0,0
rev_1.53.sql,rev_1.54.sql,10,11,77,84,1,0,8,2,0,0,0
rev_1.54.sql,rev_1.55.sql,11,11,84,84,0,0,0,0,0,0,0
