table;dur;birth;death;chngs;s@s;s@e;sAvg
CastorVersion;57;2;-;6;1;2;1.6140351
CopySubRequest;42;17;-;6;8;14;13.142858
FilePin;11;0;10;4;2;3;2.3636363
Id2Type;57;2;-;1;2;2;2.0
ObjStatus;2;57;-;0;4;4;4.0
Pin;48;11;-;1;6;7;6.9791665
Request;3;0;2;1;6;6;6.0
RequestStatus;4;0;3;1;4;4;4.0
RequestStatusHistory;8;4;11;0;4;4;4.0
SrmUser;58;1;-;2;4;5;4.6551723
StageRequest;59;0;-;35;7;20;15.20339
StorageArea;53;6;-;11;9;9;9.113208
StorageRequest;6;0;5;11;13;15;13.833333
SubRequest;48;11;-;13;6;12;11.333333
Type2Obj;18;41;-;0;3;3;3.0
User;1;0;0;0;4;4;4.0
UserFile;59;0;-;15;7;6;5.237288
UserFile2StageRequest;11;0;10;0;2;2;2.0
UserFile2StorageArea;5;6;10;0;2;2;2.0
UserFile2StorageReques;6;0;5;0;2;2;2.0
UserPermission;20;0;19;3;4;4;4.0
UserPin;11;0;10;1;3;3;3.0
