trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_1.01.sql;rev_1.02.sql;FilePin;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;Request;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;RequestStatus;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;SrmUser;Insertion:NewTable;castorUser;VARCHAR2(2048);false;0;-
1;rev_1.01.sql;rev_1.02.sql;SrmUser;Insertion:NewTable;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;SrmUser;Insertion:NewTable;userID;VARCHAR2(2048);false;0;-
1;rev_1.01.sql;rev_1.02.sql;SrmUser;Insertion:NewTable;vo;VARCHAR2(2048);false;0;-
1;rev_1.01.sql;rev_1.02.sql;StageRequest;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;StorageRequest;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;User;Deletion:DeleteTable;castorUser;VARCHAR2(2048);false;0;-
1;rev_1.01.sql;rev_1.02.sql;User;Deletion:DeleteTable;id;INTEGER;true;0;-
1;rev_1.01.sql;rev_1.02.sql;User;Deletion:DeleteTable;userID;VARCHAR2(2048);false;0;-
1;rev_1.01.sql;rev_1.02.sql;User;Deletion:DeleteTable;vo;VARCHAR2(2048);false;0;-
1;rev_1.01.sql;rev_1.02.sql;UserFile;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;UserPermission;Update:KeyChange;id;INTEGER;false;0;-
1;rev_1.01.sql;rev_1.02.sql;UserPin;Update:KeyChange;id;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;CastorVersion;Insertion:NewTable;version;VARCHAR2(2048);false;0;-
2;rev_1.02.sql;rev_1.03.sql;FilePin;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;Id2Type;Insertion:NewTable;id;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;Id2Type;Insertion:NewTable;type;NUMBER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;Request;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;RequestStatus;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;SrmUser;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;StageRequest;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;StorageRequest;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;UserFile;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;UserPermission;Update:KeyChange;id;INTEGER;true;0;-
2;rev_1.02.sql;rev_1.03.sql;UserPin;Update:KeyChange;id;INTEGER;true;0;-
