# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_000004.sql,rev_000046.sql,8,8,85,87,0,0,2,0,0,0,0
rev_000046.sql,rev_000126.sql,8,8,87,89,0,0,2,0,0,0,0
rev_000126.sql,rev_000131.sql,8,9,89,93,1,0,4,0,0,0,0
rev_000131.sql,rev_000257.sql,9,10,93,96,1,0,3,0,0,0,0
rev_000257.sql,rev_000451.sql,10,11,96,99,1,0,3,0,0,0,0
rev_000451.sql,rev_000478.sql,11,12,99,107,1,0,8,0,0,0,0
rev_000478.sql,rev_000487.sql,12,12,107,108,0,0,1,0,0,0,0
rev_000487.sql,rev_000562.sql,12,12,108,108,0,0,0,0,0,0,0
rev_000562.sql,rev_000593.sql,12,13,108,115,1,0,7,0,0,0,0
rev_000593.sql,rev_000785.sql,13,13,115,115,0,0,1,2,0,0,0
rev_000785.sql,rev_000811.sql,13,13,115,115,0,0,0,0,0,1,1
rev_000811.sql,rev_000831.sql,13,13,115,116,0,0,1,0,0,0,0
rev_000831.sql,rev_000854.sql,13,13,116,117,0,0,1,0,0,0,0
rev_000854.sql,rev_000861.sql,13,14,117,118,1,0,2,2,0,0,0
rev_000861.sql,rev_000869.sql,14,15,118,120,1,0,2,0,0,0,0
rev_000869.sql,rev_000870.sql,15,15,120,122,0,0,6,7,0,0,0
rev_000870.sql,rev_000914.sql,15,15,122,122,0,0,0,0,1,0,1
rev_000914.sql,rev_000951.sql,15,15,122,122,0,0,0,0,0,0,0
rev_000951.sql,rev_000980.sql,15,15,122,123,0,0,1,0,0,0,0
rev_000980.sql,rev_001057.sql,15,16,123,127,1,0,4,0,0,0,0
rev_001057.sql,rev_001177.sql,16,16,127,128,0,0,1,0,0,0,0
rev_001177.sql,rev_001196.sql,16,16,128,128,0,0,0,0,0,0,0
rev_001196.sql,rev_001197.sql,16,16,128,128,0,0,0,0,0,0,0
rev_001197.sql,rev_001210.sql,16,16,128,129,0,0,1,0,0,0,0
rev_001210.sql,rev_001226.sql,16,16,129,130,0,0,1,0,0,0,0
rev_001226.sql,rev_001360.sql,16,17,130,132,1,0,2,0,0,0,0
rev_001360.sql,rev_001491.sql,17,19,132,148,2,0,16,0,0,0,0
rev_001491.sql,rev_001512.sql,19,19,148,148,0,0,0,0,0,0,0
rev_001512.sql,rev_001518.sql,19,19,148,148,0,0,0,0,0,0,0
rev_001518.sql,rev_001585.sql,19,19,148,148,0,0,0,0,0,0,0
rev_001585.sql,rev_001606.sql,19,19,148,148,0,0,0,0,0,0,0
rev_001606.sql,rev_001699.sql,19,19,148,148,0,0,0,0,0,0,0
rev_001699.sql,rev_001823.sql,19,19,148,148,0,0,0,0,0,0,0
rev_001823.sql,rev_002023.sql,19,19,148,150,0,0,2,0,1,0,1
rev_002023.sql,rev_002036.sql,19,20,150,154,1,0,4,0,0,0,0
rev_002036.sql,rev_002247.sql,20,20,154,154,0,0,0,0,1,0,1
rev_002247.sql,rev_002337.sql,20,20,154,152,0,0,0,4,0,0,0
rev_002337.sql,rev_002338.sql,20,20,152,147,0,0,0,10,0,0,0
rev_002338.sql,rev_002425.sql,20,20,147,146,0,0,0,2,0,0,0
rev_002425.sql,rev_002566.sql,20,20,146,146,0,0,0,0,0,0,0
rev_002566.sql,rev_002586.sql,20,20,146,146,0,0,0,0,0,0,0
rev_002586.sql,rev_002634.sql,20,20,146,146,0,0,0,0,0,0,0
rev_002634.sql,rev_002656.sql,20,20,146,146,0,0,0,0,0,0,0
rev_002656.sql,rev_002891.sql,20,20,146,146,0,0,0,0,0,0,0
rev_002891.sql,rev_002985.sql,20,20,146,146,0,0,0,0,0,0,0
rev_002985.sql,rev_003083.sql,20,20,146,147,0,0,1,0,0,0,0
rev_003083.sql,rev_003121.sql,20,20,147,147,0,0,0,0,0,0,0
rev_003121.sql,rev_003235.sql,20,20,147,147,0,0,0,0,0,0,0
rev_003235.sql,rev_003241.sql,20,20,147,147,0,0,0,0,0,0,0
rev_003241.sql,rev_003308.sql,20,20,147,147,0,0,0,0,0,0,0
rev_003308.sql,rev_003313.sql,20,20,147,148,0,0,1,0,0,0,0
rev_003313.sql,rev_003317.sql,20,20,148,148,0,0,0,0,0,0,0
rev_003317.sql,rev_003358.sql,20,20,148,149,0,0,1,0,0,0,0
rev_003358.sql,rev_003405.sql,20,20,149,149,0,0,0,0,0,0,0
rev_003405.sql,rev_003430.sql,20,20,149,150,0,0,1,0,0,0,0
rev_003430.sql,rev_003465.sql,20,21,150,154,1,0,4,0,0,0,0
rev_003465.sql,rev_003467.sql,21,21,154,154,0,0,0,0,1,0,1
rev_003467.sql,rev_003482.sql,21,21,154,154,0,0,0,0,0,0,0
rev_003482.sql,rev_003586.sql,21,21,154,154,0,0,0,0,0,0,0
rev_003586.sql,rev_003763.sql,21,21,154,154,0,0,0,0,0,0,0
rev_003763.sql,rev_003786.sql,21,21,154,154,0,0,0,0,0,0,0
rev_003786.sql,rev_003877.sql,21,21,154,154,0,0,0,0,0,0,0
rev_003877.sql,rev_003973.sql,21,21,154,154,0,0,0,0,1,0,1
rev_003973.sql,rev_003975.sql,21,21,154,154,0,0,0,0,1,0,1
rev_003975.sql,rev_004123.sql,21,22,154,158,1,0,4,0,0,0,0
rev_004123.sql,rev_004162.sql,22,22,158,158,0,0,0,0,0,0,0
rev_004162.sql,rev_004224.sql,22,22,158,158,0,0,0,0,0,0,0
rev_004224.sql,rev_004260.sql,22,22,158,157,0,0,0,2,0,0,0
