;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
archive;12;12;12;12;12;12;12;12;16;16;16;18;17;17;17;17;17;
attachments;15;15;15;15;15;15;15;15;15;15;15;15;0;0;0;0;0;
banips;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;
bans;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;
banusers;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;
brokenlinks;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
comments;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;
config;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
group_grants;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
groups;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
links;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
linkscc;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;
logging;8;8;8;8;8;8;8;8;0;0;0;0;0;0;0;0;0;
objectcache;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;
old;12;12;12;12;12;12;12;12;14;14;14;16;15;13;13;13;13;
page_viewcount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;
pages;20;20;20;20;20;20;20;21;23;23;23;25;25;25;25;25;25;
pagesub;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;
query_log;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;
query_result_log;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;
query_result_popularity;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;
query_term_map;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;
query_terms;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;
querycache;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;
ratings;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;
ratingscomputed;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;
recentchanges;19;19;19;19;19;19;19;19;20;20;20;20;19;19;19;19;19;
requestlog;0;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;
requeststats;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
resourcecontents;0;0;0;0;0;0;0;0;0;0;7;7;7;7;7;7;7;
resourcefilemap;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;
resourcerevs;0;0;0;0;0;0;0;0;0;0;18;19;19;19;19;19;19;
resources;0;0;0;0;0;0;0;0;0;0;24;25;25;25;25;25;25;
restrictions;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
roles;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;
service_config;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
service_prefs;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
services;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;
site_stats;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;
tag_map;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
tags;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
transactions;0;0;0;0;0;0;0;0;11;11;11;11;11;11;11;11;11;
user_grants;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
user_groups;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
user_registrations;9;9;9;9;9;9;9;9;9;9;0;0;0;0;0;0;0;
users;14;14;14;14;14;14;14;14;14;14;16;16;16;16;16;17;17;
watchlist;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
