trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_006316;rev_006297.sql;rev_006316.sql;35;35;307;307;0;0;0;0;0;0;0;0
2;rev_006396;rev_006316.sql;rev_006396.sql;35;35;307;307;0;0;0;0;0;0;0;0
3;rev_006452;rev_006396.sql;rev_006452.sql;35;35;307;307;0;0;0;0;0;0;0;0
4;rev_006659;rev_006452.sql;rev_006659.sql;35;35;307;307;0;0;0;0;0;0;0;0
5;rev_006691;rev_006659.sql;rev_006691.sql;35;35;307;307;0;0;0;0;0;0;0;0
6;rev_006692;rev_006691.sql;rev_006692.sql;35;35;307;307;0;0;0;0;0;0;0;0
7;rev_006694;rev_006692.sql;rev_006694.sql;35;35;307;307;0;0;0;0;0;0;0;0
8;rev_006700;rev_006694.sql;rev_006700.sql;35;35;307;307;0;0;0;0;0;0;0;0
9;rev_006701;rev_006700.sql;rev_006701.sql;35;35;307;307;0;0;0;0;0;0;0;0
10;rev_006716;rev_006701.sql;rev_006716.sql;35;35;307;307;0;0;0;0;0;0;0;0
11;rev_006722;rev_006716.sql;rev_006722.sql;35;35;307;307;0;0;0;0;0;0;0;0
12;rev_006985;rev_006722.sql;rev_006985.sql;35;35;307;307;0;0;0;0;0;0;0;0
13;rev_007033;rev_006985.sql;rev_007033.sql;35;35;307;307;0;0;0;0;0;0;0;0
14;rev_007104;rev_007033.sql;rev_007104.sql;35;35;307;307;0;0;0;0;0;0;0;0
15;rev_007106;rev_007104.sql;rev_007106.sql;35;35;307;307;0;0;0;0;0;0;0;0
16;rev_007122;rev_007106.sql;rev_007122.sql;35;35;307;316;0;0;9;0;0;0;0;0
17;rev_007127;rev_007122.sql;rev_007127.sql;35;35;316;316;0;0;0;0;0;0;0;0
18;rev_007239;rev_007127.sql;rev_007239.sql;35;35;316;316;0;0;0;0;0;0;0;0
19;rev_007240;rev_007239.sql;rev_007240.sql;35;35;316;316;0;0;0;0;0;0;0;0
20;rev_007300;rev_007240.sql;rev_007300.sql;35;35;316;316;0;0;0;0;0;0;0;0
21;rev_007332;rev_007300.sql;rev_007332.sql;35;35;316;316;0;0;0;0;0;0;0;0
22;rev_007427;rev_007332.sql;rev_007427.sql;35;34;316;313;0;1;0;0;0;0;0;3
23;rev_007618;rev_007427.sql;rev_007618.sql;34;34;313;313;0;0;1;1;0;0;0;0
24;rev_007803;rev_007618.sql;rev_007803.sql;34;34;313;313;0;0;0;0;0;0;0;0
25;rev_008237;rev_007803.sql;rev_008237.sql;34;34;313;313;0;0;0;0;1;0;0;0
26;rev_008260;rev_008237.sql;rev_008260.sql;34;35;313;316;1;0;0;0;0;0;3;0
27;rev_008460;rev_008260.sql;rev_008460.sql;35;35;316;316;0;0;0;0;0;0;0;0
28;rev_008540;rev_008460.sql;rev_008540.sql;35;35;316;316;0;0;0;0;0;0;0;0
29;rev_008585;rev_008540.sql;rev_008585.sql;35;35;316;316;0;0;0;0;0;0;0;0
30;rev_008588;rev_008585.sql;rev_008588.sql;35;35;316;316;0;0;0;0;0;0;0;0
31;rev_008776;rev_008588.sql;rev_008776.sql;35;35;316;316;0;0;0;0;0;0;0;0
32;rev_008856;rev_008776.sql;rev_008856.sql;35;36;316;321;1;0;0;0;0;0;5;0
33;rev_008859;rev_008856.sql;rev_008859.sql;36;36;321;321;0;0;0;0;0;0;0;0
34;rev_009280;rev_008859.sql;rev_009280.sql;36;36;321;321;0;0;0;0;0;0;0;0
35;rev_009340;rev_009280.sql;rev_009340.sql;36;36;321;321;0;0;0;0;0;0;0;0
36;rev_009426;rev_009340.sql;rev_009426.sql;36;36;321;321;0;0;0;0;0;0;0;0
37;rev_009540;rev_009426.sql;rev_009540.sql;36;36;321;321;0;0;0;0;0;0;0;0
38;rev_009569;rev_009540.sql;rev_009569.sql;36;36;321;321;0;0;0;0;0;0;0;0
39;rev_009638;rev_009569.sql;rev_009638.sql;36;36;321;321;0;0;0;0;0;0;0;0
40;rev_009728;rev_009638.sql;rev_009728.sql;36;36;321;321;0;0;0;0;0;0;0;0
41;rev_009898;rev_009728.sql;rev_009898.sql;36;36;321;321;0;0;0;0;0;0;0;0
42;rev_009904;rev_009898.sql;rev_009904.sql;36;36;321;321;0;0;0;0;0;0;0;0
43;rev_010124;rev_009904.sql;rev_010124.sql;36;36;321;321;0;0;0;0;0;0;0;0
44;rev_010131;rev_010124.sql;rev_010131.sql;36;36;321;321;0;0;0;0;0;0;0;0
45;rev_010255;rev_010131.sql;rev_010255.sql;36;36;321;321;0;0;0;0;0;0;0;0
