table;dur;birth;death;chngs;s@s;s@e;sAvg
#__banner;46;0;-;1;23;24;23.652174
#__bannerclient;46;0;-;0;8;8;8.0
#__bannertrack;46;0;-;0;3;3;3.0
#__categories;46;0;-;1;16;17;16.652174
#__components;46;0;-;0;13;13;13.0
#__contact_details;46;0;-;1;25;26;25.652174
#__content;46;0;-;1;29;30;29.652174
#__content_frontpage;46;0;-;0;2;2;2.0
#__content_rating;46;0;-;0;4;4;4.0
#__core_acl_aro;46;0;-;0;6;6;6.0
#__core_acl_aro_groups;46;0;-;0;6;6;6.0
#__core_acl_aro_map;20;26;-;0;3;3;3.0
#__core_acl_aro_sections;46;0;-;2;5;5;5.0
#__core_acl_groups_aro_map;46;0;-;0;3;3;3.0
#__core_log_items;46;0;-;0;4;4;4.0
#__core_log_searches;46;0;-;0;2;2;2.0
#__groups;46;0;-;0;2;2;2.0
#__menu;46;0;-;1;20;21;20.652174
#__menu_types;46;0;-;0;4;4;4.0
#__messages;46;0;-;0;9;9;9.0
#__messages_cfg;46;0;-;0;3;3;3.0
#__migration_backlinks;14;32;-;0;5;5;5.0
#__modules;46;0;-;0;16;16;16.0
#__modules_menu;46;0;-;0;2;2;2.0
#__newsfeeds;46;0;-;1;12;13;12.652174
#__plugins;46;0;-;0;12;12;12.0
#__poll_data;46;0;-;0;4;4;4.0
#__poll_date;46;0;-;0;4;4;4.0
#__poll_menu;46;0;-;0;2;2;2.0
#__polls;46;0;-;1;8;9;8.652174
#__sections;46;0;-;1;14;15;14.652174
#__session;46;0;-;1;9;9;9.0
#__stats_agents;46;0;-;0;3;3;3.0
#__template_positions;22;0;21;0;3;3;3.0
#__templates_menu;46;0;-;0;3;3;3.0
#__users;46;0;-;0;13;13;13.0
#__weblinks;46;0;-;1;15;16;15.652174
