trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1168995197.sql;1169169353.sql;-;-;-;-;-;-;-
2;1169169353.sql;1170114031.sql;-;-;-;-;-;-;-
3;1170114031.sql;1170352158.sql;-;-;-;-;-;-;-
4;1170352158.sql;1171760248.sql;-;-;-;-;-;-;-
5;1171760248.sql;1172050166.sql;-;-;-;-;-;-;-
6;1172050166.sql;1172050314.sql;-;-;-;-;-;-;-
7;1172050314.sql;1172088171.sql;-;-;-;-;-;-;-
8;1172088171.sql;1172185833.sql;-;-;-;-;-;-;-
9;1172185833.sql;1172193123.sql;-;-;-;-;-;-;-
10;1172193123.sql;1172295206.sql;-;-;-;-;-;-;-
11;1172295206.sql;1172404068.sql;-;-;-;-;-;-;-
12;1172404068.sql;1174408674.sql;-;-;-;-;-;-;-
13;1174408674.sql;1174869153.sql;-;-;-;-;-;-;-
14;1174869153.sql;1176049034.sql;-;-;-;-;-;-;-
15;1176049034.sql;1176061868.sql;-;-;-;-;-;-;-
16;1176061868.sql;1176193659.sql;#__banner;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__categories;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__contact_details;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__content;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__menu;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__newsfeeds;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__polls;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__sections;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;1176061868.sql;1176193659.sql;#__weblinks;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
17;1176193659.sql;1176313472.sql;-;-;-;-;-;-;-
18;1176313472.sql;1178048305.sql;-;-;-;-;-;-;-
