trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_1.001.2.02;rev_1.001.2.01.sql;rev_1.001.2.02.sql;42;42;259;259;0;0;0;0;2;0;0;0
2;rev_1.001.2.03;rev_1.001.2.02.sql;rev_1.001.2.03.sql;42;41;259;258;0;1;7;0;2;0;0;8
3;rev_1.001.2.04;rev_1.001.2.03.sql;rev_1.001.2.04.sql;41;41;258;258;0;0;0;0;0;0;0;0
4;rev_1.001.2.05;rev_1.001.2.04.sql;rev_1.001.2.05.sql;41;42;258;265;1;0;0;0;0;0;7;0
5;rev_1.001.2.06;rev_1.001.2.05.sql;rev_1.001.2.06.sql;42;42;265;265;0;0;0;0;1;0;0;0
6;rev_1.001.2.07;rev_1.001.2.06.sql;rev_1.001.2.07.sql;42;42;265;265;0;0;0;0;1;0;0;0
7;rev_1.001.2.08;rev_1.001.2.07.sql;rev_1.001.2.08.sql;42;42;265;265;0;0;1;1;0;0;0;0
8;rev_1.001.2.09;rev_1.001.2.08.sql;rev_1.001.2.09.sql;42;42;265;265;0;0;1;1;1;0;0;0
9;rev_1.001.2.10;rev_1.001.2.09.sql;rev_1.001.2.10.sql;42;42;265;265;0;0;0;0;0;0;0;0
10;rev_1.001.2.11;rev_1.001.2.10.sql;rev_1.001.2.11.sql;42;41;265;266;0;1;6;1;0;0;0;4
11;rev_1.001.2.12;rev_1.001.2.11.sql;rev_1.001.2.12.sql;41;41;266;267;0;0;1;0;0;0;0;0
12;rev_1.001.2.13;rev_1.001.2.12.sql;rev_1.001.2.13.sql;41;42;267;271;1;0;0;0;0;0;4;0
13;rev_1.001.2.14;rev_1.001.2.13.sql;rev_1.001.2.14.sql;42;42;271;273;0;0;2;0;0;0;0;0
14;rev_1.001.2.15;rev_1.001.2.14.sql;rev_1.001.2.15.sql;42;43;273;274;2;1;0;3;0;0;6;2
15;rev_1.001.2.16;rev_1.001.2.15.sql;rev_1.001.2.16.sql;43;43;274;275;0;0;1;0;0;0;0;0
16;rev_1.001.2.17;rev_1.001.2.16.sql;rev_1.001.2.17.sql;43;42;275;271;0;1;0;0;0;0;0;4
17;rev_1.001.2.18;rev_1.001.2.17.sql;rev_1.001.2.18.sql;42;43;271;276;1;0;0;0;2;0;5;0
18;rev_1.001.2.19;rev_1.001.2.18.sql;rev_1.001.2.19.sql;43;43;276;276;0;0;0;0;1;0;0;0
19;rev_1.001.2.20;rev_1.001.2.19.sql;rev_1.001.2.20.sql;43;43;276;276;0;0;5;5;1;0;0;0
20;rev_1.001.2.21;rev_1.001.2.20.sql;rev_1.001.2.21.sql;43;42;276;264;0;1;0;0;0;0;0;12
21;rev_1.001.2.22;rev_1.001.2.21.sql;rev_1.001.2.22.sql;42;42;264;264;0;0;1;1;0;0;0;0
22;rev_1.001.2.23;rev_1.001.2.22.sql;rev_1.001.2.23.sql;42;42;264;265;0;0;1;0;0;0;0;0
23;rev_1.001.2.24;rev_1.001.2.23.sql;rev_1.001.2.24.sql;42;43;265;267;1;0;0;0;0;0;2;0
24;rev_1.001.2.25;rev_1.001.2.24.sql;rev_1.001.2.25.sql;43;36;267;255;1;8;0;0;1;0;4;16
25;rev_1.001.2.26;rev_1.001.2.25.sql;rev_1.001.2.26.sql;36;36;255;255;0;0;0;0;1;0;0;0
26;rev_1.001.2.27;rev_1.001.2.26.sql;rev_1.001.2.27.sql;36;35;255;253;0;1;0;0;0;0;0;2
27;rev_1.001.2.28;rev_1.001.2.27.sql;rev_1.001.2.28.sql;35;35;253;253;0;0;0;0;0;0;0;0
28;rev_1.001.2.29;rev_1.001.2.28.sql;rev_1.001.2.29.sql;35;34;253;251;0;1;0;0;1;0;0;2
29;rev_1.001.2.30;rev_1.001.2.29.sql;rev_1.001.2.30.sql;34;35;251;262;1;0;0;0;0;0;11;0
30;rev_1.001.2.31;rev_1.001.2.30.sql;rev_1.001.2.31.sql;35;35;262;263;0;0;1;0;0;0;0;0
31;rev_1.001.2.32;rev_1.001.2.31.sql;rev_1.001.2.32.sql;35;35;263;261;0;0;0;2;0;0;0;0
