trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_007548;rev_007547.sql;rev_007548.sql;207;206;1528;1518;0;1;0;0;0;0;0;10
2;rev_007621;rev_007548.sql;rev_007621.sql;206;206;1518;1518;0;0;0;0;0;0;0;0
3;rev_007622;rev_007621.sql;rev_007622.sql;206;206;1518;1518;0;0;0;0;5;1;0;0
4;rev_007636;rev_007622.sql;rev_007636.sql;206;206;1518;1518;0;0;0;0;0;0;0;0
5;rev_007651;rev_007636.sql;rev_007651.sql;206;206;1518;1518;0;0;0;0;0;0;0;0
6;rev_007673;rev_007651.sql;rev_007673.sql;206;206;1518;1518;0;0;0;0;0;1;0;0
7;rev_007681;rev_007673.sql;rev_007681.sql;206;206;1518;1520;0;0;2;0;0;0;0;0
8;rev_007684;rev_007681.sql;rev_007684.sql;206;206;1520;1520;0;0;0;0;0;0;0;0
9;rev_007750;rev_007684.sql;rev_007750.sql;206;207;1520;1524;1;0;0;0;0;0;4;0
10;rev_007758;rev_007750.sql;rev_007758.sql;207;208;1524;1526;1;0;0;0;0;0;2;0
11;rev_007831;rev_007758.sql;rev_007831.sql;208;208;1526;1529;0;0;4;1;0;0;0;0
12;rev_007889;rev_007831.sql;rev_007889.sql;208;208;1529;1529;0;0;0;0;0;0;0;0
13;rev_007942;rev_007889.sql;rev_007942.sql;208;208;1529;1529;0;0;0;0;0;0;0;0
14;rev_007953;rev_007942.sql;rev_007953.sql;208;208;1529;1529;0;0;0;0;0;0;0;0
15;rev_007995;rev_007953.sql;rev_007995.sql;208;208;1529;1529;0;0;0;0;0;0;0;0
16;rev_008100;rev_007995.sql;rev_008100.sql;208;208;1529;1530;0;0;1;0;0;0;0;0
17;rev_008105;rev_008100.sql;rev_008105.sql;208;208;1530;1530;0;0;0;0;0;0;0;0
18;rev_008164;rev_008105.sql;rev_008164.sql;208;208;1530;1531;0;0;1;0;0;0;0;0
19;rev_008238;rev_008164.sql;rev_008238.sql;208;208;1531;1531;0;0;0;0;0;0;0;0
20;rev_008293;rev_008238.sql;rev_008293.sql;208;208;1531;1531;0;0;0;0;0;0;0;0
21;rev_008342;rev_008293.sql;rev_008342.sql;208;208;1531;1531;0;0;0;0;1;0;0;0
22;rev_008344;rev_008342.sql;rev_008344.sql;208;208;1531;1531;0;0;0;0;1;0;0;0
23;rev_008366;rev_008344.sql;rev_008366.sql;208;208;1531;1531;0;0;0;0;0;0;0;0
24;rev_008383;rev_008366.sql;rev_008383.sql;208;208;1531;1532;0;0;1;0;0;0;0;0
25;rev_008397;rev_008383.sql;rev_008397.sql;208;208;1532;1533;0;0;1;0;0;0;0;0
26;rev_008402;rev_008397.sql;rev_008402.sql;208;208;1533;1533;0;0;2;2;0;0;0;0
27;rev_008422;rev_008402.sql;rev_008422.sql;208;208;1533;1533;0;0;0;0;0;0;0;0
28;rev_008452;rev_008422.sql;rev_008452.sql;208;208;1533;1533;0;0;0;0;0;0;0;0
29;rev_008490;rev_008452.sql;rev_008490.sql;208;208;1533;1533;0;0;0;0;0;2;0;0
30;rev_008493;rev_008490.sql;rev_008493.sql;208;208;1533;1533;0;0;0;0;0;0;0;0
31;rev_008496;rev_008493.sql;rev_008496.sql;208;208;1533;1533;0;0;0;0;0;0;0;0
32;rev_008497;rev_008496.sql;rev_008497.sql;208;208;1533;1533;0;0;0;0;0;0;0;0
33;rev_008514;rev_008497.sql;rev_008514.sql;208;208;1533;1534;0;0;1;0;0;0;0;0
34;rev_008531;rev_008514.sql;rev_008531.sql;208;208;1534;1534;0;0;0;0;0;0;0;0
35;rev_008558;rev_008531.sql;rev_008558.sql;208;208;1534;1535;0;0;1;0;0;0;0;0
36;rev_008624;rev_008558.sql;rev_008624.sql;208;208;1535;1535;0;0;0;0;0;0;0;0
37;rev_008638;rev_008624.sql;rev_008638.sql;208;208;1535;1535;0;0;0;0;0;0;0;0
38;rev_008740;rev_008638.sql;rev_008740.sql;208;208;1535;1536;0;0;1;0;0;0;0;0
39;rev_008758;rev_008740.sql;rev_008758.sql;208;208;1536;1536;0;0;0;0;1;0;0;0
40;rev_008762;rev_008758.sql;rev_008762.sql;208;208;1536;1533;0;0;0;3;0;0;0;0
41;rev_008769;rev_008762.sql;rev_008769.sql;208;208;1533;1536;0;0;3;0;0;0;0;0
42;rev_008780;rev_008769.sql;rev_008780.sql;208;208;1536;1538;0;0;2;0;0;0;0;0
43;rev_008789;rev_008780.sql;rev_008789.sql;208;208;1538;1538;0;0;0;0;0;0;0;0
44;rev_008797;rev_008789.sql;rev_008797.sql;208;208;1538;1538;0;0;0;0;0;0;0;0
45;rev_008811;rev_008797.sql;rev_008811.sql;208;208;1538;1538;0;0;0;0;0;0;0;0
46;rev_008814;rev_008811.sql;rev_008814.sql;208;208;1538;1539;0;0;1;0;0;0;0;0
47;rev_008820;rev_008814.sql;rev_008820.sql;208;208;1539;1539;0;0;0;0;0;0;0;0
48;rev_008822;rev_008820.sql;rev_008822.sql;208;208;1539;1539;0;0;0;0;0;0;0;0
49;rev_008853;rev_008822.sql;rev_008853.sql;208;208;1539;1539;0;0;0;0;0;0;0;0
50;rev_008873;rev_008853.sql;rev_008873.sql;208;208;1539;1540;0;0;1;0;0;0;0;0
51;rev_008904;rev_008873.sql;rev_008904.sql;208;208;1540;1540;0;0;0;0;0;0;0;0
52;rev_008914;rev_008904.sql;rev_008914.sql;208;208;1540;1540;0;0;0;0;0;0;0;0
53;rev_008924;rev_008914.sql;rev_008924.sql;208;208;1540;1540;0;0;0;0;0;0;0;0
54;rev_008944;rev_008924.sql;rev_008944.sql;208;208;1540;1540;0;0;0;0;0;0;0;0
55;rev_008962;rev_008944.sql;rev_008962.sql;208;208;1540;1541;0;0;1;0;0;0;0;0
56;rev_008976;rev_008962.sql;rev_008976.sql;208;208;1541;1541;0;0;0;0;0;0;0;0
57;rev_008997;rev_008976.sql;rev_008997.sql;208;208;1541;1541;0;0;0;0;2;0;0;0
58;rev_009011;rev_008997.sql;rev_009011.sql;208;208;1541;1541;0;0;0;0;0;0;0;0
59;rev_009017;rev_009011.sql;rev_009017.sql;208;208;1541;1541;0;0;0;0;0;0;0;0
60;rev_009019;rev_009017.sql;rev_009019.sql;208;208;1541;1542;0;0;1;0;0;0;0;0
61;rev_009031;rev_009019.sql;rev_009031.sql;208;210;1542;1557;2;0;0;0;0;0;15;0
62;rev_009044;rev_009031.sql;rev_009044.sql;210;210;1557;1559;0;0;2;0;0;0;0;0
63;rev_009081;rev_009044.sql;rev_009081.sql;210;210;1559;1559;0;0;0;0;0;0;0;0
64;rev_009093;rev_009081.sql;rev_009093.sql;210;210;1559;1559;0;0;0;0;0;0;0;0
