Table	Duration	Birth	Death	LastKnownVersion	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
galaxia_activities	152	0	-	151	11	11	11	1	0	0	0	0		20	0	20
galaxia_activity_roles	152	0	-	151	2	2	2	1	0	0	0	0		20	0	20
galaxia_instance_activities	152	0	-	151	6	6	6	1	0	0	0	0		20	0	20
galaxia_instance_comments	152	0	-	151	9	9	9	1	0	0	0	0		20	0	20
galaxia_instances	152	0	-	151	10	10	10	1	0	0	0	0		20	0	20
galaxia_processes	152	0	-	151	8	8	8	1	0	0	0	0		20	0	20
galaxia_roles	152	0	-	151	5	5	5	1	0	0	0	0		20	0	20
galaxia_transitions	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
galaxia_user_roles	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
galaxia_workitems	152	0	-	151	8	8	8	1	0	0	0	0		20	0	20
messu_archive	152	0	-	151	15	15	15	1	0	0	0	0		20	0	20
messu_messages	152	0	-	151	15	15	15	1	0	0	0	0		20	0	20
messu_sent	152	0	-	151	15	15	15	1	0	0	0	0		20	0	20
sessions	152	0	-	151	4	4	4	1	0	0	0	0		20	0	20
tiki_actionlog	152	0	-	151	9	9	9	1	0	0	0	0		20	0	20
tiki_actionlog_conf	152	0	-	151	3	4	3.88	1.33	1	1	0.01	0.01	1	20	1	21
tiki_actionlog_params	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
tiki_article_types	152	0	-	151	20	20	20	1	0	0	0	0		20	0	20
tiki_articles	152	0	-	151	32	32	32	1	0	0	0	0		20	0	20
tiki_banners	152	0	-	151	29	29	29	1	0	0	0	0		20	0	20
tiki_banning	152	0	-	151	13	13	13	1	0	0	0	0		20	0	20
tiki_banning_sections	152	0	-	151	2	2	2	1	0	0	0	0		20	0	20
tiki_blog_activity	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
tiki_blog_posts	152	0	-	151	10	10	10	1	2	2	0.01	0.01	1	20	1	21
tiki_blog_posts_images	152	0	-	151	6	6	6	1	0	0	0	0		20	0	20
tiki_blogs	152	0	-	151	18	18	18	1	0	0	0	0		20	0	20
tiki_calendar_categories	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
tiki_calendar_items	152	0	-	151	16	16	16	1	0	0	0	0		20	0	20
tiki_calendar_locations	152	0	-	151	4	4	4	1	0	0	0	0		20	0	20
tiki_calendar_options	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
tiki_calendar_roles	152	0	-	151	3	3	3	1	0	0	0	0		20	0	20
tiki_calendars	152	0	-	151	13	13	13	1	0	0	0	0		20	0	20
tiki_categories	152	0	-	151	5	5	5	1	0	0	0	0		20	0	20
tiki_categorized_objects	152	0	-	151	1	1	1	1	0	0	0	0		20	0	20
tiki_category_objects	152	0	-	151	2	2	2	1	0	0	0	0		20	0	20
tiki_category_sites	152	0	-	151	2	2	2	1	0	0	0	0		20	0	20
tiki_chart_items	152	0	-	151	9	9	9	1	0	0	0	0		20	0	20
tiki_charts	152	0	-	151	18	18	18	1	0	0	0	0		20	0	20
