table;dur;birth;death;chngs;s@s;s@e;sAvg
sys_refindex_words;48;22;69;0;2;2;2.0
sys_collection_entries;17;81;-;0;5;5;5.0
be_users;98;0;-;27;27;32;31.469387
sys_category_record_mm;9;88;-;0;5;5;5.0
sys_lockedrecords;98;0;-;3;7;8;7.571429
sys_workspace;55;14;68;11;17;21;20.763636
sys_refindex_res;48;22;69;1;3;3;3.0
sys_registry;47;51;-;1;4;4;4.0
sys_file_collection;11;86;-;0;28;28;28.0
sys_file;11;86;-;1;30;31;30.454546
sys_file_reference;11;86;-;3;29;32;30.09091
sys_language;91;7;-;0;7;7;7.0
sys_refindex_rel;48;22;69;0;2;2;2.0
pages;98;0;-;63;19;67;42.336735
cache_extensions;39;25;63;0;20;20;20.0
cache_hash;74;0;73;20;4;5;4.608108
sys_filemounts;98;0;-;2;8;9;8.408163
sys_preview;56;19;74;0;4;4;4.0
sys_collection;17;81;-;4;29;28;28.352942
sys_news;36;62;-;0;11;11;11.0
sys_history;98;0;-;8;9;10;9.122449
cache_imagesizes;93;5;-;1;6;6;6.0
sys_file_processedfile;11;86;-;33;20;13;18.727272
be_groups;98;0;-;24;21;26;25.183674
sys_file_storage;11;86;-;0;16;16;16.0
be_sessions;98;0;-;7;5;8;7.765306
cachingframework_cache_hash_tags;18;55;72;0;3;3;3.0
cachingframework_cache_hash;20;53;72;3;6;5;5.1
sys_log;98;0;-;29;15;23;16.336735
sys_category;9;88;-;0;26;26;26.0
sys_be_shortcuts;98;0;-;2;7;7;7.0
sys_refindex;80;18;-;6;11;12;11.9875
