#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
79638,TYPO3 CMS - What's New,Bug,"",New,Should have,Small bug under InDepthChanges.tex file,Sergio Catalá,"",2017-02-06 09:21,"","",2017-02-06,"","",0,2017-02-06 09:20,"","",-939400,"",""
79362,Documentation,Bug,"",Resolved,Should have,Wrong statement about realurl in TSRef,Dmitry Dulepov,Chris topher,2017-01-18 20:56,"","",2017-01-18,"","",100,2017-01-18 09:16,"","",-925600,"",""
79136,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Miscellaneous typo in 8.4,Pierrick Caillon,Michael Schams,2017-01-03 00:50,"",TYPO3 CMS 8.4,2017-01-02,"","",100,2017-01-02 16:59,"","",-914300,"",""
78870,Documentation,Bug,"",Resolved,Should have,Cheatshets download links broken,Kurt Ludikovsky,"",2016-12-03 13:36,Documentation on typo3.org,"",2016-12-03,"","",0,2016-12-03 10:57,"","",-901050,"",cheatsheets
78497,Core APIs,Bug,"",Resolved,Should have,Code example outside formatted area,Ralf Merz,"",2016-11-01 16:13,"","",2016-10-29,"","",0,2016-10-29 13:55,"","",-882450,"",""
77922,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,8.3 - InDepth - LinkService (2) - Weird meaning,Pierrick Caillon,Michael Schams,2017-01-03 00:55,"",TYPO3 CMS 8.2/8.3,2016-09-12,"","",100,2016-09-12 22:33,"","",-853750,"",""
76726,Documentation,Bug,"",New,Should have,internal link leads to different language ,Sven Juergens,"",2016-06-22 10:53,"","",2016-06-22,"","",0,2016-06-22 10:53,"","",-793950,"",""
76694,TYPO3 CMS - What's New,Bug,"",New,Should have,Miscellaneous errors,Pierrick Caillon,Michael Schams,2016-06-19 15:36,TYPO3 CMS 8.1,TYPO3 CMS 8.1,2016-06-19,"","",0,2016-06-19 15:36,"","",-792350,"",""
76095,TYPO3 CMS - What's New,Bug,"",Under Review,Should have,ObjectStorage.array : Invalid index in example,Pierrick Caillon,Michael Schams,2016-05-17 13:12,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-09,"","",0,2016-05-09 15:31,"","",-762750,"",""
76079,TYPO3 CMS - What's New,Bug,"",Under Review,Must have,English - InDepthChanges - Duplicated paragraph from previous slide,Pierrick Caillon,Michael Schams,2016-05-17 13:01,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-07,"","",0,2016-05-07 16:24,"","",-762200,"",""
76078,TYPO3 CMS - What's New,Bug,"",Under Review,Should have,English - wrong word or duplicate,Pierrick Caillon,Michael Schams,2016-05-18 10:08,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-07,"","",0,2016-05-07 16:22,"","",-762150,"",""
76077,TYPO3 CMS - What's New,Bug,"",Under Review,Could have,English - Miscellaneous typo,Pierrick Caillon,Michael Schams,2016-05-18 10:10,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-07,"","",0,2016-05-07 16:19,"","",-762100,"",""
76073,TYPO3 CMS - What's New,Bug,"",Under Review,Should have,BUI: Slide 3 - Misleading title,Pierrick Caillon,Michael Schams,2016-05-07 16:07,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-07,"","",0,2016-05-07 11:46,"","",-761900,"",""
75712,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Some bugs/suggestions,Sergio Catalá,"",2016-04-30 08:06,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-04-16,"","",0,2016-04-16 13:57,"","",-743850,"",""
75146,Documentation,Bug,"",New,Should have,"Wrong version on api.typo3.org for ""current stable""",Armin Vieweg,"",2016-03-16 14:54,"","",2016-03-16,"","",0,2016-03-16 14:53,"","",-715700,"",""
74539,Templating Tutorial,Bug,"",New,Should have,Copying the template files to the right place - no folder existing,Benjamin schäfer,"",2016-03-09 16:30,"","",2016-03-09,"","",0,2016-03-09 16:30,"","",-704450,"",""
73171,Documentation,Bug,"",Resolved,Must have,Extension repository - most links to manuals (and source)  are gone,Kurt Ludikovsky,"",2016-02-17 20:07,Documentation on typo3.org,"",2016-02-07,"","",100,2016-02-07 18:31,"","",-642700,"",""
72622,wiki.typo3.org,Bug,"",Closed,Should have,Fluid description is incomplete,Kurt Ludikovsky,"",2016-04-06 14:57,"","",2016-01-10,"","",0,2016-01-10 15:13,"","",-615300,"",""
72430,Documentation Rendering,Bug,Epic #57147: Rework design and general content of docs.typo3.org,Under Review,Should have,Create installer for 'typoscript.py',Martin Bless,Martin Bless,2016-01-14 16:38,"","",2015-12-23,"","",0,2015-12-23 22:47,"","",-605800,"",""
72328,Documentation Rendering,Bug,Epic #57147: Rework design and general content of docs.typo3.org,Accepted,Should have,Clean the _static folder of new theme t3SphinxThemeRtd,Martin Bless,Martin Bless,2015-12-18 23:18,"","",2015-12-18,"","",0,2015-12-18 23:18,"","",-600700,"",""
71852,wiki.typo3.org,Bug,"",New,Should have,Syntax highlighting for TypoScript (<TS> tag) does no longer work (Pygments),Chris topher,"",2016-02-02 21:58,"","",2015-11-26,"","",0,2015-11-26 11:35,"","",-576950,"",""
71848,Documentation,Bug,"",Closed,Should have,rtehtmlarea 7.6.0 - No link classes to choose in RTE link wizard,Thorsten Geißler,"",2015-11-26 11:12,"","",2015-11-26,"","",0,2015-11-26 09:32,"","",-576750,"",""
71833,wiki.typo3.org,Bug,"",Resolved,Should have,Solve a number of security issues in WikiCategoryTagCloud,Chris topher,Chris topher,2015-11-25 14:15,"","",2015-11-25,"","",0,2015-11-25 14:13,"","",-576000,"",""
71811,TYPO3 CMS - What's New,Bug,"",New,Should have,Slide for #63406 suggests new feature instead of feature fix,Pierrick Caillon,"",2015-11-24 21:32,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2015-11-24,"","",0,2015-11-24 21:32,"","",-574900,"",""
71708,TYPO3 CMS - What's New,Bug,"",In Progress,Should have,Screenshots to be replaced with 7LTS final release versions,Jigal van Hemert,"",2015-11-29 08:09,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2015-11-19,"","",20,2015-11-19 22:44,"","",-569750,"",""
71617,Documentation,Bug,"",New,Must have,"Default values not used with new content element by BE-Mod ""New Content Element""",Thomas Wittich,"",2015-11-17 01:21,"","",2015-11-17,2015-11-30,3.00,0,2015-11-17 01:08,"","",-565200,"",""
71460,ReStructured Text Infrastructure,Bug,"",Resolved,Must have,TypoScript lexer: issue with namespaces,Romain Canon,Martin Bless,2015-11-17 23:47,"","",2015-11-10,"","",0,2015-11-10 13:20,"","",-557400,"",""
70980,TYPO3 CMS - What's New,Bug,"",Closed,Should have,Some small bugs,Sergio Catalá,"",2016-03-06 02:30,"","",2015-10-23,"","",0,2015-10-23 17:18,"","",-533500,"",""
70931,TYPO3 CMS - What's New,Bug,"",Closed,Should have,typo in chapter 2 slide 5,Pierrick Caillon,"",2016-03-06 02:31,TYPO3 CMS 7.5,TYPO3 CMS 7.5,2015-10-21,"","",0,2015-10-21 22:52,"","",-531050,"",""
70660,TYPO3 CMS - What's New,Bug,"",Closed,Should have,German word in english slide,Pierrick Caillon,Michael Schams,2016-03-06 02:31,TYPO3 CMS 7.5,TYPO3 CMS 7.5,2015-10-13,"","",0,2015-10-13 19:44,"","",-517500,"",""
70659,TYPO3 CMS - What's New,Bug,"",Resolved,-- undefined --,Duplicate slide,Pierrick Caillon,"",2016-03-06 02:32,TYPO3 CMS 7.5,TYPO3 CMS 7.5,2015-10-13,"","",0,2015-10-13 19:32,"","",-517450,"",""
70196,TCA Reference,Bug,"",Closed,Should have,TCA Documentation - link is not rendered,Robert Wildling,Francois Suter,2015-10-02 10:02,"","",2015-09-30,"","",0,2015-09-30 00:11,"","",-494350,"",""
