#;Project;Tracker;Parent task;Status;Priority;Subject;Author;Assigned To;Updated;Category;Target version;Start date;Due date;Estimated time;% Done;Created;Story points;Velocity based estimate;Position;Remaining (hours);Tags;Description
79575;Security Guide;Task;Suggestion #68167: Create section with recommendations for developers;Accepted;Should have;Add a chapter on how FE session handling should be done for developers;Markus Klein;Markus Klein;1/2/2017 13:36;Guidelines for Developers;;31/1/2017;;;0;31/1/2017 23:19;;;-936250;;;"Describe how to safely deal with session data that was stored in the session while a FE user was authenticated when the FE user logs out.
Mention which hooks shall be used by an extension to cleanup sensitive data from the session."
79415;wiki.typo3.org;Task;;Resolved;Should have;Buttons have the wrong color;Chris topher;Chris topher;29/1/2017 9:40;;;22/1/2017;;;100;22/1/2017 19:38;;;-928250;;;"Buttons like the search button at https://wiki.typo3.org/wiki/index.php?search=Image+Processing&title=Special%3ASearch&fulltext=Suchen are blue, but they should be orange.

For MediaWiki 1.26, the color of the button has already been added in the skins. With MediaWiki 1.27, which we are using currently, the according rules obviously no longer kick in. Fix them!

Also check/fix the TYPO3Design skin.
"
79050;wiki.typo3.org;Task;;New;Should have;ContextSource::getContext (SkinTemplate): called and $context is null;Chris topher;;20/12/2016 13:43;;;20/12/2016;;;0;20/12/2016 13:41;;;-910000;;;"Each page request is currently giving this message:

<pre>ContextSource::getContext (SkinTemplate): called and $context is null. Using RequestContext::getMain() for sanity
</pre>

Fix it!"
79038;wiki.typo3.org;Task;;On Hold;Should have;PDF rendering is broken;Chris topher;;19/12/2016 23:07;;;19/12/2016;;;0;19/12/2016 18:56;;;-909450;;;"The HTML in the left-hand menu is displayed as it should. But the functionality is broken: Rendering of a page to PDF fails with

<pre>Book rendering failed: 

There was an error while attempting to render your book.</pre>

"
79028;wiki.typo3.org;Task;;New;Should have;cURL sometimes is slow;Chris topher;;18/12/2016 17:04;;;12/12/2016;;;0;18/12/2016 17:03;;;-908950;;;"cURL is slow:

<pre>curl_exec() extensions/BugtrackerStatus/ForgeIssue.php:44
loadJsonFromRedmineApi() extensions/BugtrackerStatus/BugtrackerItem.php:77
getRenderedResult() extensions/BugtrackerStatus/BugtrackerStatus_body.php:47
renderForgeIssue() unknown:0
</pre>

This slowness happened 130 times in 7 days.

The code runs a small request on the API of forge.typo3.org.
curl_exec() is using the cURL binary from UNIX, which should be fast, even faster than a webbrowser as it e.g. does not load images and such.
Most likely it is the network, which makes it respond slowly.
"
79027;wiki.typo3.org;Task;;Resolved;Must have;Move the wiki to a new server;Chris topher;Chris topher;18/12/2016 17:17;;;9/12/2016;;;100;18/12/2016 16:57;;;-908900;;;"* Complete content of folder
/var/www/vhosts/dev.wiki.typo3.org 
=> Content from 5.12. is there.

* Complete content of folder
/var/www/vhosts/wiki.typo3.org 
=> Content from 5.12. is there. Adjustments for new server (server paths, passwords and so on) have been made in these files.

* Complete content of folder
/var/www/vhosts/wiki.typo3.org/www/wiki/images
=> Content from 7.12. is there.
=> If no changes (file uploads!) in the meantime: Ok. Else: Folder images/ (recursively, but only that folder) has to be copied again, to not lose uploads from the meantime

* Database wikitypo3org
=> Get again from old server and put into MySQL again:
     - on old server, User wikitypo3org: mysqldump wikitypo3org --opt > wikidump.sql
     - on new server, User wiki: scp -p wikitypo3org@wiki.typo3.org:~/wikidump.sql wikidump.sql (temporarily needs a private key on the old server)
                                          mysql wiki < wikidump.sql

* After DB wikitypo3org in its final form is there:
TRUNCATE TABLE `msg_resource`,
TRUNCATE TABLE `msg_resource_links`,
TRUNCATE TABLE `objectcache`,
UPDATE `module_deps` SET `md_deps` = REPLACE ( `md_deps`, '/var/www/vhosts/wiki.typo3.org/www/wiki/', '/home/wiki/www/wiki/' ),
(Table module_deps still contains old paths, which would create PHP errors, if not adjusted manually.)

* Database wikidevtypo3org
=> Dev system with old DB ok.

* New DB of the dev system:
UPDATE `module_deps` SET `md_deps` = REPLACE ( `md_deps`, '/var/www/vhosts/wiki.dev.typo3.org/www/wiki/', '/home/wikidev/www/wiki/' ),
=> For the dev system: Done.

* Additional, empty MySQL database is present: MySQL user ""example"" has access to the DB ""example"":
    mysql -u example -pTHEPASSWORD example
    For the password see LocalSettings.php.

* Daily cronjob /etc/cron.d/wiki-backup, add on new system
=> Added in crontab -e, still needs testing, if it's working. Can be done by setting the time in the cronjob line to current time + 1 minute or so.
=> Is working.

* Daily logrotation for the backup files:
/home/wiki/backup/wiki-db.sql.gz
and
/home/wiki/backup/wiki.tar.gz
=> Cannot add that myself: /etc/logrotate.d/wiki: Permission denied.
=> Add by Michi, 5.12. Works.

* Make sure logrotate is configured to use dateext for additions to filenames
=> Already happens by default

* python is there.

* ImageMagick is still missing
=> Install it, preferred location is /usr/bin/convert
=> Has been installed.

* Test upload of an image in the dev system
=> Are thumbnails getting created?
=> Upload and creation of thumbnails are both working

* Logfiles are not all readable.
Adjust owner or permissions of the files in /home/wiki/log and in /home/wikidev/log!

* wikidev: Fix password protection, it is currently set up somewhere with name ""wikidev DEV"". 
Adjust username and password as in /home/wikidev/htaccesspw.txt
   nginx-reload!
   => https://docs.snowflakeops.ch/5-0-stable/services/website.html#environments

* SSO-Code still needed adjustments, because the IP of the server changed.
Folder /home/wiki/tmp/ still had to be created.

* Headlines no longer are styled in Share-Font
The reference in the skin is a relative one, without HTTP/HTTPS.
The problem might be that the backend (the server on which the website is stored, srv179) is called by the proxy server (srv170) via http
internally => http => the proxy encodes this to https
The webserver maybe thinks the request came via http
Solution: Set $wgServer accordingly."
76955;wiki.typo3.org;Task;;Resolved;Should have;Update the Wiki to MediaWiki 1.27;Chris topher;Chris topher;19/12/2016 19:14;;;6/7/2016;;;100;6/7/2016 14:30;;;-805400;;;"Update the Wiki to MediaWiki 1.27

MediaWiki 1.27 has been released and is now available.

h2. Update the server

The update is stalled by the outdated PHP version on the server. Needed is PHP 5.5.9 at least. The update cannot be done before a newer PHP version has been installed. For Debian Squeeze, which is used currently, only PHP 5.4 is available (and also that not from the Debian guys, but only from Dotdeb). PHP 5.5 or newer is not available. Seems like it needs a new OS or a new server.

See #79027.


h2. Update MediaWiki Core and run update.php

Remove old folders (except folder images, our skins and our extensions) and then
cp -r mediawiki-1.27.0/* wiki/
run update.php
=> Done.

(diff mediawiki-1.27.0/ and wiki/).

h2. Update extensions (part 1: extensions from tarball or from mediawiki.org)

h3. Newly bundled for 1.27 (extensions from tarball => update .gitignore)

=> None.

h3. Removed ones (extensions from tarball => update .gitignore)

=> None.

h3. Extensions from mediawiki.org

Update extensions from mediawiki.org.

=> Done.

h2. Relevant changes from the ""mailing list"":https://lists.wikimedia.org/pipermail/mediawiki-announce/2016-June/000191.html:

No new details.

https://lists.wikimedia.org/pipermail/mediawiki-announce/2016-June/000190.html

* Update index_sso.php according to these changes:
  https://phabricator.wikimedia.org/diffusion/MW/history/REL1_27/maintenance/createAndPromote.php
  (Especially the last 2 ones, where support for AuthManager (namespace MediaWiki\Auth) is added,
  changes e.g. for $user->setPassword($user->randomPassword()),.)
  => setPassword() has been deprecated, pending the introduction of AuthManager.
  => User::randomPassword() is deprecated in favor of a new method
     PasswordFactory::generateRandomPasswordString()
  => Are fixed.

* MediaWiki will now auto-create users as necessary, removing the need for
  extensions to do so. An 'autocreateaccount' right is added to allow
  auto-creation when 'createaccount' is not granted to all users.
  => Check, if this means that new users do not have to be added anymore in index_sso.php
     Maybe they still have to, see createAndPromote.php, which adds them itself.
  => Manually adding them is still needed.

* AuthManager is concerned with logging in by supplying credentials
  to Special:UserLogin or the like, and with creating accounts with
  new credentials. This includes the usual username and password form
  => Does our index_sso.php login script still work?!
  => Creation of new and login of existing accounts?
  => Works.

h2. https://www.mediawiki.org/wiki/MediaWiki_1.27:

* PHP extensions openssl and/or(?) mcrypt are required. Otherwise login might fail.
  => Only one of them is needed, see https://www.mediawiki.org/wiki/Manual:$wgSessionInsecureSecrets
  => Checked on the commandline: openssl is present, mcrypt is not. Is ok.
  
h2. RELEASE-NOTES-1.27

* Required PHP extensions
** ctype
** iconv
** json
** mbstring (new requirement in 1.27)
** xml
The following PHP extensions are strongly recommended:
** openssl

=> Checked on the commandline: All present/enabled.

* PHP session handling in general ($_SESSION, session_id(), and so on) is
  deprecated. Use MediaWiki\Session\SessionManager instead.

* Two new globals, $wgChangeCredentialsBlacklist and $wgRemoveCredentialsBlacklist
  can be used to prevent the web UI and the API changing certain authentication data.
  => Check, if otherwise changing the information, which the user should _not_ be able
     to change would be changable and prevent this,
     e.g. the email-address, the real name and the username.
  => And for the API: action=resetpassword
  => Prior to allowing any change, this requires the user to enter his password - which he does not know.
  => Is ok.

* The following functions have been removed:
** wfEmptyMsg() was removed
** wfMsgReal() was removed
** wfMsgHtml() was removed
** wfMsg() was removed
Do we use them? If so, update them to whatever is appropriate, maybe with wfMessage().
For replacements see https://www.mediawiki.org/wiki/Manual:Messages_API#Help_with_replacing_deprecated_wfMsg.2A_functions
=> Are not used/fixed. Is ok.

h2. Update our skin

Use diff and adjust... Use Git for version control.
Do the changes from inside the Vector repo:
https://github.com/wikimedia/mediawiki-skins-Vector/

""Old branch."":https://github.com/wikimedia/mediawiki-skins-Vector/commits/REL1_26  ""New branch"":https://github.com/wikimedia/mediawiki-skins-Vector/commits/REL1_27?page=4
Relevant are the commits from where the sha1 hashes for the ""same"" commit start becoming different
First one is 2015-09-23 = Add MediaWiki version requirement to skin.json

* $wgPreloadJavaScriptMwUtil was removed (deprecated in 1.26).
  Extensions, skins, gadgets and scripts that use the mediawiki.util module must
  express a dependency on it.
* $wgIncludeLegacyJavaScript, deprecated in MediaWiki 1.26, now defaults false.
  Extensions, skins, gadgets and scripts that need the mediawiki.legacy.wikibits
  module should express a dependency on it.
  => Relevant for the skins? Searchbox overwrite JavaScript?
  => Is working.
  => Open a few pages and check the console for JS errors!
  => Result: No errors.

* Skins and extensions can now use FlexBox mixins (.flex-display(@display: flex)
  and .flex(@grow: 1, @shrink: 1, @width: auto, @order: 1)) in Less to create
  cross-browser-compatible FlexBox rules. Users will still need to add fallback
  float rules or the like for compatibility with IE9- separately.

* User::getSkin() was removed
  => function getSkin is used in several places, but not the function from inside the User class. Is ok.

* Skin update ready?!
  => Compare with live system and check, if everything still looks the same.
  => Is ok.

=> Use Firebug to check for JavaScript errors and other problems (e.g. missing mediawiki.util)!

* Inside the TOC, there is a new space between classes tocnumber and toctext, which is not underlined.
  These are the 5px, where tocnumber has padding-right: 5px,
  => Fix to make line run through again!
     Untested: #toc ul li, .toc ul li {text-decoration: underline,}
  => Also check typo3design!
  => Is also a problem in Vector and will likely be solved there and can then be integrated for us.

h2. Update CSS file(s) of the TYPO3Design skin

Needs ""update"":http://wiki.dev.typo3.org/User:Chrissitopher?useskin=typo3design

=> Update done. Looks good.

h2. Check list at http://wiki.dev.typo3.org/User:Chrissitopher

=> Done, works.


h2. Check sortable tables

E.g. at http://wiki.dev.typo3.org/User_talk:Chrissitopher

=> Is ok.

h2. Other stuff, that needs fixes

* The file typo3conf/ext/ter_fe/res/icons/state_stable.gif
  gets requested from typo3.org by something in the Sandbox page, but the file no longer is there.
  => CSS class ""stable_unreviewed"", used in
     TYPO3ExtensionInfo/entities/T3CMSExtensioninfo.php
     TYPO3ExtensionInfo/renderer/T3CMSExtensionRenderer.php
  => Fixed, uses pure CSS with the original colors from TER now.

* Visiting the Sandbox and clicking around a bit in Firebug under Console > All shows
  a number of deprecated messages. E.g.
  Use of ""gM"" is deprecated. Use mw.message( ... ).parse() instead.
  but there is no backtrace...
  => Source might be a page on the wiki, e.g. MediaWiki:Common.js and friends,
     something in the skin or something in an extension.
  => Might be helpful: Firebug, Script tab, open side panel at the right hand side, see the variables...
  => Search a DB dump for hits of these functions then. The text table might have some...
  => Has also been present in MW 1.26 already, most likely not set by any custom code in our installation.
  => Gets added by the MediaWiki Core, includes/OutputPage.php: getJSVars().

* Integrate the fixes in SyntaxHighlight_GeSHi: SyntaxHighlight_GeSHi again:
  New wheel file and change in SyntaxHighlight_GeSHi.lexers.php.
  See https://forge.typo3.org/issues/71852
  => Done.

* Check Sandbox, e.g. highlighted things and fontsize in section ""Code""...
  => Is ok.

* Check, if the implementation of syntax highlighting for custom tags is still working
  (after GeSHi switched to Pygments)
  => Is working.

* Check, if the Special:Preferences page still is styled, changes were in the commit from 2015-11-08.
  Still untested, if the preferences have not been broken = are still styled at all.
  => Styling is ok.


---

h2. Update extensions (part 2)

h3. Our own, custom extensions

* After looking through some extensions, e.g. Collection, UserMerge, ReplaceText, Poem, Syntaxhighlighting
  there most likely really is exactly nothing to do here. Should all work as is.
  => However, still test the extension functions, e.g. presence of the header on exception pages,
     function of the <extension> and <issue> tags and so on...
  => Are ok.


h3. PDF export feature

Check that HTML in the left-hand menu is displayed as it should. Functionality also still needs a test.
=> After upgrade, test on live system.
=> Menu items are still there, but rendering of a page to PDF fails with
   Book rendering failed: There was an error while attempting to render your book.
   See #79038.

h2. Order columns, remove db dumps in home/

=> Is ok.

h2. Remove mediawiki-1.27.1 and mediawiki-1.27.1.tar.gz in /home/wikidev/www


h2. Copy Git repos and restore content

Move repos (skins, extensions) from dev to live and checkout their content.
=> Done.

h2. Transfer changes in LocalSettings.php to live system!

=> Done.

h2. Add changes in index_sso.php
=> Adding a new user to the DB works. Different passwords set for different users?
=> Changing an existing user's realname also works.
=> Add changes to live instance.
=> Done.

h2. Check, if all pages linked in the main menu do still exist, otherwise update menu accordingly (TYPO3Vector + TYPO3Design)

=> Done.


h2. Create local backup and diff of skin files

E.g.
diff -u Vector/skin.json TYPO3Design/skin.json > Vector-1.27-gegen-TYPO3Design-1.27.diff
diff -u Vector/Vector.php TYPO3Design/TYPO3Design.php >> Vector-1.27-gegen-TYPO3Design-1.27.diff
diff -u Vector/SkinVector.php TYPO3Design/SkinTYPO3Design.php >> Vector-1.27-gegen-TYPO3Design-1.27.diff
diff -u Vector/VectorTemplate.php TYPO3Design/TYPO3DesignTemplate.php >> Vector-1.27-gegen-TYPO3Design-1.27.diff

diff -u Vector/skin.json TYPO3Vector/skin.json > Vector-1.27-gegen-TYPO3Vector-1.27.diff
diff -u Vector/Vector.php TYPO3Vector/TYPO3Vector.php >> Vector-1.27-gegen-TYPO3Vector-1.27.diff
diff -u Vector/SkinVector.php TYPO3Vector/SkinTYPO3Vector.php >> Vector-1.27-gegen-TYPO3Vector-1.27.diff
diff -u Vector/VectorTemplate.php TYPO3Vector/TYPO3VectorTemplate.php >> Vector-1.27-gegen-TYPO3Vector-1.27.diff


h2. Locally backup SingleSignOn code

=> No longer needed. Is now part of the daily default backup.

h2. diff wiki and wikidev and incorporate all changes

=> Done.

h2. For after the update

* From the Git repos in extensions/ and skins/, do a checkout of branch 1.27.
  In extensions/ download from mediawiki.org.
  => Done.

* index_sso.php: Additional migration tips:
     https://www.mediawiki.org/wiki/Manual:SessionManager_and_AuthManager/Updating_tips

  
"
76253;wiki.typo3.org;Task;;Resolved;Should have;Update MediaWiki to 1.26.3;Chris topher;Chris topher;20/5/2016 20:09;;;20/5/2016;;;100;20/5/2016 19:42;;;-770650;;;"The release fixes a number of security related bugs in 1.26.2.

Also check extensions, which might be vulnerable as well."
75990;TYPO3 CMS - What's New;Task;;Resolved;Should have;Transfer TYPO3 CMS 8.0 slides to git.typo3.org;Michael Schams;Michael Schams;30/4/2016 8:06;TYPO3 CMS 8.0;TYPO3 CMS 8.0;30/4/2016;;;100;30/4/2016 7:20;;;-757750;;;"Archive TYPO3 CMS 8.0 What's New Slides by submitting files to the official TYPO3 Git repository.
This task applies to the following languages: Dutch, English, German, Greek, Italian and Spanish."
74362;TYPO3 CMS - What's New;Task;;Resolved;Should have;Transfer TYPO3 CMS 7 LTS slides to git.typo3.org;Michael Schams;Michael Schams;6/3/2016 2:53;TYPO3 CMS 7.6 (CMS 7 LTS);;6/3/2016;;;100;6/3/2016 2:40;;;-697050;;;"Archive TYPO3 CMS 7 LTS What's New Slides by submitting files to the official TYPO3 Git repository. This task applies to the following languages: Dutch, English and German.
"
