#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
79575,Security Guide,Task,Suggestion #68167: Create section with recommendations for developers,Accepted,Should have,Add a chapter on how FE session handling should be done for developers,Markus Klein,Markus Klein,2017-02-01 13:36,Guidelines for Developers,"",2017-01-31,"","",0,2017-01-31 23:19,"","",-936250,"",""
79415,wiki.typo3.org,Task,"",Resolved,Should have,Buttons have the wrong color,Chris topher,Chris topher,2017-01-29 09:40,"","",2017-01-22,"","",100,2017-01-22 19:38,"","",-928250,"",""
79050,wiki.typo3.org,Task,"",New,Should have,ContextSource::getContext (SkinTemplate): called and $context is null,Chris topher,"",2016-12-20 13:43,"","",2016-12-20,"","",0,2016-12-20 13:41,"","",-910000,"",""
79038,wiki.typo3.org,Task,"",On Hold,Should have,PDF rendering is broken,Chris topher,"",2016-12-19 23:07,"","",2016-12-19,"","",0,2016-12-19 18:56,"","",-909450,"",""
79028,wiki.typo3.org,Task,"",New,Should have,cURL sometimes is slow,Chris topher,"",2016-12-18 17:04,"","",2016-12-12,"","",0,2016-12-18 17:03,"","",-908950,"",""
79027,wiki.typo3.org,Task,"",Resolved,Must have,Move the wiki to a new server,Chris topher,Chris topher,2016-12-18 17:17,"","",2016-12-09,"","",100,2016-12-18 16:57,"","",-908900,"",""
76955,wiki.typo3.org,Task,"",Resolved,Should have,Update the Wiki to MediaWiki 1.27,Chris topher,Chris topher,2016-12-19 19:14,"","",2016-07-06,"","",100,2016-07-06 14:30,"","",-805400,"",""
76253,wiki.typo3.org,Task,"",Resolved,Should have,Update MediaWiki to 1.26.3,Chris topher,Chris topher,2016-05-20 20:09,"","",2016-05-20,"","",100,2016-05-20 19:42,"","",-770650,"",""
75990,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Transfer TYPO3 CMS 8.0 slides to git.typo3.org,Michael Schams,Michael Schams,2016-04-30 08:06,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-04-30,"","",100,2016-04-30 07:20,"","",-757750,"",""
74362,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Transfer TYPO3 CMS 7 LTS slides to git.typo3.org,Michael Schams,Michael Schams,2016-03-06 02:53,TYPO3 CMS 7.6 (CMS 7 LTS),"",2016-03-06,"","",100,2016-03-06 02:40,"","",-697050,"",""
74361,TYPO3 CMS - What's New,Task,Task #71546: Transfer TYPO3 CMS 7.6 slides to git.typo3.org,Resolved,Should have,"Transfer TYPO3 CMS 7.6 slides to git.typo3.org (Dutch, French, Greek, Italian, Spanish)",Michael Schams,Michael Schams,2016-03-06 02:32,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2016-03-06,"","",100,2016-03-06 02:13,"","",-697000,"",""
73031,Security Guide,Task,"",Needs Feedback,Should have,Add advice regarding php executables in fileadmin,Helmut Hummel,Helmut Hummel,2016-02-01 11:50,Guidelines for Administrators,"",2016-01-30,"","",0,2016-01-30 13:58,"","",-635700,"",""
72963,Documentation,Task,"",Under Review,Must have,Online Extbase and Fluid Guide not in english,Christian Toffolo,Martin Bless,2016-03-07 16:18,Documentation on typo3.org,"",2016-01-27,"","",50,2016-01-27 13:01,"","",-632350,"",""
72796,Documentation Rendering,Task,"",Accepted,Must have,Switch manual TypoScriptSyntax Reference to new theme,Martin Bless,Martin Bless,2016-01-18 18:22,"","",2016-01-18,"","",0,2016-01-18 18:22,"","",-624000,"",""
72696,Documentation Rendering,Task,"",Resolved,Must have,Set up rendering of core system extensions for branch 7.6,Martin Bless,Martin Bless,2016-01-27 17:08,"","",2016-01-14,"","",0,2016-01-14 12:26,"","",-619000,"",""
72376,wiki.typo3.org,Task,"",Resolved,Should have,Update MediaWiki to 1.26.2,Chris topher,Chris topher,2015-12-21 22:08,"","",2015-12-21,"","",100,2015-12-21 22:08,"","",-603100,"",""
72327,Documentation Rendering,Task,Epic #57147: Rework design and general content of docs.typo3.org,New,Must have,Have the TerDocRenderer report the reason when build fails,Martin Bless,Xavier Perseguers,2015-12-18 22:51,"","",2015-12-18,"","",0,2015-12-18 22:48,"","",-600650,"",""
72323,wiki.typo3.org,Task,"",Resolved,Should have,Update MediaWiki to 1.26.1,Chris topher,Chris topher,2015-12-18 14:19,"","",2015-12-18,"","",100,2015-12-18 14:15,"","",-600450,"",""
71900,Coding Guidelines,Task,"",Resolved,Should have,Update to PSR-2,Hannes Lau,Chris topher,2015-11-28 15:39,"","",2015-11-27,"","",0,2015-11-27 20:05,"","",-579350,"",""
71882,Documentation Rendering,Task,Epic #57147: Rework design and general content of docs.typo3.org,Accepted,Must have,Better use 'git reset --hard'?,Martin Bless,Xavier Perseguers,2015-12-18 22:53,"","",2015-11-27,"","",0,2015-11-27 10:30,"","",-578450,"",""
71842,Documentation Rendering,Task,Epic #57147: Rework design and general content of docs.typo3.org,Accepted,Should have,Handling of README.rst,Martin Bless,"",2016-03-05 16:39,"","",2015-11-25,"","",0,2015-11-25 20:24,"","",-576450,"",""
71701,Security Guide,Task,Suggestion #68167: Create section with recommendations for developers,New,Should have,Do not use second argument of getLL(),Helmut Hummel,"",2015-11-20 04:21,Guidelines for Developers,"",2015-11-19,"","",0,2015-11-19 17:22,"","",-569400,"",""
71699,Security Guide,Task,Suggestion #68167: Create section with recommendations for developers,New,Should have,Introduce different HTML contexts and how API methods we have to encode,Helmut Hummel,"",2015-11-20 04:21,Guidelines for Developers,"",2015-11-19,"","",0,2015-11-19 17:20,"","",-569300,"",""
71547,TYPO3 CMS - What's New,Task,Task #71546: Transfer TYPO3 CMS 7.6 slides to git.typo3.org,Resolved,Should have,Transfer TYPO3 CMS 7.6 slides to git.typo3.org (English and German),Michael Schams,Michael Schams,2016-03-06 02:32,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2015-11-13,"","",100,2015-11-13 05:06,"","",-561700,"",""
71546,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Transfer TYPO3 CMS 7.6 slides to git.typo3.org,Michael Schams,Michael Schams,2016-03-06 02:35,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2015-11-13,"","",100,2015-11-13 05:04,"","",-561650,"",""
71411,TYPO3 CMS - What's New,Task,"",Resolved,Should have,"Update ""What's New"" page on t3o",Michael Schams,Michael Schams,2015-11-13 04:54,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2015-11-08,"","",0,2015-11-08 12:38,"","",-554950,"",""
71410,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Transfer TYPO3 CMS 7.5 slides to git.typo3.org,Michael Schams,Michael Schams,2016-03-06 02:32,TYPO3 CMS 7.5,TYPO3 CMS 7.5,2015-11-08,"","",100,2015-11-08 12:33,"","",-554900,"",""
71409,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Clarify TYPO3 CMS 7 installation with composer,Michael Schams,Michael Schams,2015-11-13 05:06,TYPO3 CMS 7.6 (CMS 7 LTS),TYPO3 CMS 7.6 (CMS 7 LTS),2015-11-08,"","",0,2015-11-08 12:29,"","",-554850,"",""
70989,Security Guide,Task,"",Resolved,Should have,Describe Sub-Resource Integrity (SRI) for JavaScript file inclusion,Michael Schams,"",2015-11-20 04:51,Guidelines for Integrators,"",2015-10-24,"","",0,2015-10-24 09:13,"","",-533950,"",""
70800,wiki.typo3.org,Task,"",Resolved,Should have,Update MediaWiki to 1.25.3,Chris topher,Chris topher,2015-10-16 21:24,"","",2015-10-16,"","",100,2015-10-16 21:16,"","",-524500,"",""
70600,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Transfer TYPO3 CMS 7.4 slides to git.typo3.org,Michael Schams,Michael Schams,2015-10-13 12:48,TYPO3 CMS 7.4,"",2015-10-12,"","",100,2015-10-12 00:30,"","",-514500,"",""
70267,wiki.typo3.org,Task,"",Resolved,Should have,Update the Wiki to MediaWiki 1.26,Chris topher,Chris topher,2015-11-26 17:46,"","",2015-11-25,"","",100,2015-10-01 14:53,"","",-497850,"",""
69462,TCA Reference,Task,"",Resolved,Must have,Add missing blindLinkFields to the core link wizard,Patrik Karisch,Patrik Karisch,2015-09-02 11:13,"",6.2.0,2015-09-01,"","",0,2015-09-01 21:49,"","",-457750,"",""
69117,ReST tools,Task,"",Accepted,Should have,Collaboration on translated documentation,Xavier Perseguers,"",2015-08-17 09:33,"","",2015-08-17,"","",0,2015-08-17 07:30,"","",-440500,"",""
69076,ReST tools,Task,"",Resolved,Should have,"Change ""Edit on GitHub"" to first view the file",Thomas Mayer,"",2015-08-17 10:14,"","",2015-08-14,"","",100,2015-08-14 21:57,"","",-438450,"",""
68945,wiki.typo3.org,Task,"",Resolved,Should have,Update MediaWiki to 1.25.2,Chris topher,Chris topher,2015-08-11 14:42,"","",2015-08-11,"","",100,2015-08-11 14:29,"","",-432050,"",""
68900,Documentation Rendering,Task,"",Accepted,Should have,Extend RenderTask.php to render every manual,Xavier Perseguers,Xavier Perseguers,2015-12-18 23:23,"","",2014-10-13,"","",63,2015-08-10 08:01,"","",-430100,"",""
68876,TYPO3 CMS - What's New,Task,"",Rejected,Won't have this time,"New ""What's New"" image on typo3.org",Michael Schams,"",2015-11-13 04:55,"","",2015-08-09,"","",0,2015-08-09 08:18,"","",-428950,"",""
68529,TYPO3 CMS - What's New,Task,"",Resolved,Should have,Transfer TYPO3 CMS 7.3 slides to git.typo3.org,Michael Schams,Michael Schams,2015-07-25 07:45,TYPO3 CMS 7.3,TYPO3 CMS 7.3,2015-07-25,"","",100,2015-07-25 07:24,"","",-411900,"",""
