# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_000020.sql,rev_000048.sql,10,10,122,122,0,0,0,0,0,0,0
rev_000048.sql,rev_000138.sql,10,10,122,123,0,0,1,0,0,0,0
rev_000138.sql,rev_000144.sql,10,10,123,124,0,0,1,0,0,0,0
rev_000144.sql,rev_000218.sql,10,10,124,125,0,0,1,0,0,0,0
rev_000218.sql,rev_000265.sql,10,11,125,131,1,0,6,0,0,0,0
rev_000265.sql,rev_000346.sql,11,11,131,131,0,0,0,0,1,0,1
rev_000346.sql,rev_000427.sql,11,12,131,142,1,0,11,0,0,0,0
rev_000427.sql,rev_000439.sql,12,12,142,146,0,0,4,0,0,0,0
rev_000439.sql,rev_000498.sql,12,12,146,146,0,0,0,0,1,0,1
rev_000498.sql,rev_000539.sql,12,12,146,146,0,0,0,0,0,0,0
rev_000539.sql,rev_000607.sql,12,12,146,146,0,0,0,0,0,0,0
rev_000607.sql,rev_000645.sql,12,12,146,146,0,0,0,0,1,0,1
rev_000645.sql,rev_000670.sql,12,12,146,146,0,0,0,0,0,0,0
rev_000670.sql,rev_000809.sql,12,13,146,173,1,0,27,0,0,0,0
rev_000809.sql,rev_000828.sql,13,13,173,176,0,0,3,0,0,0,0
rev_000828.sql,rev_000831.sql,13,13,176,178,0,0,2,0,0,0,0
rev_000831.sql,rev_000859.sql,13,13,178,179,0,0,1,0,0,0,0
rev_000859.sql,rev_000915.sql,13,14,179,190,1,0,11,0,0,0,0
rev_000915.sql,rev_001421.sql,14,15,190,195,1,0,5,0,1,0,1
rev_001421.sql,rev_001543.sql,15,15,195,195,0,0,0,0,1,0,1
rev_001543.sql,rev_001709.sql,15,15,195,195,0,0,0,0,32,0,32
rev_001709.sql,rev_001770.sql,15,18,195,203,3,0,8,0,0,0,0
rev_001770.sql,rev_001794.sql,18,18,203,203,0,0,0,0,0,0,0
rev_001794.sql,rev_001843.sql,18,18,203,203,0,0,0,0,2,0,2
rev_001843.sql,rev_001869.sql,18,19,203,223,1,0,20,0,0,0,0
rev_001869.sql,rev_001883.sql,19,19,223,223,0,0,0,0,0,0,0
rev_001883.sql,rev_001897.sql,19,19,223,223,0,0,0,0,1,0,1
rev_001897.sql,rev_001954.sql,19,19,223,223,0,0,0,0,0,0,0
rev_001954.sql,rev_001955.sql,19,19,223,223,0,0,0,0,0,0,0
rev_001955.sql,rev_001957.sql,19,19,223,223,0,0,0,0,1,0,1
rev_001957.sql,rev_001972.sql,19,19,223,223,0,0,0,0,6,0,6
rev_001972.sql,rev_002055.sql,19,19,223,223,0,0,0,0,1,0,1
rev_002055.sql,rev_002056.sql,19,19,223,223,0,0,0,0,0,0,0
rev_002056.sql,rev_002173.sql,19,19,223,223,0,0,0,0,0,0,0
rev_002173.sql,rev_002186.sql,19,19,223,223,0,0,0,0,16,0,16
rev_002186.sql,rev_002237.sql,19,19,223,223,0,0,0,0,1,0,1
rev_002237.sql,rev_002470.sql,19,19,223,224,0,0,1,0,0,0,0
rev_002470.sql,rev_002665.sql,19,19,224,224,0,0,0,0,0,0,0
