;0;1;2;3;4;5;6;7;
configoption;4;4;4;4;4;4;4;4;
newblocks;20;20;20;20;20;20;20;20;
smiles;5;5;5;5;5;5;5;5;
session;4;4;4;4;4;4;4;4;
priv_msgs;8;8;8;8;8;8;8;8;
imagecategory;9;9;9;9;9;9;9;9;
xoopsnotifications;7;7;7;7;7;7;7;7;
imagebody;2;2;2;2;2;2;2;2;
imgset_tplset_link;2;2;2;2;2;2;2;2;
block_module_link;2;2;2;2;2;2;2;2;
xoopscomments;20;20;20;20;20;20;20;20;
group_permission;5;5;5;5;5;5;5;5;
image;8;8;8;8;8;8;8;8;
imgset;3;3;3;3;3;3;3;3;
banner;10;10;10;10;10;10;10;10;
groups;4;4;4;4;4;4;4;4;
avatar;8;8;8;8;8;8;8;8;
modules;13;13;13;13;13;13;13;13;
users;31;31;31;31;31;31;31;31;
imgsetimg;4;4;4;4;4;4;4;4;
configcategory;3;3;3;3;3;3;3;3;
ranks;6;6;6;6;6;6;6;6;
cache_model;0;0;0;0;0;3;3;3;
bannerclient;7;7;7;7;7;7;7;7;
avatar_user_link;2;2;2;2;2;2;2;2;
online;5;5;5;5;5;5;5;5;
bannerfinish;6;6;6;6;6;6;6;6;
tplsource;2;2;2;2;2;2;2;2;
config;10;10;10;10;10;10;10;10;
tplset;5;5;5;5;5;5;5;5;
groups_users_link;3;3;3;3;3;3;3;3;
tplfile;9;9;9;9;9;9;9;9;
