# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_1.01.sql,rev_1.02.sql,47,47,312,312,0,0,0,0,298,0,298
rev_1.02.sql,rev_1.03.sql,47,47,312,312,0,0,0,0,0,0,0
rev_1.03.sql,rev_1.04.sql,47,47,312,312,0,0,0,0,1,0,1
rev_1.04.sql,rev_1.05.sql,47,47,312,312,0,0,0,0,3,0,3
rev_1.05.sql,rev_1.06.sql,47,47,312,312,0,0,0,0,0,0,0
rev_1.06.sql,rev_1.07.sql,47,47,312,312,0,0,0,0,0,0,0
rev_1.07.sql,rev_1.08.sql,47,46,312,304,1,2,6,14,9,1,10
rev_1.08.sql,rev_1.09.sql,46,46,304,304,0,0,0,0,1,0,1
rev_1.09.sql,rev_1.10.sql,46,46,304,304,0,0,4,8,1,1,2
rev_1.10.sql,rev_1.11.sql,46,46,304,304,0,0,0,0,0,0,0
rev_1.11.sql,rev_1.12.sql,46,46,304,304,0,0,0,0,1,0,1
rev_1.12.sql,rev_1.13.sql,46,47,304,307,1,0,3,0,0,0,0
rev_1.13.sql,rev_1.14.sql,47,47,307,307,0,0,0,0,0,0,0
rev_1.14.sql,rev_1.15.sql,47,47,307,307,0,0,0,0,0,0,0
rev_1.15.sql,rev_1.16.sql,47,47,307,307,0,0,0,0,0,0,0
rev_1.16.sql,rev_1.17.sql,47,47,307,307,0,0,0,0,1,0,1
rev_1.17.sql,rev_1.18.sql,47,47,307,308,0,0,1,0,0,0,0
rev_1.18.sql,rev_1.19.sql,47,47,308,306,0,0,0,4,0,0,0
rev_1.19.sql,rev_1.20.sql,47,48,306,309,1,0,3,0,0,0,0
rev_1.20.sql,rev_1.21.sql,48,48,309,312,0,0,3,0,0,0,0
rev_1.21.sql,rev_1.22.sql,48,48,312,312,0,0,2,4,0,0,0
rev_1.22.sql,rev_1.23.sql,48,48,312,312,0,0,0,0,7,0,7
rev_1.23.sql,rev_1.24.0.sql,48,48,312,312,0,0,0,0,1,0,1
rev_1.24.0.sql,rev_1.24.06.1.sql,48,48,312,313,0,0,1,0,0,0,0
rev_1.24.06.1.sql,rev_1.24.08.1.sql,48,48,313,313,0,0,1,2,0,0,0
rev_1.24.08.1.sql,rev_1.24.10.1.sql,48,48,313,313,0,0,1,2,0,0,0
rev_1.24.10.1.sql,rev_1.25.sql,48,48,313,313,0,0,1,2,0,0,0
