trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_1.001.sql;rev_1.002.sql;alerts;Update:KeyChange;alertid;SERIAL;true;0;-
1;rev_1.001.sql;rev_1.002.sql;config;Update:TypeChange;password_required;INT4;false;0;-
2;rev_1.002.sql;rev_1.003.sql;-;-;-;-;-;-;-
3;rev_1.003.sql;rev_1.004.sql;-;-;-;-;-;-;-
4;rev_1.004.sql;rev_1.005.sql;-;-;-;-;-;-;-
5;rev_1.005.sql;rev_1.006.sql;-;-;-;-;-;-;-
6;rev_1.006.sql;rev_1.007.sql;-;-;-;-;-;-;-
7;rev_1.007.sql;rev_1.008.sql;-;-;-;-;-;-;-
8;rev_1.008.sql;rev_1.009.sql;-;-;-;-;-;-;-
9;rev_1.009.sql;rev_1.010.sql;hosts;Deletion:UpdateTable;platformid;INT4;false;0;platformid@platforms
9;rev_1.009.sql;rev_1.010.sql;items_template;Deletion:UpdateTable;platformid;INT4;false;0;platformid@platforms
9;rev_1.009.sql;rev_1.010.sql;platforms;Deletion:DeleteTable;platform;VARCHAR(32);false;0;-
9;rev_1.009.sql;rev_1.010.sql;platforms;Deletion:DeleteTable;platformid;SERIAL;true;0;-
10;rev_1.010.sql;rev_1.011.sql;-;-;-;-;-;-;-
11;rev_1.011.sql;rev_1.012.sql;items;Insertion:UpdateTable;type;INT4;false;0;-
12;rev_1.012.sql;rev_1.013.sql;items;Insertion:UpdateTable;snmp_community;VARCHAR(64);false;0;-
12;rev_1.012.sql;rev_1.013.sql;items;Insertion:UpdateTable;snmp_oid;VARCHAR(255);false;0;-
13;rev_1.013.sql;rev_1.014.sql;sysmaps;Insertion:NewTable;height;INT4;false;0;-
13;rev_1.013.sql;rev_1.014.sql;sysmaps;Insertion:NewTable;name;VARCHAR(128);false;0;-
13;rev_1.013.sql;rev_1.014.sql;sysmaps;Insertion:NewTable;sysmapid;SERIAL;true;0;-
13;rev_1.013.sql;rev_1.014.sql;sysmaps;Insertion:NewTable;width;INT4;false;0;-
14;rev_1.014.sql;rev_1.015.sql;graphs;Insertion:NewTable;graphid;SERIAL;true;0;-
14;rev_1.014.sql;rev_1.015.sql;graphs;Insertion:NewTable;height;INT4;false;0;-
14;rev_1.014.sql;rev_1.015.sql;graphs;Insertion:NewTable;name;VARCHAR(128);false;0;-
14;rev_1.014.sql;rev_1.015.sql;graphs;Insertion:NewTable;width;INT4;false;0;-
14;rev_1.014.sql;rev_1.015.sql;graphs_items;Insertion:NewTable;gitemid;SERIAL;true;0;-
14;rev_1.014.sql;rev_1.015.sql;graphs_items;Insertion:NewTable;graphid;INT4;false;0;graphid@graphs
14;rev_1.014.sql;rev_1.015.sql;graphs_items;Insertion:NewTable;itemid;INT4;false;0;itemid@items
14;rev_1.014.sql;rev_1.015.sql;sysmaps_links;Insertion:NewTable;linkid;SERIAL;true;0;-
14;rev_1.014.sql;rev_1.015.sql;sysmaps_links;Insertion:NewTable;shostid1;INT4;false;0;-
14;rev_1.014.sql;rev_1.015.sql;sysmaps_links;Insertion:NewTable;shostid2;INT4;false;0;-
14;rev_1.014.sql;rev_1.015.sql;sysmaps_links;Insertion:NewTable;sysmapid;INT4;false;0;sysmapid@sysmaps
15;rev_1.015.sql;rev_1.016.sql;sysmaps_hosts;Insertion:NewTable;hostid;INT4;false;0;hostid@hosts
15;rev_1.015.sql;rev_1.016.sql;sysmaps_hosts;Insertion:NewTable;label;VARCHAR(128);false;0;-
15;rev_1.015.sql;rev_1.016.sql;sysmaps_hosts;Insertion:NewTable;shostid;SERIAL;true;0;-
15;rev_1.015.sql;rev_1.016.sql;sysmaps_hosts;Insertion:NewTable;sysmapid;INT4;false;0;sysmapid@sysmaps
