;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
banlist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
banner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
cache;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
chatbox;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
comments;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
content;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
core;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
download;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
download_category;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
flood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
forum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
forum_t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
headlines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
link_category;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
links;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
menus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
news_category;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
parser;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;
plugin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
poll;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
rate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
rbinary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
session;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
stat_counter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
stat_info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
stat_last;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
submitnews;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
tmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
upload;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
user;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
userclass_classes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
wmessage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
