;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
banlist;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
banner;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;
cache;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
chatbox;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
comments;9;9;9;9;9;9;11;11;11;11;11;11;11;11;11;11;
content;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;
core;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
download;14;14;14;14;14;14;14;14;14;15;15;15;15;15;15;15;
download_category;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
flood;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
forum;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
forum_t;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
headlines;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
link_category;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
links;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
menus;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;
news;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;
news_category;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
online;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
parser;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;
plugin;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
poll;27;27;27;27;27;27;27;27;27;27;27;27;27;28;28;28;
rate;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
rbinary;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
session;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
stat_counter;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
stat_info;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
stat_last;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
submitnews;8;8;8;8;9;10;10;10;10;10;10;10;10;10;10;10;
tmp;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
upload;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;
user;34;34;34;34;34;34;34;35;35;35;35;35;35;35;35;35;
userclass_classes;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;
wmessage;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
