trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey;
1;1026823911.sql;1038403486.sql;-;-;-;-;-;-;-;
2;1038403486.sql;1055590723.sql;-;-;-;-;-;-;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;attach_id;NUMBER(8);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;comment_;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;download_count;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;extension;VARCHAR2(100);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;filesize;NUMBER(20);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;filetime;NUMBER(11);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;in_message;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;mimetype;VARCHAR2(100);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;physical_filename;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;post_msg_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;poster_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;real_filename;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;thumbnail;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_attachments;Insertion:NewTable;topic_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_announce;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_attachments;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_delete;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_edit;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_mod;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_pollcreate;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_post;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_read;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_reply;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_sticky;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_view;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;auth_vote;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;forum_id;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_access;Deletion:DeleteTable;group_id;NUMBER(4);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_groups;Insertion:NewTable;auth_option_id;NUMBER(5);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_groups;Insertion:NewTable;auth_setting;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_groups;Insertion:NewTable;forum_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_groups;Insertion:NewTable;group_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_options;Insertion:NewTable;auth_option;VARCHAR2(20);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_options;Insertion:NewTable;auth_option_id;NUMBER(5);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_options;Insertion:NewTable;founder_only;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_options;Insertion:NewTable;is_global;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_options;Insertion:NewTable;is_local;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_presets;Insertion:NewTable;preset_data;CLOB;false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_presets;Insertion:NewTable;preset_id;NUMBER(4);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_presets;Insertion:NewTable;preset_name;VARCHAR2(50);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_presets;Insertion:NewTable;preset_type;VARCHAR2(2);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_presets;Insertion:NewTable;preset_user_id;NUMBER(5);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_users;Insertion:NewTable;auth_option_id;NUMBER(5);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_users;Insertion:NewTable;auth_setting;NUMBER(4);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_users;Insertion:NewTable;forum_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_auth_users;Insertion:NewTable;user_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Update:TypeChange;ban_email;VARCHAR2(50);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Update:TypeChange;ban_id;NUMBER(8);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Update:TypeChange;ban_ip;VARCHAR2(40);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Update:TypeChange;ban_userid;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Insertion:UpdateTable;ban_end;NUMBER(11);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Insertion:UpdateTable;ban_exclude;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Insertion:UpdateTable;ban_give_reason;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Insertion:UpdateTable;ban_reason;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_banlist;Insertion:UpdateTable;ban_start;NUMBER(11);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;bbcode_id;NUMBER(3);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;bbcode_match;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;bbcode_tag;VARCHAR2(16);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;bbcode_tpl;CLOB;false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;first_pass_match;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;first_pass_replace;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;second_pass_match;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bbcodes;Insertion:NewTable;second_pass_replace;CLOB;false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bookmarks;Insertion:NewTable;order_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bookmarks;Insertion:NewTable;topic_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bookmarks;Insertion:NewTable;user_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bots;Insertion:NewTable;bot_active;NUMBER(1);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bots;Insertion:NewTable;bot_agent;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bots;Insertion:NewTable;bot_id;NUMBER(3);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bots;Insertion:NewTable;bot_ip;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bots;Insertion:NewTable;bot_name;VARCHAR2(255);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_bots;Insertion:NewTable;user_id;NUMBER(8);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_cache;Insertion:NewTable;var_data;CLOB;false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_cache;Insertion:NewTable;var_expires;NUMBER(10);false;0;-;
3;1055590723.sql;1115312467.sql;phpbb_cache;Insertion:NewTable;var_name;VARCHAR2(255);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_categories;Deletion:DeleteTable;cat_id;NUMBER(4);true;0;-;
3;1055590723.sql;1115312467.sql;phpbb_categories;Deletion:DeleteTable;cat_order;NUMBER(4);false;0;-;
