# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_3908.sql,rev_3928.sql,10,10,33,33,0,0,0,0,0,0,0
rev_3928.sql,rev_4111.sql,10,11,33,47,1,0,14,0,0,0,0
rev_4111.sql,rev_4259.sql,11,11,47,48,0,0,1,0,0,0,0
rev_4259.sql,rev_4451.sql,11,11,48,48,0,0,0,0,0,0,0
rev_4451.sql,rev_4561.sql,11,11,48,48,0,0,0,0,0,0,0
rev_4561.sql,rev_4602.sql,11,11,48,48,0,0,0,0,0,0,0
rev_4602.sql,rev_4717.sql,11,11,48,48,0,0,0,0,1,0,1
rev_4717.sql,rev_4885.sql,11,10,48,48,0,1,2,2,0,0,0
rev_4885.sql,rev_4982.sql,10,10,48,49,0,0,1,0,0,0,0
rev_4982.sql,rev_5084.sql,10,10,49,49,0,0,0,0,0,0,0
rev_5084.sql,rev_5194.sql,10,10,49,49,0,0,0,0,3,0,3
rev_5194.sql,rev_5212.sql,10,10,49,49,0,0,0,0,1,0,1
rev_5212.sql,rev_5417.sql,10,10,49,49,0,0,0,0,0,0,0
rev_5417.sql,rev_5868.sql,10,10,49,49,0,0,0,0,0,0,0
rev_5868.sql,rev_5870.sql,10,10,49,49,0,0,0,0,0,0,0
rev_5870.sql,rev_5921.sql,10,10,49,49,0,0,0,0,0,0,0
rev_5921.sql,rev_6203.sql,10,10,49,49,0,0,0,0,0,0,0
rev_6203.sql,rev_7117.sql,10,10,49,49,0,0,0,0,1,0,1
rev_7117.sql,rev_8335.sql,10,10,49,49,0,0,0,0,0,0,0
rev_8335.sql,rev_8713.sql,10,10,49,49,0,0,0,0,0,0,0
rev_8713.sql,rev_8718.sql,10,10,49,49,0,0,0,0,0,0,0
