trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_3908.sql;rev_3928.sql;-;-;-;-;-;-;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;agent;VARCHAR(255);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;bytes_sent;SMALLINTUNSIGNED;false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;referer;VARCHAR(255);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;remote_host;VARCHAR(50);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;remote_user;VARCHAR(50);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_args;VARCHAR(255);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_duration;FLOAT;false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_file;VARCHAR(255);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_line;VARCHAR(255);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_method;VARCHAR(10);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_time;CHAR(28);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;request_uri;VARCHAR(255);false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;status;SMALLINTUNSIGNED;false;0;-
2;rev_3928.sql;rev_4111.sql;accesslog;Insertion:NewTable;time_stamp;INTUNSIGNED;false;0;-
3;rev_4111.sql;rev_4259.sql;page;Insertion:UpdateTable;cached_html;MEDIUMBLOB;false;0;-
4;rev_4259.sql;rev_4451.sql;-;-;-;-;-;-;-
5;rev_4451.sql;rev_4561.sql;-;-;-;-;-;-;-
6;rev_4561.sql;rev_4602.sql;-;-;-;-;-;-;-
7;rev_4602.sql;rev_4717.sql;session;Update:TypeChange;sess_ip;CHAR(40);false;0;-
8;rev_4717.sql;rev_4885.sql;pref;Insertion:UpdateTable;groupname;CHAR(48);false;0;-
8;rev_4717.sql;rev_4885.sql;pref;Insertion:UpdateTable;passwd;CHAR(48);false;0;-
8;rev_4717.sql;rev_4885.sql;user;Deletion:DeleteTable;passwd;CHAR(48);false;0;-
8;rev_4717.sql;rev_4885.sql;user;Deletion:DeleteTable;userid;CHAR(48);true;0;-
9;rev_4885.sql;rev_4982.sql;link;Insertion:UpdateTable;relation;INT;false;0;-
10;rev_4982.sql;rev_5084.sql;-;-;-;-;-;-;-
11;rev_5084.sql;rev_5194.sql;pref;Update:TypeChange;groupname;VARCHAR(48);false;0;-
11;rev_5084.sql;rev_5194.sql;pref;Update:TypeChange;passwd;VARCHAR(48);false;0;-
11;rev_5084.sql;rev_5194.sql;pref;Update:TypeChange;userid;VARCHAR(48);true;0;-
12;rev_5194.sql;rev_5212.sql;accesslog;Update:TypeChange;remote_host;VARCHAR(100);false;0;-
13;rev_5212.sql;rev_5417.sql;-;-;-;-;-;-;-
14;rev_5417.sql;rev_5868.sql;-;-;-;-;-;-;-
15;rev_5868.sql;rev_5870.sql;-;-;-;-;-;-;-
16;rev_5870.sql;rev_5921.sql;-;-;-;-;-;-;-
17;rev_5921.sql;rev_6203.sql;-;-;-;-;-;-;-
18;rev_6203.sql;rev_7117.sql;rating;Update:TypeChange;tstamp;TIMESTAMP;false;0;-
19;rev_7117.sql;rev_8335.sql;-;-;-;-;-;-;-
20;rev_8335.sql;rev_8713.sql;-;-;-;-;-;-;-
21;rev_8713.sql;rev_8718.sql;-;-;-;-;-;-;-
