table;dur;birth;death;chngs;s@s;s@e;sAvg
uploadstash;123;288;-;11;14;17;16.325203
globalinterwiki;3;294;300;0;2;2;2.0
transcache;323;88;-;2;3;3;3.0
templatelinks;325;86;-;8;3;4;3.0861537
updatelog;230;181;-;3;1;2;1.6608696
sites;72;326;-;0;11;11;11.0
imagelinks;411;0;-;9;2;3;2.0681264
hitcounter;380;7;387;1;1;1;1.0
valid_tag;188;223;-;2;1;1;1.0
langlinks;317;94;-;4;3;3;3.0
querycache;396;15;-;7;4;4;4.0
links;62;0;61;1;2;2;2.0
ipblocks;411;0;-;35;5;18;14.355231
text;370;41;-;2;3;3;3.0
filearchive;314;97;-;33;20;22;21.095541
categorylinks;394;17;-;17;4;7;5.1345177
group;25;34;58;1;3;4;3.84
image;411;0;-;29;6;14;12.722628
user_newtalk;380;0;-;9;2;3;2.5842106
/*$wgDBPrefix*/protected_titles;1;171;171;0;7;7;7.0
querycachetwo;299;112;-;9;6;6;6.0
old;41;0;40;7;11;11;10.97561
log_search;174;237;-;5;3;3;3.0
archive;411;0;-;60;9;19;14.014599
objectcache;395;16;-;3;3;3;3.0
revision;370;41;-;53;8;14;11.186486
user_restrictions;3;210;214;3;12;12;12.0
site_stats;411;0;-;25;4;7;7.545012
user_former_groups;125;286;-;10;2;2;2.0
logging;383;28;-;23;7;12;10.279373
externallinks;324;87;-;9;3;5;3.1419754
page_props;233;178;-;3;3;4;3.141631
math;282;0;281;3;5;5;5.0
page;370;41;-;40;10;13;11.316216
brokenlinks;62;0;61;0;2;2;2.0
job;321;90;-;30;5;11;6.3707166
watchlist;411;0;-;7;3;5;3.9270072
user_groups;377;34;-;24;2;3;2.0026524
querycache_info;316;95;-;3;2;2;2.0
cur;41;0;40;1;16;16;16.0
trackbacks;235;74;308;10;5;6;5.9957447
user_properties;177;234;-;1;3;3;3.0
searchindex;411;0;-;3;3;3;3.0
recentlinkchanges;4;197;200;1;8;8;8.0
random;2;0;1;0;2;2;2.0
tag_summary;188;223;-;1;4;5;4.0212765
linkscc;57;6;62;1;3;2;2.1052632
page_restrictions;284;127;-;10;6;7;6.9894366
recentchanges;411;0;-;70;13;24;23.160583
site_identifiers;72;326;-;0;3;3;3.0
validate;75;23;97;7;5;7;6.3733335
redirect;300;111;-;13;3;5;4.14
blobs;35;20;54;0;2;2;2.0
groups;6;59;64;0;4;4;4.0
iwlinks;157;254;-;2;3;3;3.0
pagelinks;350;61;-;8;3;4;3.08
imageredirects;1;175;175;0;2;2;2.0
msg_resource_links;132;264;395;2;2;2;2.0
interwiki;408;3;-;11;3;6;4.5710783
l10n_cache;169;242;-;2;3;3;3.0
msg_resource;133;264;396;1;4;4;4.0
user_rights;36;29;64;6;2;2;2.0
oldimage;411;0;-;42;7;16;13.532846
module_deps;147;264;-;2;3;3;3.0
change_tag;187;224;-;3;5;6;5.0213904
external_user;109;247;356;4;2;2;2.0
category;229;182;-;6;6;5;5.650655
user;411;0;-;30;8;15;13.6618
config;59;284;345;0;2;2;2.0
globalnamespaces;3;294;300;0;3;3;3.0
concurrencycheck;1;316;316;0;4;4;4.0
globaltemplatelinks;3;294;300;0;8;8;8.0
bot_passwords;12;398;-;0;6;6;6.0
protected_titles;239;172;-;9;7;7;7.0
