# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_1.001.sql,rev_1.002.sql,19,17,82,75,0,2,0,7,0,1,1
rev_1.002.sql,rev_1.003.sql,17,18,75,83,1,0,8,0,5,0,5
rev_1.003.sql,rev_1.004.sql,18,18,83,83,0,0,0,0,0,4,4
rev_1.004.sql,rev_1.005.sql,18,18,83,83,0,0,4,8,0,0,0
rev_1.005.sql,rev_1.006.sql,18,18,83,83,0,0,4,8,0,0,0
rev_1.006.sql,rev_1.007.sql,18,18,83,83,0,0,6,12,0,0,0
rev_1.007.sql,rev_1.008.sql,18,18,83,83,0,0,0,0,1,0,1
rev_1.008.sql,rev_1.009.sql,18,18,83,85,0,0,3,2,5,0,5
rev_1.009.sql,rev_1.010.sql,18,20,85,93,2,0,8,0,0,0,0
rev_1.010.sql,rev_1.011.sql,20,20,93,93,0,0,0,0,1,0,1
rev_1.011.sql,rev_1.012.sql,20,20,93,93,0,0,0,0,1,0,1
rev_1.012.sql,rev_1.013.sql,20,20,93,93,0,0,0,0,0,0,0
rev_1.013.sql,rev_1.014.sql,20,21,93,95,1,0,2,0,0,0,0
rev_1.014.sql,rev_1.015.sql,21,21,95,98,0,0,5,4,0,0,0
rev_1.015.sql,rev_1.016.sql,21,21,98,98,0,0,0,0,0,1,1
rev_1.016.sql,rev_1.017.sql,21,21,98,99,0,0,1,0,0,0,0
rev_1.017.sql,rev_1.018.sql,21,21,99,99,0,0,0,0,0,1,1
rev_1.018.sql,rev_1.019.sql,21,20,99,99,0,1,4,4,0,0,0
rev_1.019.sql,rev_1.020.sql,20,20,99,99,0,0,0,0,0,3,3
rev_1.020.sql,rev_1.021.sql,20,21,99,109,1,0,10,0,0,0,0
rev_1.021.sql,rev_1.022.sql,21,21,109,109,1,1,10,10,0,0,0
rev_1.022.sql,rev_1.023.sql,21,21,109,109,0,0,0,0,0,3,3
rev_1.023.sql,rev_1.024.sql,21,21,109,119,0,0,11,2,0,0,0
rev_1.024.sql,rev_1.025.sql,21,21,119,119,0,0,0,0,0,3,3
rev_1.025.sql,rev_1.026.sql,21,21,119,119,0,0,0,0,1,0,1
rev_1.026.sql,rev_1.027.sql,21,21,119,118,0,0,0,2,0,0,0
rev_1.027.sql,rev_1.028.sql,21,21,118,118,0,0,0,0,2,0,2
rev_1.028.sql,rev_1.029.sql,21,22,118,133,1,0,16,2,1,0,1
rev_1.029.sql,rev_1.030.0.sql,22,20,133,128,0,2,0,5,2,0,2
rev_1.030.0.sql,rev_1.030.2.1.sql,20,20,128,128,0,0,0,0,1,0,1
rev_1.030.2.1.sql,rev_1.031.sql,20,20,128,128,0,0,1,2,2,2,4
rev_1.031.sql,rev_1.032.sql,20,21,128,137,1,0,9,0,0,0,0
rev_1.032.sql,rev_1.033.sql,21,20,137,128,0,1,2,15,0,0,0
rev_1.033.sql,rev_1.034.sql,20,20,128,129,0,0,1,0,0,0,0
rev_1.034.sql,rev_1.035.sql,20,21,129,132,2,1,7,5,0,0,0
rev_1.035.sql,rev_1.036.sql,21,21,132,132,0,0,0,0,1,0,1
rev_1.036.sql,rev_1.037.sql,21,21,132,132,0,0,0,0,1,0,1
rev_1.037.sql,rev_1.038.sql,21,21,132,132,0,0,0,0,2,0,2
rev_1.038.sql,rev_1.039.sql,21,23,132,142,2,0,10,0,2,0,2
rev_1.039.sql,rev_1.040.sql,23,23,142,142,0,0,0,0,2,0,2
rev_1.040.sql,rev_1.041.sql,23,23,142,142,0,0,0,0,0,0,0
rev_1.041.sql,rev_1.042.sql,23,23,142,142,0,0,0,0,3,0,3
rev_1.042.sql,rev_1.043.sql,23,23,142,142,0,0,0,0,5,0,5
rev_1.043.sql,rev_1.044.sql,23,23,142,142,0,0,0,0,0,0,0
rev_1.044.sql,rev_1.045.sql,23,23,142,142,0,0,0,0,0,0,0
rev_1.045.sql,rev_1.046.sql,23,23,142,142,0,0,0,0,0,1,1
rev_1.046.sql,rev_1.047.sql,23,23,142,142,0,0,0,0,0,0,0
rev_1.047.sql,rev_1.048.0.sql,23,23,142,142,0,0,0,0,0,0,0
rev_1.048.0.sql,rev_1.048.2.1.sql,23,24,142,145,1,0,3,0,0,0,0
rev_1.048.2.1.sql,rev_1.048.2.2.sql,24,25,145,156,1,0,11,0,0,0,0
rev_1.048.2.2.sql,rev_1.048.2.3.sql,25,26,156,158,1,0,2,0,0,0,0
rev_1.048.2.3.sql,rev_1.048.2.4.sql,26,26,158,158,0,0,0,0,1,0,1
