# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_000003.sql,rev_000007.sql,21,21,74,74,0,0,1,1,0,0,0
rev_000007.sql,rev_000010.sql,21,21,74,74,0,0,0,0,0,0,0
rev_000010.sql,rev_000012.sql,21,20,74,77,4,5,18,17,1,0,1
rev_000012.sql,rev_000014.sql,20,20,77,77,0,0,0,0,0,0,0
rev_000014.sql,rev_000015.sql,20,21,77,82,1,0,5,0,0,0,0
rev_000015.sql,rev_000030.sql,21,21,82,82,0,0,0,0,0,0,0
rev_000030.sql,rev_000031.sql,21,21,82,82,0,0,0,0,0,0,0
rev_000031.sql,rev_000049.sql,21,21,82,84,0,0,2,0,1,0,1
rev_000049.sql,rev_000050.sql,21,21,84,86,0,0,2,0,0,0,0
rev_000050.sql,rev_000056.sql,21,20,86,84,2,3,13,18,18,5,23
rev_000056.sql,rev_000058.sql,20,20,84,83,0,0,1,3,0,2,2
rev_000058.sql,rev_000061.sql,20,19,83,82,0,1,2,4,0,0,0
rev_000061.sql,rev_000062.sql,19,19,82,83,0,0,1,0,0,0,0
rev_000062.sql,rev_000063.sql,19,19,83,83,0,0,0,0,0,0,0
rev_000063.sql,rev_000067.sql,19,19,83,84,0,0,2,2,0,0,0
rev_000067.sql,rev_000071.sql,19,18,84,83,0,1,2,3,2,0,2
rev_000071.sql,rev_000072.sql,18,19,83,88,1,0,5,0,0,0,0
rev_000072.sql,rev_000073.sql,19,19,88,89,0,0,1,0,2,0,2
rev_000073.sql,rev_000081.sql,19,19,89,89,0,0,2,4,0,0,0
rev_000081.sql,rev_000082.sql,19,19,89,89,0,0,1,2,0,0,0
rev_000082.sql,rev_000084.sql,19,24,89,111,5,0,57,65,1,6,7
rev_000084.sql,rev_000085.sql,24,24,111,111,0,0,3,6,0,0,0
rev_000085.sql,rev_000089.sql,24,24,111,113,1,1,10,13,2,0,2
rev_000089.sql,rev_000092.sql,24,26,113,122,2,0,9,0,1,0,1
rev_000092.sql,rev_000093.sql,26,26,122,120,0,0,0,4,0,0,0
rev_000093.sql,rev_000094.sql,26,27,120,124,1,0,4,0,0,0,0
rev_000094.sql,rev_000102.sql,27,27,124,124,3,3,25,34,0,0,0
rev_000102.sql,rev_000104.sql,27,27,124,125,2,2,10,9,0,0,0
rev_000104.sql,rev_000105.sql,27,28,125,128,1,0,3,0,0,0,0
rev_000105.sql,rev_000106.sql,28,28,128,127,0,0,0,2,0,3,3
rev_000106.sql,rev_000107.sql,28,28,127,127,0,0,0,0,0,0,0
rev_000107.sql,rev_000110.sql,28,27,127,127,0,1,3,3,0,10,10
rev_000110.sql,rev_000111.sql,27,27,127,127,0,0,8,16,0,0,0
rev_000111.sql,rev_000112.sql,27,27,127,127,0,0,0,0,0,0,0
rev_000112.sql,rev_000118.sql,27,27,127,127,0,0,0,0,0,0,0
rev_000118.sql,rev_000122.sql,27,27,127,127,0,0,0,0,0,0,0
rev_000122.sql,rev_000134.sql,27,27,127,127,0,0,0,0,0,0,0
rev_000134.sql,rev_000182.sql,27,28,127,129,1,0,2,0,0,0,0
rev_000182.sql,rev_000194.sql,28,28,129,129,0,0,0,0,0,0,0
rev_000194.sql,rev_000201.sql,28,28,129,129,0,0,0,0,0,0,0
rev_000201.sql,rev_000255.sql,28,28,129,129,0,0,0,0,0,0,0
rev_000255.sql,rev_000258.sql,28,28,129,129,0,0,0,0,0,0,0
rev_000258.sql,rev_000268.sql,28,28,129,129,0,0,0,0,0,0,0
rev_000268.sql,rev_000269.sql,28,28,129,129,0,0,0,0,0,0,0
rev_000269.sql,rev_000286.sql,28,28,129,129,0,0,0,0,2,0,2
