trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_1.002;rev_1.001.sql;rev_1.002.sql;62;63;632;633;2;1;0;1;0;0;6;4
2;rev_1.003;rev_1.002.sql;rev_1.003.sql;63;63;633;633;0;0;0;0;2;0;0;0
3;rev_1.004;rev_1.003.sql;rev_1.004.sql;63;63;633;633;0;0;0;0;0;0;0;0
4;rev_1.005;rev_1.004.sql;rev_1.005.sql;63;63;633;634;0;0;1;0;0;0;0;0
5;rev_1.006;rev_1.005.sql;rev_1.006.sql;63;63;634;633;0;0;0;1;0;0;0;0
6;rev_1.007;rev_1.006.sql;rev_1.007.sql;63;63;633;634;0;0;1;0;0;0;0;0
7;rev_1.008;rev_1.007.sql;rev_1.008.sql;63;63;634;633;0;0;0;1;0;0;0;0
8;rev_1.009;rev_1.008.sql;rev_1.009.sql;63;63;633;633;0;0;0;0;0;0;0;0
9;rev_1.010;rev_1.009.sql;rev_1.010.sql;63;63;633;634;0;0;1;0;0;0;0;0
10;rev_1.011;rev_1.010.sql;rev_1.011.sql;63;63;634;634;0;0;0;0;0;0;0;0
11;rev_1.012;rev_1.011.sql;rev_1.012.sql;63;63;634;635;0;0;3;2;1;0;0;0
12;rev_1.013;rev_1.012.sql;rev_1.013.sql;63;63;635;636;0;0;1;0;2;0;0;0
13;rev_1.014;rev_1.013.sql;rev_1.014.sql;63;63;636;636;0;0;0;0;0;0;0;0
14;rev_1.015;rev_1.014.sql;rev_1.015.sql;63;63;636;636;0;0;0;0;0;0;0;0
15;rev_1.016;rev_1.015.sql;rev_1.016.sql;63;63;636;636;0;0;0;0;0;0;0;0
16;rev_1.017;rev_1.016.sql;rev_1.017.sql;63;63;636;636;0;0;0;0;0;0;0;0
17;rev_1.018;rev_1.017.sql;rev_1.018.sql;63;63;636;636;0;0;0;0;0;0;0;0
18;rev_1.019;rev_1.018.sql;rev_1.019.sql;63;63;636;636;0;0;0;0;0;0;0;0
19;rev_1.020;rev_1.019.sql;rev_1.020.sql;63;63;636;636;0;0;0;0;0;0;0;0
20;rev_1.021;rev_1.020.sql;rev_1.021.sql;63;63;636;636;0;0;0;0;0;0;0;0
21;rev_1.022;rev_1.021.sql;rev_1.022.sql;63;63;636;636;0;0;0;0;0;0;0;0
22;rev_1.023;rev_1.022.sql;rev_1.023.sql;63;63;636;636;0;0;0;0;0;0;0;0
23;rev_1.024;rev_1.023.sql;rev_1.024.sql;63;63;636;636;0;0;0;0;0;0;0;0
24;rev_1.025;rev_1.024.sql;rev_1.025.sql;63;63;636;636;0;0;0;0;0;0;0;0
25;rev_1.026;rev_1.025.sql;rev_1.026.sql;63;63;636;636;0;0;0;0;0;0;0;0
26;rev_1.027;rev_1.026.sql;rev_1.027.sql;63;63;636;636;0;0;0;0;0;0;0;0
27;rev_1.028;rev_1.027.sql;rev_1.028.sql;63;63;636;636;0;0;0;0;0;0;0;0
28;rev_1.029;rev_1.028.sql;rev_1.029.sql;63;63;636;636;0;0;0;0;0;0;0;0
29;rev_1.030;rev_1.029.sql;rev_1.030.sql;63;63;636;636;0;0;0;0;0;0;0;0
30;rev_1.031;rev_1.030.sql;rev_1.031.sql;63;63;636;636;0;0;0;0;0;0;0;0
31;rev_1.032;rev_1.031.sql;rev_1.032.sql;63;63;636;636;0;0;0;0;0;0;0;0
32;rev_1.033;rev_1.032.sql;rev_1.033.sql;63;63;636;636;0;0;0;0;0;0;0;0
33;rev_1.034;rev_1.033.sql;rev_1.034.sql;63;63;636;636;0;0;0;0;0;0;0;0
34;rev_1.035;rev_1.034.sql;rev_1.035.sql;63;63;636;637;0;0;1;0;0;0;0;0
35;rev_1.036;rev_1.035.sql;rev_1.036.sql;63;63;637;637;0;0;0;0;0;0;0;0
36;rev_1.037;rev_1.036.sql;rev_1.037.sql;63;63;637;637;0;0;0;0;0;0;0;0
37;rev_1.038;rev_1.037.sql;rev_1.038.sql;63;63;637;637;0;0;0;0;0;0;0;0
38;rev_1.039;rev_1.038.sql;rev_1.039.sql;63;63;637;638;0;0;1;0;0;0;0;0
39;rev_1.040;rev_1.039.sql;rev_1.040.sql;63;63;638;638;0;0;0;0;0;0;0;0
40;rev_1.041;rev_1.040.sql;rev_1.041.sql;63;63;638;638;0;0;0;0;0;0;0;0
41;rev_1.042;rev_1.041.sql;rev_1.042.sql;63;64;638;654;1;0;0;0;0;0;16;0
42;rev_1.043;rev_1.042.sql;rev_1.043.sql;64;64;654;654;0;0;0;0;0;0;0;0
43;rev_1.044;rev_1.043.sql;rev_1.044.sql;64;64;654;654;0;0;0;0;0;0;0;0
44;rev_1.045.0;rev_1.044.sql;rev_1.045.0.sql;64;64;654;654;0;0;0;0;6;0;0;0
45;rev_1.045.2.1;rev_1.045.0.sql;rev_1.045.2.1.sql;64;64;654;654;0;0;0;0;1;0;0;0
46;rev_1.045.2.2;rev_1.045.2.1.sql;rev_1.045.2.2.sql;64;64;654;654;0;0;0;0;0;0;0;0
47;rev_1.046;rev_1.045.2.2.sql;rev_1.046.sql;64;64;654;654;0;0;0;0;0;0;0;0
48;rev_1.047.0;rev_1.046.sql;rev_1.047.0.sql;64;64;654;654;0;0;0;0;0;0;0;0
49;rev_1.047.2.1;rev_1.047.0.sql;rev_1.047.2.1.sql;64;64;654;655;0;0;1;0;0;0;0;0
50;rev_1.047.2.2;rev_1.047.2.1.sql;rev_1.047.2.2.sql;64;64;655;655;0;0;0;0;0;0;0;0
51;rev_1.048;rev_1.047.2.2.sql;rev_1.048.sql;64;64;655;655;0;0;0;0;0;0;0;0
52;rev_1.049;rev_1.048.sql;rev_1.049.sql;64;64;655;655;0;0;0;0;0;0;0;0
53;rev_1.050;rev_1.049.sql;rev_1.050.sql;64;64;655;655;0;0;0;0;0;0;0;0
54;rev_1.051;rev_1.050.sql;rev_1.051.sql;64;65;655;671;1;0;0;0;0;0;16;0
55;rev_1.052;rev_1.051.sql;rev_1.052.sql;65;65;671;672;0;0;1;0;0;0;0;0
56;rev_1.053;rev_1.052.sql;rev_1.053.sql;65;65;672;672;0;0;0;0;0;0;0;0
57;rev_1.054;rev_1.053.sql;rev_1.054.sql;65;65;672;672;0;0;0;0;0;0;0;0
58;rev_1.055;rev_1.054.sql;rev_1.055.sql;65;65;672;672;0;0;0;0;0;0;0;0
59;rev_1.056.0;rev_1.055.sql;rev_1.056.0.sql;65;65;672;672;0;0;0;0;0;0;0;0
60;rev_1.056.2.1;rev_1.056.0.sql;rev_1.056.2.1.sql;65;65;672;659;1;1;1;0;0;0;2;16
61;rev_1.056.2.2;rev_1.056.2.1.sql;rev_1.056.2.2.sql;65;65;659;659;0;0;0;0;0;0;0;0
62;rev_1.057;rev_1.056.2.2.sql;rev_1.057.sql;65;66;659;675;1;0;0;0;1;0;16;0
63;rev_1.058.0;rev_1.057.sql;rev_1.058.0.sql;66;66;675;675;0;0;0;0;0;0;0;0
64;rev_1.059;rev_1.058.0.sql;rev_1.059.sql;66;66;675;675;0;0;0;0;1;0;0;0
65;rev_1.060;rev_1.059.sql;rev_1.060.sql;66;66;675;675;0;0;0;0;0;0;0;0
66;rev_1.061;rev_1.060.sql;rev_1.061.sql;66;66;675;675;0;0;0;0;0;0;0;0
67;rev_1.062;rev_1.061.sql;rev_1.062.sql;66;65;675;659;0;1;0;0;0;0;0;16
68;rev_1.063;rev_1.062.sql;rev_1.063.sql;65;65;659;659;0;0;0;0;0;0;0;0
69;rev_1.064;rev_1.063.sql;rev_1.064.sql;65;65;659;659;0;0;0;0;0;0;0;0
70;rev_1.065;rev_1.064.sql;rev_1.065.sql;65;65;659;663;3;3;0;0;0;0;19;15
71;rev_1.067;rev_1.065.sql;rev_1.067.sql;65;66;663;676;4;3;1;0;1;0;31;19
72;rev_1.068;rev_1.067.sql;rev_1.068.sql;66;66;676;676;0;0;0;0;0;0;0;0
73;rev_1.069;rev_1.068.sql;rev_1.069.sql;66;67;676;691;1;0;0;1;0;0;16;0
74;rev_1.070;rev_1.069.sql;rev_1.070.sql;67;67;691;691;0;0;0;0;0;0;0;0
75;rev_1.071;rev_1.070.sql;rev_1.071.sql;67;67;691;691;0;0;0;0;0;0;0;0
76;rev_1.072;rev_1.071.sql;rev_1.072.sql;67;67;691;691;0;0;0;0;0;0;0;0
77;rev_1.073;rev_1.072.sql;rev_1.073.sql;67;67;691;691;0;0;0;0;2;0;0;0
78;rev_1.074.0;rev_1.073.sql;rev_1.074.0.sql;67;67;691;691;0;0;0;0;0;0;0;0
79;rev_1.074.4.1;rev_1.074.0.sql;rev_1.074.4.1.sql;67;67;691;691;0;0;0;0;0;0;0;0
80;rev_1.074.4.2;rev_1.074.4.1.sql;rev_1.074.4.2.sql;67;67;691;691;0;0;0;0;0;0;0;0
81;rev_1.074.4.3;rev_1.074.4.2.sql;rev_1.074.4.3.sql;67;67;691;691;0;0;0;0;0;0;0;0
82;rev_1.074.4.4;rev_1.074.4.3.sql;rev_1.074.4.4.sql;67;67;691;691;0;0;0;0;0;0;0;0
83;rev_1.074.4.5;rev_1.074.4.4.sql;rev_1.074.4.5.sql;67;67;691;691;0;0;0;0;0;0;0;0
84;rev_1.075;rev_1.074.4.5.sql;rev_1.075.sql;67;67;691;693;0;0;2;0;0;0;0;0
85;rev_1.076;rev_1.075.sql;rev_1.076.sql;67;67;693;693;0;0;0;0;0;0;0;0
86;rev_1.077;rev_1.076.sql;rev_1.077.sql;67;67;693;698;0;0;8;3;0;0;0;0
87;rev_1.078;rev_1.077.sql;rev_1.078.sql;67;67;698;698;0;0;0;0;0;0;0;0
88;rev_1.079;rev_1.078.sql;rev_1.079.sql;67;67;698;697;0;0;0;1;0;0;0;0
89;rev_1.080;rev_1.079.sql;rev_1.080.sql;67;66;697;695;0;1;0;0;0;0;0;2
90;rev_1.081;rev_1.080.sql;rev_1.081.sql;66;66;695;694;0;0;0;1;0;0;0;0
91;rev_1.082;rev_1.081.sql;rev_1.082.sql;66;66;694;694;0;0;0;0;0;0;0;0
92;rev_1.083;rev_1.082.sql;rev_1.083.sql;66;66;694;694;0;0;0;0;0;0;0;0
93;rev_1.084;rev_1.083.sql;rev_1.084.sql;66;66;694;694;0;0;0;0;0;0;0;0
94;rev_1.085;rev_1.084.sql;rev_1.085.sql;66;66;694;694;0;0;0;0;0;0;0;0
95;rev_1.086;rev_1.085.sql;rev_1.086.sql;66;66;694;694;0;0;0;0;0;0;0;0
96;rev_1.087;rev_1.086.sql;rev_1.087.sql;66;66;694;702;0;0;9;1;0;0;0;0
