trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_1.02;rev_1.01.sql;rev_1.02.sql;11;11;54;54;1;1;0;0;0;8;4;4
2;rev_1.03;rev_1.02.sql;rev_1.03.sql;11;13;54;57;2;0;0;0;0;9;3;0
3;rev_1.04;rev_1.03.sql;rev_1.04.sql;13;12;57;55;0;1;13;9;3;0;0;6
4;rev_1.05;rev_1.04.sql;rev_1.05.sql;12;12;55;58;1;1;3;0;0;0;4;4
5;rev_1.06;rev_1.05.sql;rev_1.06.sql;12;12;58;58;0;0;0;0;1;0;0;0
6;rev_1.07;rev_1.06.sql;rev_1.07.sql;12;12;58;52;2;2;0;0;0;0;11;17
7;rev_1.08;rev_1.07.sql;rev_1.08.sql;12;12;52;52;0;0;1;1;0;0;0;0
8;rev_1.09;rev_1.08.sql;rev_1.09.sql;12;12;52;53;0;0;1;0;0;0;0;0
9;rev_1.10;rev_1.09.sql;rev_1.10.sql;12;12;53;54;0;0;1;0;0;0;0;0
10;rev_1.11;rev_1.10.sql;rev_1.11.sql;12;12;54;56;0;0;2;0;0;0;0;0
11;rev_1.12;rev_1.11.sql;rev_1.12.sql;12;10;56;58;2;4;0;0;0;1;12;10
12;rev_1.13;rev_1.12.sql;rev_1.13.sql;10;9;58;50;0;1;2;6;0;0;0;4
13;rev_1.14;rev_1.13.sql;rev_1.14.sql;9;9;50;50;0;0;2;2;0;0;0;0
14;rev_1.15;rev_1.14.sql;rev_1.15.sql;9;9;50;51;0;0;2;1;4;0;0;0
15;rev_1.16;rev_1.15.sql;rev_1.16.sql;9;9;51;53;0;0;2;0;0;0;0;0
16;rev_1.17;rev_1.16.sql;rev_1.17.sql;9;9;53;54;0;0;1;0;0;0;0;0
17;rev_1.18;rev_1.17.sql;rev_1.18.sql;9;10;54;64;1;0;2;0;0;0;8;0
18;rev_1.19;rev_1.18.sql;rev_1.19.sql;10;10;64;66;0;0;2;0;0;0;0;0
19;rev_1.20;rev_1.19.sql;rev_1.20.sql;10;10;66;66;0;0;0;0;1;0;0;0
20;rev_1.21;rev_1.20.sql;rev_1.21.sql;10;9;66;62;0;1;2;2;0;0;0;4
21;rev_1.22;rev_1.21.sql;rev_1.22.sql;9;9;62;62;0;0;5;5;0;0;0;0
22;rev_1.23;rev_1.22.sql;rev_1.23.sql;9;9;62;63;0;0;1;0;0;0;0;0
23;rev_1.24;rev_1.23.sql;rev_1.24.sql;9;9;63;63;0;0;0;0;0;0;0;0
24;rev_1.25;rev_1.24.sql;rev_1.25.sql;9;9;63;69;0;0;6;0;1;0;0;0
25;rev_1.26;rev_1.25.sql;rev_1.26.sql;9;9;69;69;0;0;0;0;0;0;0;0
26;rev_1.27;rev_1.26.sql;rev_1.27.sql;9;9;69;69;0;0;0;0;0;0;0;0
27;rev_1.28;rev_1.27.sql;rev_1.28.sql;9;9;69;69;0;0;0;0;0;0;0;0
28;rev_1.29;rev_1.28.sql;rev_1.29.sql;9;9;69;72;0;0;3;0;0;0;0;0
29;rev_1.30;rev_1.29.sql;rev_1.30.sql;9;9;72;73;0;0;1;0;0;0;0;0
30;rev_1.31;rev_1.30.sql;rev_1.31.sql;9;9;73;73;0;0;0;0;0;0;0;0
31;rev_1.32;rev_1.31.sql;rev_1.32.sql;9;9;73;73;0;0;2;2;0;0;0;0
32;rev_1.33;rev_1.32.sql;rev_1.33.sql;9;9;73;73;0;0;0;0;0;0;0;0
33;rev_1.34.0;rev_1.33.sql;rev_1.34.0.sql;9;9;73;73;0;0;0;0;0;0;0;0
34;rev_1.34.4.1;rev_1.34.0.sql;rev_1.34.4.1.sql;9;9;73;73;0;0;0;0;0;0;0;0
35;rev_1.35;rev_1.34.4.1.sql;rev_1.35.sql;9;9;73;73;0;0;0;0;0;0;0;0
36;rev_1.36;rev_1.35.sql;rev_1.36.sql;9;9;73;74;0;0;1;0;1;0;0;0
37;rev_1.37;rev_1.36.sql;rev_1.37.sql;9;9;74;74;0;0;0;0;0;0;0;0
38;rev_1.38;rev_1.37.sql;rev_1.38.sql;9;9;74;74;0;0;0;0;0;0;0;0
39;rev_1.39;rev_1.38.sql;rev_1.39.sql;9;9;74;74;0;0;1;1;0;0;0;0
40;rev_1.40;rev_1.39.sql;rev_1.40.sql;9;9;74;74;0;0;0;0;0;0;0;0
41;rev_1.41;rev_1.40.sql;rev_1.41.sql;9;10;74;77;1;0;0;0;0;0;3;0
42;rev_1.42;rev_1.41.sql;rev_1.42.sql;10;10;77;77;0;0;0;0;0;0;0;0
43;rev_1.43;rev_1.42.sql;rev_1.43.sql;10;10;77;77;0;0;0;0;0;0;0;0
44;rev_1.44;rev_1.43.sql;rev_1.44.sql;10;10;77;77;0;0;0;0;0;0;0;0
45;rev_1.45;rev_1.44.sql;rev_1.45.sql;10;10;77;77;0;0;0;0;0;0;0;0
46;rev_1.46;rev_1.45.sql;rev_1.46.sql;10;10;77;77;0;0;0;0;0;0;0;0
47;rev_1.47;rev_1.46.sql;rev_1.47.sql;10;10;77;77;0;0;0;0;0;0;0;0
48;rev_1.48;rev_1.47.sql;rev_1.48.sql;10;10;77;77;0;0;0;0;0;0;0;0
49;rev_1.49;rev_1.48.sql;rev_1.49.sql;10;10;77;77;0;0;0;0;0;0;0;0
50;rev_1.50;rev_1.49.sql;rev_1.50.sql;10;10;77;77;0;0;0;0;0;0;0;0
51;rev_1.51;rev_1.50.sql;rev_1.51.sql;10;10;77;77;0;0;0;0;0;0;0;0
