trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_1.02;rev_1.01.sql;rev_1.02.sql;10;10;116;116;0;0;0;0;0;0;0;0
2;rev_1.03;rev_1.02.sql;rev_1.03.sql;10;10;116;117;0;0;1;0;0;0;0;0
3;rev_1.04;rev_1.03.sql;rev_1.04.sql;10;9;117;109;0;1;0;1;0;0;0;7
4;rev_1.05;rev_1.04.sql;rev_1.05.sql;9;9;109;109;0;0;0;0;0;0;0;0
5;rev_1.06;rev_1.05.sql;rev_1.06.sql;9;9;109;109;0;0;0;0;0;0;0;0
6;rev_1.07;rev_1.06.sql;rev_1.07.sql;9;9;109;110;0;0;1;0;0;0;0;0
7;rev_1.08;rev_1.07.sql;rev_1.08.sql;9;9;110;110;0;0;0;0;0;0;0;0
8;rev_1.09;rev_1.08.sql;rev_1.09.sql;9;7;110;74;0;2;0;0;0;0;0;36
9;rev_1.10;rev_1.09.sql;rev_1.10.sql;7;9;74;110;2;0;0;0;0;0;36;0
10;rev_1.11;rev_1.10.sql;rev_1.11.sql;9;9;110;111;0;0;1;0;0;0;0;0
11;rev_1.12;rev_1.11.sql;rev_1.12.sql;9;9;111;112;0;0;1;0;0;0;0;0
12;rev_1.13;rev_1.12.sql;rev_1.13.sql;9;9;112;112;0;0;0;0;0;0;0;0
13;rev_1.14;rev_1.13.sql;rev_1.14.sql;9;11;112;119;2;0;0;0;0;0;7;0
14;rev_1.15;rev_1.14.sql;rev_1.15.sql;11;11;119;119;0;0;0;0;0;0;0;0
15;rev_1.16;rev_1.15.sql;rev_1.16.sql;11;11;119;119;0;0;0;0;0;0;0;0
16;rev_1.17;rev_1.16.sql;rev_1.17.sql;11;11;119;119;0;0;0;0;0;0;0;0
17;rev_1.18;rev_1.17.sql;rev_1.18.sql;11;11;119;119;0;0;0;0;0;0;0;0
18;rev_1.19;rev_1.18.sql;rev_1.19.sql;11;11;119;119;0;0;0;0;0;0;0;0
19;rev_1.20;rev_1.19.sql;rev_1.20.sql;11;11;119;119;0;0;0;0;3;0;0;0
20;rev_1.21;rev_1.20.sql;rev_1.21.sql;11;11;119;119;0;0;0;0;3;0;0;0
21;rev_1.22;rev_1.21.sql;rev_1.22.sql;11;11;119;119;0;0;0;0;0;0;0;0
22;rev_1.23;rev_1.22.sql;rev_1.23.sql;11;11;119;119;0;0;0;0;0;0;0;0
23;rev_1.24;rev_1.23.sql;rev_1.24.sql;11;11;119;119;0;0;0;0;0;0;0;0
24;rev_1.25;rev_1.24.sql;rev_1.25.sql;11;11;119;121;0;0;3;1;0;0;0;0
25;rev_1.26;rev_1.25.sql;rev_1.26.sql;11;11;121;121;0;0;0;0;0;0;0;0
26;rev_1.27;rev_1.26.sql;rev_1.27.sql;11;12;121;124;1;0;0;0;0;0;3;0
27;rev_1.28;rev_1.27.sql;rev_1.28.sql;12;12;124;124;0;0;0;0;0;0;0;0
28;rev_1.29;rev_1.28.sql;rev_1.29.sql;12;12;124;124;0;0;0;0;0;0;0;0
29;rev_1.30;rev_1.29.sql;rev_1.30.sql;12;12;124;124;0;0;0;0;0;0;0;0
30;rev_1.31;rev_1.30.sql;rev_1.31.sql;12;12;124;124;0;0;0;0;0;0;0;0
