trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
19;rev_1.02;rev_1.01.sql;rev_1.02.sql;6;6;34;39;0;0;6;1;0;0;0;0
20;rev_1.03;rev_1.02.sql;rev_1.03.sql;6;4;39;34;0;2;6;1;4;0;0;10
21;rev_1.04;rev_1.03.sql;rev_1.04.sql;4;4;34;35;0;0;1;0;0;0;0;0
22;rev_1.05;rev_1.04.sql;rev_1.05.sql;4;4;35;38;0;0;3;0;2;0;0;0
23;rev_1.06;rev_1.05.sql;rev_1.06.sql;4;4;38;38;0;0;0;0;1;0;0;0
24;rev_1.07;rev_1.06.sql;rev_1.07.sql;4;4;38;40;0;0;2;0;0;0;0;0
25;rev_1.08;rev_1.07.sql;rev_1.08.sql;4;8;40;59;4;0;8;10;0;1;21;0
26;rev_1.09;rev_1.08.sql;rev_1.09.sql;8;8;59;59;0;0;0;0;1;0;0;0
27;rev_1.10;rev_1.09.sql;rev_1.10.sql;8;8;59;60;0;0;1;0;0;0;0;0
28;rev_1.11;rev_1.10.sql;rev_1.11.sql;8;8;60;60;0;0;0;0;4;0;0;0
29;rev_1.12;rev_1.11.sql;rev_1.12.sql;8;8;60;60;0;0;0;0;4;0;0;0
30;rev_1.13;rev_1.12.sql;rev_1.13.sql;8;8;60;60;0;0;0;0;0;0;0;0
31;rev_1.14;rev_1.13.sql;rev_1.14.sql;8;8;60;61;0;0;1;0;0;0;0;0
32;rev_1.15;rev_1.14.sql;rev_1.15.sql;8;9;61;63;1;0;0;0;0;0;2;0
33;rev_1.16;rev_1.15.sql;rev_1.16.sql;9;9;63;63;0;0;0;0;2;0;0;0
34;rev_1.17;rev_1.16.sql;rev_1.17.sql;9;10;63;71;1;0;0;0;0;0;8;0
