;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
t_schema_vers;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
t_vo_acl;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];
t_transfer;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;11[0|0|0|0];11[0|0|1|0];11[0|0|0|0];11[0|0|1|0];11[0|0|1|0];11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];
t_channel_acl;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
t_channel;6[0|0|0|0];7[2|1|0|0];9[2|0|1|0];9[0|0|0|0];10[1|0|0|0];10[0|0|0|0];10[0|0|0|0];10[3|3|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|1|0];10[0|0|1|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];
t_job_log;6[0|0|0|0];6[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
t_channel_vo_share;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
t_logical;4[0|0|0|0];4[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
t_file;9[0|0|0|0];10[1|0|0|0];12[3|1|2|0];13[1|0|0|0];15[2|0|2|0];15[0|0|0|0];15[0|0|0|0];11[1|5|0|1];11[0|0|0|0];12[1|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];
t_agent;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;8[0|0|0|0];
t_job;6[0|0|0|0];9[3|0|0|0];10[1|0|1|0];10[0|0|0|0];10[0|0|0|0];10[0|0|1|0];12[2|0|0|0];14[4|2|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|1|0];14[0|0|1|0];14[0|0|0|0];15[1|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];
t_trace;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|1|0];5[0|0|1|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
