trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_1.01.sql;rev_1.02.sql;t_channel;Insertion:UpdateTable;channel_name;VARCHAR(32);true;0;-
1;rev_1.01.sql;rev_1.02.sql;t_channel;Insertion:UpdateTable;last_active;DATE;false;0;-
1;rev_1.01.sql;rev_1.02.sql;t_channel;Deletion:UpdateTable;name;VARCHAR(255);false;0;-
1;rev_1.01.sql;rev_1.02.sql;t_file;Insertion:UpdateTable;transfer_time;DATE;false;0;-
1;rev_1.01.sql;rev_1.02.sql;t_job;Insertion:UpdateTable;agent_dn;TEXT;false;0;-
1;rev_1.01.sql;rev_1.02.sql;t_job;Insertion:UpdateTable;channel_name;VARCHAR(32);false;0;channel_name@t_channel
1;rev_1.01.sql;rev_1.02.sql;t_job;Insertion:UpdateTable;submit_time;DATE;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_channel;Update:TypeChange;last_active;DATETIME;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_channel;Insertion:UpdateTable;nominal_throughput;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_channel;Insertion:UpdateTable;nostreams;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_file;Insertion:UpdateTable;bytes_written;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_file;Insertion:UpdateTable;checksum;VARCHAR(100);false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_file;Insertion:UpdateTable;filesize;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_file;Update:TypeChange;duration;FLOAT;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_file;Update:TypeChange;transfer_time;DATETIME;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_file;Deletion:UpdateTable;file_params;VARCHAR(250);false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job;Update:TypeChange;submit_time;DATETIME;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job;Insertion:UpdateTable;voms_cred;BLOB;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job_log;Deletion:DeleteTable;dn;TEXT;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job_log;Deletion:DeleteTable;file_id;INTEGER;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job_log;Deletion:DeleteTable;file_state;VARCHAR(9);false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job_log;Deletion:DeleteTable;job_id;CHAR(36);false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job_log;Deletion:DeleteTable;job_state;VARCHAR(9);false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_job_log;Deletion:DeleteTable;timestamp;DATE;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_logical;Deletion:DeleteTable;destination;TEXT;false;0;-
2;rev_1.02.sql;rev_1.03.sql;t_logical;Deletion:DeleteTable;file_id;INTEGER;true;0;file_id@t_file
2;rev_1.02.sql;rev_1.03.sql;t_logical;Deletion:DeleteTable;job_id;CHAR(36);false;0;job_id@t_job
2;rev_1.02.sql;rev_1.03.sql;t_logical;Deletion:DeleteTable;source;TEXT;false;0;-
3;rev_1.03.sql;rev_1.04.sql;t_file;Insertion:UpdateTable;file_params;VARCHAR(255);false;0;-
4;rev_1.04.sql;rev_1.05.sql;t_channel;Insertion:UpdateTable;nofiles;INTEGER;false;0;-
4;rev_1.04.sql;rev_1.05.sql;t_file;Update:TypeChange;bytes_written;BIGINT;false;0;-
