trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_006297.sql;rev_006316.sql;-;-;-;-;-;-;-
2;rev_006316.sql;rev_006396.sql;-;-;-;-;-;-;-
3;rev_006396.sql;rev_006452.sql;-;-;-;-;-;-;-
4;rev_006452.sql;rev_006659.sql;-;-;-;-;-;-;-
5;rev_006659.sql;rev_006691.sql;-;-;-;-;-;-;-
6;rev_006691.sql;rev_006692.sql;-;-;-;-;-;-;-
7;rev_006692.sql;rev_006694.sql;-;-;-;-;-;-;-
8;rev_006694.sql;rev_006700.sql;-;-;-;-;-;-;-
9;rev_006700.sql;rev_006701.sql;-;-;-;-;-;-;-
10;rev_006701.sql;rev_006716.sql;-;-;-;-;-;-;-
11;rev_006716.sql;rev_006722.sql;-;-;-;-;-;-;-
12;rev_006722.sql;rev_006985.sql;-;-;-;-;-;-;-
13;rev_006985.sql;rev_007033.sql;-;-;-;-;-;-;-
14;rev_007033.sql;rev_007104.sql;-;-;-;-;-;-;-
15;rev_007104.sql;rev_007106.sql;-;-;-;-;-;-;-
16;rev_007106.sql;rev_007122.sql;#__banner;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__categories;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__contact_details;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__content;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__menu;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__newsfeeds;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__polls;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__sections;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
16;rev_007106.sql;rev_007122.sql;#__weblinks;Insertion:UpdateTable;alias;VARCHAR(255);false;0;-
17;rev_007122.sql;rev_007127.sql;-;-;-;-;-;-;-
18;rev_007127.sql;rev_007239.sql;-;-;-;-;-;-;-
19;rev_007239.sql;rev_007240.sql;-;-;-;-;-;-;-
20;rev_007240.sql;rev_007300.sql;-;-;-;-;-;-;-
21;rev_007300.sql;rev_007332.sql;-;-;-;-;-;-;-
22;rev_007332.sql;rev_007427.sql;#__template_positions;Deletion:DeleteTable;description;VARCHAR(255);false;0;-
22;rev_007332.sql;rev_007427.sql;#__template_positions;Deletion:DeleteTable;id;INT(11);false;0;-
22;rev_007332.sql;rev_007427.sql;#__template_positions;Deletion:DeleteTable;position;VARCHAR(50);false;0;-
23;rev_007427.sql;rev_007618.sql;#__core_acl_aro_sections;Insertion:UpdateTable;id;INT(11);false;0;-
23;rev_007427.sql;rev_007618.sql;#__core_acl_aro_sections;Deletion:UpdateTable;section_id;INT(11);false;0;-
24;rev_007618.sql;rev_007803.sql;-;-;-;-;-;-;-
25;rev_007803.sql;rev_008237.sql;#__session;Update:TypeChange;data;LONGTEXT;false;0;-
26;rev_008237.sql;rev_008260.sql;#__core_acl_aro_map;Insertion:NewTable;acl_id;INT(11);false;0;-
26;rev_008237.sql;rev_008260.sql;#__core_acl_aro_map;Insertion:NewTable;section_value;VARCHAR(230);false;0;-
26;rev_008237.sql;rev_008260.sql;#__core_acl_aro_map;Insertion:NewTable;value;VARCHAR(100);false;0;-
27;rev_008260.sql;rev_008460.sql;-;-;-;-;-;-;-
28;rev_008460.sql;rev_008540.sql;-;-;-;-;-;-;-
29;rev_008540.sql;rev_008585.sql;-;-;-;-;-;-;-
30;rev_008585.sql;rev_008588.sql;-;-;-;-;-;-;-
31;rev_008588.sql;rev_008776.sql;-;-;-;-;-;-;-
32;rev_008776.sql;rev_008856.sql;#__migration_backlinks;Insertion:NewTable;itemid;INT(11);false;0;-
32;rev_008776.sql;rev_008856.sql;#__migration_backlinks;Insertion:NewTable;name;VARCHAR(100);false;0;-
32;rev_008776.sql;rev_008856.sql;#__migration_backlinks;Insertion:NewTable;newurl;TEXT;false;0;-
32;rev_008776.sql;rev_008856.sql;#__migration_backlinks;Insertion:NewTable;sefurl;TEXT;false;0;-
32;rev_008776.sql;rev_008856.sql;#__migration_backlinks;Insertion:NewTable;url;TEXT;false;0;-
33;rev_008856.sql;rev_008859.sql;-;-;-;-;-;-;-
34;rev_008859.sql;rev_009280.sql;-;-;-;-;-;-;-
35;rev_009280.sql;rev_009340.sql;-;-;-;-;-;-;-
36;rev_009340.sql;rev_009426.sql;-;-;-;-;-;-;-
37;rev_009426.sql;rev_009540.sql;-;-;-;-;-;-;-
38;rev_009540.sql;rev_009569.sql;-;-;-;-;-;-;-
39;rev_009569.sql;rev_009638.sql;-;-;-;-;-;-;-
40;rev_009638.sql;rev_009728.sql;-;-;-;-;-;-;-
41;rev_009728.sql;rev_009898.sql;-;-;-;-;-;-;-
42;rev_009898.sql;rev_009904.sql;-;-;-;-;-;-;-
43;rev_009904.sql;rev_010124.sql;-;-;-;-;-;-;-
44;rev_010124.sql;rev_010131.sql;-;-;-;-;-;-;-
45;rev_010131.sql;rev_010255.sql;-;-;-;-;-;-;-
