table;dur;birth;death;chngs;s@s;s@e;sAvg
#__access_action_rule_map;73;63;135;2;3;3;3
#__access_actions;73;63;135;6;7;8;7,9315066
#__access_asset_assetgroup_map;73;63;135;2;3;3;3
#__access_asset_rule_map;73;63;135;2;3;3;3
#__access_assetgroup_rule_map;73;63;135;2;3;3;3
#__access_assetgroups;73;63;135;7;8;8;8
#__access_assets;73;63;135;12;6;9;6,2054796
#__access_rules;73;63;135;9;13;13;13
#__access_sections;73;63;135;2;5;5;5
#__action_log_config;15;711;-;0;7;7;7
#__action_logs;47;671;-;2;7;8;7,744681
#__action_logs_extensions;47;671;-;0;2;2;2
#__action_logs_tables_data;32;671;710;0;7;7;7
#__action_logs_users;8;718;-;0;3;3;3
#__assets;590;136;-;0;9;9;9
#__associations;405;321;-;1;4;4;4
#__backup_entries;48;46;93;3;7;6;6,0208335
#__backups;48;46;93;0;8;8;8
#__banner;169;0;168;6;23;24;23,905325
#__banner_clients;557;169;-;7;14;14;14
#__banner_tracks;557;169;-;4;4;4;4
#__bannerclient;169;0;168;1;8;8;8
#__banners;557;169;-;30;27;35;32,552963
#__bannertrack;169;0;168;2;3;3;3
#__categories;726;0;-;83;16;29;26,336088
#__components;179;0;178;4;13;13;13
#__contact_con_cat_map;7;87;93;0;3;3;3
#__contact_contacts;7;87;93;0;9;9;9
#__contact_details;726;0;-;107;25;45;38,960056
#__contact_fields;7;87;93;0;12;12;12
#__contactdirectory_con_cat_map;44;43;86;0;3;3;3
#__contactdirectory_contacts;44;43;86;0;9;9;9
#__contactdirectory_details;44;43;86;0;5;5;5
#__contactdirectory_fields;44;43;86;0;12;12;12
#__content;726;0;-;47;29;33;32,96832
#__content_frontpage;726;0;-;4;2;2;2
#__content_keyword_article_map;1;127;127;0;2;2;2
#__content_rating;726;0;-;6;4;4;4
#__content_types;308;418;-;7;7;9;8,805195
#__contentitem_tag_map;308;418;-;6;6;7;6,9772725
#__core_acl_acl;39;43;81;1;9;10;9,692307
#__core_acl_acl_sections;39;43;81;0;5;5;5
#__core_acl_aco;39;43;81;0;9;9;9
#__core_acl_aco_map;39;43;81;0;3;3;3
#__core_acl_aco_sections;39;43;81;0;5;5;5
#__core_acl_aro;82;0;81;0;6;6;6
#__core_acl_aro_groups;82;0;81;0;6;6;6
#__core_acl_aro_groups_map;39;43;81;0;2;2;2
#__core_acl_aro_map;56;26;81;2;3;3;3
#__core_acl_aro_sections;82;0;81;2;5;5;5
#__core_acl_axo;39;43;81;2;6;6;6
#__core_acl_axo_groups;39;43;81;1;6;7;6,6923075
#__core_acl_axo_groups_map;39;43;81;0;2;2;2
#__core_acl_axo_map;39;43;81;0;3;3;3
#__core_acl_axo_sections;39;43;81;0;5;5;5
#__core_acl_groups_aro_map;82;0;81;0;3;3;3
#__core_acl_groups_axo_map;39;43;81;0;2;2;2
#__core_content;7;418;425;0;34;34;34
#__core_log_items;179;0;179;2;4;4;4
#__core_log_searches;725;0;-;2;2;2;2
#__extensions;670;44;-;13;17;19;17,379105
#__fields;137;589;-;16;32;24;25,175182
#__fields_categories;118;608;-;0;2;2;2
#__fields_groups;127;598;-;4;17;17;16,68504
#__fields_values;137;589;-;1;5;4;4,29927
#__finder_filters;368;358;-;0;14;14;14
#__finder_links;368;358;-;2;19;19;19
#__finder_links_terms0;368;358;-;0;3;3;3
#__finder_links_terms1;368;358;-;0;3;3;3
#__finder_links_terms2;368;358;-;0;3;3;3
#__finder_links_terms3;368;358;-;0;3;3;3
#__finder_links_terms4;368;358;-;0;3;3;3
#__finder_links_terms5;368;358;-;0;3;3;3
#__finder_links_terms6;368;358;-;0;3;3;3
#__finder_links_terms7;368;358;-;0;3;3;3
#__finder_links_terms8;368;358;-;0;3;3;3
#__finder_links_terms9;368;358;-;0;3;3;3
#__finder_links_termsa;368;358;-;0;3;3;3
#__finder_links_termsb;368;358;-;0;3;3;3
#__finder_links_termsc;368;358;-;0;3;3;3
#__finder_links_termsd;368;358;-;0;3;3;3
#__finder_links_termse;368;358;-;0;3;3;3
#__finder_links_termsf;368;358;-;0;3;3;3
#__finder_taxonomy;368;358;-;0;6;6;6
#__finder_taxonomy_map;368;358;-;0;2;2;2
#__finder_terms;368;358;-;3;8;9;8,904891
#__finder_terms_common;368;358;-;0;2;2;2
#__finder_tokens;368;358;-;1;6;7;6,902174
#__finder_tokens_aggregate;368;358;-;1;10;11;10,902174
#__finder_types;368;358;-;0;3;3;3
#__groups;43;0;42;0;2;2;2
#__joomla_trunk_16__jos_tasks;1;48;48;0;7;7;7
#__joomla_trunk_16__jos_tasksets;1;48;48;0;9;9;9
#__languages;593;133;-;17;6;15;11,833053
#__menu;699;0;-;61;20;26;24,849785
#__menu_template;69;84;155;2;6;6;6
#__menu_types;726;0;-;10;4;6;4,373278
#__messages;726;0;-;12;9;9;9
#__messages_cfg;726;0;-;2;3;3;3
#__migration_backlinks;13;32;44;0;5;5;5
#__modules;726;0;-;30;16;19;17,32507
#__modules_menu;726;0;-;4;2;2;2
#__newsfeeds;726;0;-;51;12;32;25,714876
#__overrider;376;350;-;0;5;5;5
#__plugins;56;0;105;3;12;12;12
