Table	Duration	Birth	Death	LastKnownVersion	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
#__access_action_rule_map	73	63	135	135	3	3	3	1	2	1	0.03	0.01	2	10	1	11
#__access_actions	73	63	135	135	7	8	7.93	1.14	6	3	0.08	0.04	2	10	1	11
#__access_asset_assetgroup_map	73	63	135	135	3	3	3	1	2	1	0.03	0.01	2	10	1	11
#__access_asset_rule_map	73	63	135	135	3	3	3	1	2	1	0.03	0.01	2	10	1	11
#__access_assetgroup_rule_map	73	63	135	135	3	3	3	1	2	1	0.03	0.01	2	10	1	11
#__access_assetgroups	73	63	135	135	8	8	8	1	7	1	0.1	0.01	7	10	1	11
#__access_assets	73	63	135	135	6	9	6.21	1.5	12	2	0.16	0.03	6	10	2	12
#__access_rules	73	63	135	135	13	13	13	1	9	2	0.12	0.03	4.5	10	2	12
#__access_sections	73	63	135	135	5	5	5	1	2	1	0.03	0.01	2	10	1	11
#__action_log_config	15	711	-	725	7	7	7	1	0	0	0	0		20	0	20
#__action_logs	47	671	-	725	7	8	7.74	1.14	2	2	0.04	0.04	1	20	1	21
#__action_logs_extensions	47	671	-	725	2	2	2	1	0	0	0	0		20	0	20
#__action_logs_tables_data	32	671	710	710	7	7	7	1	0	0	0	0		10	0	10
#__action_logs_users	8	718	-	725	3	3	3	1	0	0	0	0		20	0	20
#__assets	590	136	-	725	9	9	9	1	0	0	0	0		20	0	20
#__associations	405	321	-	725	4	4	4	1	1	1	0	0	1	20	1	21
#__backup_entries	48	46	93	93	7	6	6.02	0.86	3	1	0.06	0.02	3	10	1	11
#__backups	48	46	93	93	8	8	8	1	0	0	0	0		10	0	10
#__banner	169	0	168	168	23	24	23.91	1.04	6	2	0.04	0.01	3	10	1	11
#__banner_clients	557	169	-	725	14	14	14	1	7	2	0.01	0	3.5	20	1	21
#__banner_tracks	557	169	-	725	4	4	4	1	4	2	0.01	0	2	20	1	21
#__bannerclient	169	0	168	168	8	8	8	1	1	1	0.01	0.01	1	10	1	11
#__banners	557	169	-	725	27	35	32.55	1.3	30	14	0.05	0.03	2.14	20	1	21
#__bannertrack	169	0	168	168	3	3	3	1	2	1	0.01	0.01	2	10	1	11
#__categories	726	0	-	725	16	29	26.34	1.81	83	26	0.11	0.04	3.19	20	2	22
#__components	179	0	178	178	13	13	13	1	4	1	0.02	0.01	4	10	1	11
#__contact_con_cat_map	7	87	93	93	3	3	3	1	0	0	0	0		10	0	10
#__contact_contacts	7	87	93	93	9	9	9	1	0	0	0	0		10	0	10
#__contact_details	726	0	-	725	25	45	38.96	1.8	107	20	0.15	0.03	5.35	20	2	22
#__contact_fields	7	87	93	93	12	12	12	1	0	0	0	0		10	0	10
#__contactdirectory_con_cat_map	44	43	86	86	3	3	3	1	0	0	0	0		10	0	10
#__contactdirectory_contacts	44	43	86	86	9	9	9	1	0	0	0	0		10	0	10
#__contactdirectory_details	44	43	86	86	5	5	5	1	0	0	0	0		10	0	10
#__contactdirectory_fields	44	43	86	86	12	12	12	1	0	0	0	0		10	0	10
#__content	726	0	-	725	29	33	32.97	1.14	47	19	0.06	0.03	2.47	20	1	21
#__content_frontpage	726	0	-	725	2	2	2	1	4	2	0.01	0	2	20	1	21
#__content_keyword_article_map	1	127	127	127	2	2	2	1	0	0	0	0		10	0	10
#__content_rating	726	0	-	725	4	4	4	1	6	2	0.01	0	3	20	1	21
#__content_types	308	418	-	725	7	9	8.81	1.29	7	4	0.02	0.01	1.75	20	1	21
#__contentitem_tag_map	308	418	-	725	6	7	6.98	1.17	6	3	0.02	0.01	2	20	1	21
#__core_acl_acl	39	43	81	81	9	10	9.69	1.11	1	1	0.03	0.03	1	10	1	11
#__core_acl_acl_sections	39	43	81	81	5	5	5	1	0	0	0	0		10	0	10
#__core_acl_aco	39	43	81	81	9	9	9	1	0	0	0	0		10	0	10
#__core_acl_aco_map	39	43	81	81	3	3	3	1	0	0	0	0		10	0	10
#__core_acl_aco_sections	39	43	81	81	5	5	5	1	0	0	0	0		10	0	10
#__core_acl_aro	82	0	81	81	6	6	6	1	0	0	0	0		10	0	10
#__core_acl_aro_groups	82	0	81	81	6	6	6	1	0	0	0	0		10	0	10
#__core_acl_aro_groups_map	39	43	81	81	2	2	2	1	0	0	0	0		10	0	10
#__core_acl_aro_map	56	26	81	81	3	3	3	1	2	1	0.04	0.02	2	10	1	11
#__core_acl_aro_sections	82	0	81	81	5	5	5	1	2	1	0.02	0.01	2	10	1	11
#__core_acl_axo	39	43	81	81	6	6	6	1	2	2	0.05	0.05	1	10	1	11
