;0;1;2;3;4;
nucleus_actionlog;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
nucleus_activation;5[0|0|0|0];5[0|0|0|0];5[0|0|0|1];5[0|0|0|0];5[0|0|0|0];
nucleus_ban;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
nucleus_blog;19[0|0|0|0];19[0|0|0|0];19[0|0|0|1];19[0|0|0|0];19[0|0|0|0];
nucleus_category;4[0|0|0|0];4[0|0|0|0];4[0|0|0|1];4[0|0|0|0];4[0|0|0|0];
nucleus_comment;11[0|0|0|0];11[0|0|0|0];11[0|0|0|1];11[0|0|0|0];11[0|0|0|0];
nucleus_config;2[0|0|0|0];2[0|0|0|0];2[0|0|0|1];2[0|0|0|0];2[0|0|0|0];
nucleus_item;13[0|0|0|0];13[0|0|0|0];13[0|0|0|1];13[0|0|0|0];13[0|0|0|0];
nucleus_karma;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
nucleus_member;12[0|0|0|0];12[1|1|0|0];12[0|0|0|1];14[2|0|0|0];14[0|0|0|0];
nucleus_plugin;3[0|0|0|0];3[0|0|0|0];3[0|0|0|1];3[0|0|0|0];3[0|0|0|0];
nucleus_plugin_event;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
nucleus_plugin_option;3[0|0|0|0];3[0|0|0|0];3[0|0|0|2];3[0|0|0|0];3[0|0|0|0];
nucleus_plugin_option_desc;8[0|0|0|0];8[0|0|0|0];8[0|0|0|3];8[0|0|0|0];8[0|0|0|0];
nucleus_skin;3[0|0|0|0];3[0|0|0|0];3[0|0|0|2];3[0|0|0|0];3[0|0|0|0];
nucleus_skin_desc;6[0|0|0|0];6[0|0|0|0];6[0|0|0|1];6[0|0|0|0];6[0|0|0|0];
nucleus_team;3[0|0|0|0];3[0|0|0|0];3[0|0|0|2];3[0|0|0|0];3[0|0|0|0];
nucleus_template;3[0|0|0|0];3[0|0|0|0];3[0|0|0|2];3[0|0|0|0];3[0|0|0|0];
nucleus_template_desc;3[0|0|0|0];3[0|0|0|0];3[0|0|0|1];3[0|0|0|0];3[0|0|0|0];
nucleus_tickets;3[0|0|0|0];3[0|0|0|0];3[0|0|0|2];3[0|0|0|0];3[0|0|0|0];
