Table	Duration	Birth	Death	LastKnownVersion	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
nucleus_actionlog	5	0	-	4	2	2	2	1	0	0	0	0		20	0	20
nucleus_activation	5	0	-	4	5	5	5	1	1	1	0.2	0.2	1	20	1	21
nucleus_ban	5	0	-	4	3	3	3	1	0	0	0	0		20	0	20
nucleus_blog	5	0	-	4	19	19	19	1	1	1	0.2	0.2	1	20	1	21
nucleus_category	5	0	-	4	4	4	4	1	1	1	0.2	0.2	1	20	1	21
nucleus_comment	5	0	-	4	11	11	11	1	1	1	0.2	0.2	1	20	1	21
nucleus_config	5	0	-	4	2	2	2	1	1	1	0.2	0.2	1	20	1	21
nucleus_item	5	0	-	4	13	13	13	1	1	1	0.2	0.2	1	20	1	21
nucleus_karma	5	0	-	4	2	2	2	1	0	0	0	0		20	0	20
nucleus_member	5	0	-	4	12	14	12.8	1.17	5	3	1	0.6	1.67	20	1	21
nucleus_plugin	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
nucleus_plugin_event	5	0	-	4	2	2	2	1	0	0	0	0		20	0	20
nucleus_plugin_option	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
nucleus_plugin_option_desc	5	0	-	4	8	8	8	1	1	1	0.2	0.2	1	20	1	21
nucleus_skin	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
nucleus_skin_desc	5	0	-	4	6	6	6	1	1	1	0.2	0.2	1	20	1	21
nucleus_team	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
nucleus_template	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
nucleus_template_desc	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
nucleus_tickets	5	0	-	4	3	3	3	1	1	1	0.2	0.2	1	20	1	21
