trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_1651.sql;rev_1678.sql;nucleus_member;Deletion:UpdateTable;deflang;VARCHAR(20);false;0;-
1;rev_1651.sql;rev_1678.sql;nucleus_member;Insertion:UpdateTable;mlocale;VARCHAR(20);false;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_activation;Update:KeyChange;vkey;VARCHAR(40);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_blog;Update:KeyChange;bnumber;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_category;Update:KeyChange;catid;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_comment;Update:KeyChange;cnumber;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_config;Update:KeyChange;name;VARCHAR(20);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_item;Update:KeyChange;inumber;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_member;Update:KeyChange;mnumber;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_plugin;Update:KeyChange;pid;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_plugin_option;Update:KeyChange;ocontextid;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_plugin_option;Update:KeyChange;oid;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_plugin_option_desc;Update:KeyChange;ocontext;VARCHAR(20);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_plugin_option_desc;Update:KeyChange;oname;VARCHAR(20);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_plugin_option_desc;Update:KeyChange;opid;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_skin;Update:KeyChange;sdesc;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_skin;Update:KeyChange;stype;VARCHAR(20);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_skin_desc;Update:KeyChange;sdnumber;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_team;Update:KeyChange;tblog;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_team;Update:KeyChange;tmember;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_template;Update:KeyChange;tdesc;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_template;Update:KeyChange;tpartname;VARCHAR(64);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_template_desc;Update:KeyChange;tdnumber;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_tickets;Update:KeyChange;member;INT(11);true;0;-
2;rev_1678.sql;rev_1714.sql;nucleus_tickets;Update:KeyChange;ticket;VARCHAR(40);true;0;-
3;rev_1714.sql;rev_1889.sql;nucleus_member;Insertion:UpdateTable;madminskin;TINYINT(2);false;0;-
3;rev_1714.sql;rev_1889.sql;nucleus_member;Insertion:UpdateTable;mbkmklt;TINYINT(2);false;0;-
4;rev_1889.sql;rev_1902.sql;-;-;-;-;-;-;-
