table;dur;birth;death;chngs;s@s;s@e;sAvg
galaxia_activities;152;0;-;0;11;11;11.0
galaxia_activity_roles;152;0;-;0;2;2;2.0
galaxia_instance_activities;152;0;-;0;6;6;6.0
galaxia_instance_comments;152;0;-;0;9;9;9.0
galaxia_instances;152;0;-;0;10;10;10.0
galaxia_processes;152;0;-;0;8;8;8.0
galaxia_roles;152;0;-;0;5;5;5.0
galaxia_transitions;152;0;-;0;3;3;3.0
galaxia_user_roles;152;0;-;0;3;3;3.0
galaxia_workitems;152;0;-;0;8;8;8.0
messu_archive;152;0;-;0;15;15;15.0
messu_messages;152;0;-;0;15;15;15.0
messu_sent;152;0;-;0;15;15;15.0
sessions;152;0;-;0;4;4;4.0
tiki_actionlog;152;0;-;0;9;9;9.0
tiki_actionlog_conf;152;0;-;1;3;4;3.881579
tiki_actionlog_params;152;0;-;0;3;3;3.0
tiki_article_types;152;0;-;0;20;20;20.0
tiki_articles;152;0;-;0;32;32;32.0
tiki_banners;152;0;-;0;29;29;29.0
tiki_banning;152;0;-;0;13;13;13.0
tiki_banning_sections;152;0;-;0;2;2;2.0
tiki_blog_activity;152;0;-;0;3;3;3.0
tiki_blog_posts;152;0;-;2;10;10;10.0
tiki_blog_posts_images;152;0;-;0;6;6;6.0
tiki_blogs;152;0;-;0;18;18;18.0
tiki_calendar_categories;152;0;-;0;3;3;3.0
tiki_calendar_items;152;0;-;0;16;16;16.0
tiki_calendar_locations;152;0;-;0;4;4;4.0
tiki_calendar_options;152;0;-;0;3;3;3.0
tiki_calendar_roles;152;0;-;0;3;3;3.0
tiki_calendars;152;0;-;0;13;13;13.0
tiki_categories;152;0;-;0;5;5;5.0
tiki_categorized_objects;152;0;-;0;1;1;1.0
tiki_category_objects;152;0;-;0;2;2;2.0
tiki_category_sites;152;0;-;0;2;2;2.0
tiki_chart_items;152;0;-;0;9;9;9.0
tiki_charts;152;0;-;0;18;18;18.0
tiki_charts_rankings;152;0;-;0;8;8;8.0
tiki_charts_votes;152;0;-;0;4;4;4.0
tiki_chat_channels;152;0;-;0;8;8;8.0
tiki_chat_messages;152;0;-;0;5;5;5.0
tiki_chat_users;152;0;-;0;3;3;3.0
tiki_comments;152;0;-;2;20;21;20.282894
tiki_content;152;0;-;1;2;3;2.3289473
tiki_content_templates;152;0;-;0;4;4;4.0
tiki_content_templates_sections;152;0;-;0;2;2;2.0
tiki_contributions;152;0;-;0;3;3;3.0
tiki_contributions_assigned;152;0;-;0;2;2;2.0
tiki_cookies;152;0;-;0;2;2;2.0
tiki_copyrights;152;0;-;0;7;7;7.0
tiki_directory_categories;152;0;-;0;11;11;11.0
tiki_directory_search;152;0;-;0;2;2;2.0
tiki_directory_sites;152;0;-;0;11;11;11.0
tiki_download;152;0;-;0;6;6;6.0
tiki_drawings;152;0;-;0;7;7;7.0
tiki_dsn;152;0;-;0;3;3;3.0
tiki_dynamic_variables;152;0;-;0;2;2;2.0
tiki_eph;1;0;0;0;10;10;10.0
tiki_events;152;0;-;1;6;6;6.0
tiki_extwiki;152;0;-;0;3;3;3.0
tiki_faq_questions;152;0;-;0;5;5;5.0
tiki_faqs;152;0;-;0;7;7;7.0
tiki_featured_links;152;0;-;0;6;6;6.0
tiki_file_galleries;152;0;-;10;27;35;30.578947
tiki_file_handlers;152;0;-;0;2;2;2.0
tiki_files;152;0;-;2;24;24;24.0
tiki_forum_attachments;152;0;-;0;11;11;11.0
tiki_forum_reads;152;0;-;0;4;4;4.0
tiki_forums;152;0;-;4;54;57;56.144737
tiki_forums_queue;152;0;-;1;13;14;13.546053
tiki_forums_reported;152;0;-;0;6;6;6.0
tiki_freetagged_objects;152;0;-;0;4;4;4.0
tiki_freetags;152;0;-;1;3;4;3.2171052
tiki_friends;152;0;-;2;2;2;2.0
tiki_friendship_requests;152;0;-;2;3;3;3.0
tiki_galleries;152;0;-;0;29;29;29.0
tiki_galleries_scales;152;0;-;0;2;2;2.0
tiki_games;152;0;-;0;4;4;4.0
tiki_group_inclusion;152;0;-;0;2;2;2.0
tiki_history;152;0;-;0;11;11;11.0
tiki_hotwords;152;0;-;0;2;2;2.0
tiki_html_pages;152;0;-;0;5;5;5.0
tiki_html_pages_dynamic_zones;152;0;-;0;4;4;4.0
tiki_images;152;0;-;0;10;10;10.0
tiki_images_data;152;0;-;0;9;9;9.0
tiki_integrator_reps;152;0;-;0;9;9;9.0
tiki_integrator_rules;152;0;-;0;10;10;10.0
tiki_language;152;0;-;0;3;3;3.0
tiki_languages;152;0;-;0;2;2;2.0
tiki_link_cache;152;0;-;0;4;4;4.0
tiki_links;152;0;-;0;2;2;2.0
tiki_live_support_events;152;0;-;0;7;7;7.0
tiki_live_support_message_comments;152;0;-;0;4;4;4.0
tiki_live_support_messages;152;0;-;0;12;12;12.0
tiki_live_support_modules;152;0;-;0;2;2;2.0
tiki_live_support_operators;152;0;-;0;11;11;11.0
tiki_live_support_requests;152;0;-;0;14;14;14.0
tiki_logs;152;0;-;0;7;7;7.0
tiki_mail_events;152;0;-;0;3;3;3.0
tiki_mailin_accounts;152;0;-;0;17;17;17.0
tiki_menu_languages;152;0;-;0;2;2;2.0
tiki_menu_options;152;0;-;1;9;10;9.769737
tiki_menus;152;0;-;0;4;4;4.0
tiki_minical_events;152;0;-;0;10;10;10.0
tiki_minical_topics;152;0;-;0;9;9;9.0
tiki_modules;152;0;-;2;9;10;9.671053
tiki_mypage;91;61;-;14;4;18;15.263737
tiki_mypage_types;82;70;-;9;5;13;12.670732
tiki_mypage_types_components;82;70;-;0;4;4;4.0
tiki_mypagewin;91;61;-;7;11;15;14.450549
tiki_newsletter_groups;152;0;-;0;3;3;3.0
tiki_newsletter_included;69;83;-;0;2;2;2.0
tiki_newsletter_subscriptions;152;0;-;0;6;6;6.0
tiki_newsletters;152;0;-;1;13;14;13.75
tiki_newsreader_marks;152;0;-;0;4;4;4.0
tiki_newsreader_servers;152;0;-;0;6;6;6.0
tiki_object_ratings;152;0;-;0;2;2;2.0
tiki_objects;152;0;-;0;8;8;8.0
tiki_page_drafts;152;0;-;2;6;6;6.0
tiki_page_footnotes;152;0;-;0;3;3;3.0
tiki_pages;152;0;-;2;23;24;23.05921
tiki_pages_changes;22;130;-;0;5;5;5.0
tiki_pages_translation_bits;38;114;-;0;6;6;6.0
tiki_pageviews;152;0;-;0;2;2;2.0
tiki_poll_objects;152;0;-;0;3;3;3.0
tiki_poll_options;152;0;-;0;5;5;5.0
tiki_polls;152;0;-;0;5;5;5.0
tiki_preferences;152;0;-;0;2;2;2.0
tiki_private_messages;152;0;-;0;6;6;6.0
tiki_programmed_content;152;0;-;0;4;4;4.0
tiki_quicktags;152;0;-;0;5;5;5.0
tiki_quiz_question_options;152;0;-;0;4;4;4.0
tiki_quiz_questions;152;0;-;0;6;6;6.0
tiki_quiz_results;152;0;-;0;5;5;5.0
tiki_quiz_stats;152;0;-;0;4;4;4.0
tiki_quiz_stats_sum;152;0;-;0;6;6;6.0
tiki_quizzes;152;0;-;0;37;37;37.0
tiki_received_articles;152;0;-;0;23;23;23.0
tiki_received_pages;152;0;-;7;8;15;10.381579
tiki_referer_stats;152;0;-;0;3;3;3.0
tiki_registration_fields;152;0;-;0;6;6;6.0
tiki_related_categories;152;0;-;0;2;2;2.0
tiki_rss_feeds;152;0;-;0;5;5;5.0
tiki_rss_modules;152;0;-;0;9;9;9.0
tiki_score;152;0;-;0;3;3;3.0
tiki_search_stats;152;0;-;0;2;2;2.0
tiki_searchindex;152;0;-;0;5;5;5.0
tiki_searchsyllable;152;0;-;0;3;3;3.0
tiki_searchwords;152;0;-;0;2;2;2.0
tiki_secdb;152;0;-;0;4;4;4.0
tiki_semaphores;152;0;-;0;4;4;4.0
