trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;data;LONGBLOB;false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;ephId;INT(12);true;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;filename;VARCHAR(250);false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;filesize;VARCHAR(250);false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;filetype;VARCHAR(250);false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;hits;INT(10);false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;isFile;CHAR(1);false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;publish;INT(14);false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;textdata;LONGBLOB;false;0;-
1;rev_007547.sql;rev_007548.sql;tiki_eph;Deletion:DeleteTable;title;VARCHAR(250);false;0;-
2;rev_007548.sql;rev_007621.sql;-;-;-;-;-;-;-
3;rev_007621.sql;rev_007622.sql;tiki_blog_posts;Update:TypeChange;user;VARCHAR(200);false;0;-
3;rev_007621.sql;rev_007622.sql;tiki_page_drafts;Update:TypeChange;pageName;VARCHAR(255);false;0;-
3;rev_007621.sql;rev_007622.sql;tiki_page_drafts;Update:TypeChange;user;VARCHAR(200);false;0;-
3;rev_007621.sql;rev_007622.sql;tiki_sheet_values;Update:TypeChange;user;VARCHAR(200);false;0;-
3;rev_007621.sql;rev_007622.sql;tiki_tracker_item_attachments;Update:TypeChange;user;VARCHAR(200);false;0;-
3;rev_007621.sql;rev_007622.sql;tiki_tracker_item_comments;Update:TypeChange;user;VARCHAR(200);false;0;-
4;rev_007622.sql;rev_007636.sql;-;-;-;-;-;-;-
5;rev_007636.sql;rev_007651.sql;-;-;-;-;-;-;-
6;rev_007651.sql;rev_007673.sql;tiki_events;Update:KeyChange;order;INT(2);false;0;-
7;rev_007673.sql;rev_007681.sql;tiki_file_galleries;Insertion:UpdateTable;show_author;CHAR(1);false;0;-
7;rev_007673.sql;rev_007681.sql;tiki_file_galleries;Insertion:UpdateTable;show_creator;CHAR(1);false;0;-
8;rev_007681.sql;rev_007684.sql;-;-;-;-;-;-;-
9;rev_007684.sql;rev_007750.sql;tiki_webmail_contacts_ext;Insertion:NewTable;contactId;INT(11);false;0;-
9;rev_007684.sql;rev_007750.sql;tiki_webmail_contacts_ext;Insertion:NewTable;hidden;TINYINT(1);false;0;-
9;rev_007684.sql;rev_007750.sql;tiki_webmail_contacts_ext;Insertion:NewTable;name;VARCHAR(32);false;0;-
