#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags,Description
79638,TYPO3 CMS - What's New,Bug,"",New,Should have,Small bug under InDepthChanges.tex file,Sergio Catalá,"",2017-02-06 09:21,"","",2017-02-06,"","",0,2017-02-06 09:20,"","",-939400,"","","Line 64 under InDepthChanges.tex file:

..., these two extension can be installed from TER.

<pre>
should be:
</pre>

<pre>
..., these two extension can be installed from TER.
</pre>

(extension*s*, in plural)"
79362,Documentation,Bug,"",Resolved,Should have,Wrong statement about realurl in TSRef,Dmitry Dulepov,Chris topher,2017-01-18 20:56,"","",2017-01-18,"","",100,2017-01-18 09:16,"","",-925600,"","","https://docs.typo3.org/typo3cms/TyposcriptReference/Setup/Config/Index.html?highlight=realurl#sendcacheheaders-onlywhenlogindeniedinbranch says:

_The only general way to prevent this is to have a different URL for pages when users are logged in (which the extension ""realurl"" can accomplish)._

Please, remove the part that realurl can make a different url when the user is logged in. This information is false and only confuses people. Realurl converts urls provided by TYPO3 as is, without any relation to logged in users. It cannot do anything special if the user is logged in or not.

If TYPO3 did not provide any additional parameters when the user is logged in, realurl cannot do anything special.

If TYPO3 provides additional parameters in the url when the user is logged in, url will be unique also without realurl. So realurl should not be mentioned here at all."
79136,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Miscellaneous typo in 8.4,Pierrick Caillon,Michael Schams,2017-01-03 00:50,"",TYPO3 CMS 8.4,2017-01-02,"","",100,2017-01-02 16:59,"","",-914300,"","","8.4 - Deprecated - cdebd43e-a5daad8b-a9fcffd8-b1cc30e5 - missing closing parenthesis in third item
8.4 - InDepth - 375ce472-01a6dade-27151f45-66c981ca - ""ise"" instead of ""use"" in fifth item
8.4 - InDepth - ""Misc (1)"" slide without a ""Misc (2)"" slide"
78870,Documentation,Bug,"",Resolved,Should have,Cheatshets download links broken,Kurt Ludikovsky,"",2016-12-03 13:36,Documentation on typo3.org,"",2016-12-03,"","",0,2016-12-03 10:57,"","",-901050,"",cheatsheets,"The download links for the ""cheatsheets"":https://docs.typo3.org/typo3cms/CheatSheets/Index.html#cheat-sheets are broken. 

Most probably due to wrong/changed URL composition.
e.g. URL: 
<pre>
https://docs.typo3.org/~mbless/git.typo3.org/Documentation/DocsTypo3Org.git/Resources/Public/CheatSheets/TYPO3%20CMS%20Coding%20Guidelines%20on%20one%20page%20v1.pdf
</pre>

"
78497,Core APIs,Bug,"",Resolved,Should have,Code example outside formatted area,Ralf Merz,"",2016-11-01 16:13,"","",2016-10-29,"","",0,2016-10-29 13:55,"","",-882450,"","","Hi,

on page https://docs.typo3.org/typo3cms/CoreApiReference/ApiOverview/MainClasses/UsefulFunctions/Index.html the example for 
<pre>
allowTableOnStandardPages
</pre>
is outside the formatting area (the black background).

This is also the case for addPItoST43, registerPageTSConfigFile.

Kind regards,
merzilla"
77922,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,8.3 - InDepth - LinkService (2) - Weird meaning,Pierrick Caillon,Michael Schams,2017-01-03 00:55,"",TYPO3 CMS 8.2/8.3,2016-09-12,"","",100,2016-09-12 22:33,"","",-853750,"","","I did not catch this one first but the meaning is weird.

The phrase is ""The resource handler key is a list of handlers available in TYPO3.""
Reduced is ""The key is a list"".
But the said list specify the available keys.
I cannot guess exactly what the author tried to say here. But I'll make some sense of it in the translation."
76726,Documentation,Bug,"",New,Should have,internal link leads to different language ,Sven Juergens,"",2016-06-22 10:53,"","",2016-06-22,"","",0,2016-06-22 10:53,"","",-793950,"","","hi,

sorry, don't know if this is the right place to report this.

Today, i was reading the very nice english TYPO3 Inside Documentation.

In this chapter
https://docs.typo3.org/typo3cms/InsideTypo3Reference/CoreArchitecture/AccessControl/AccessControlOptions/Index.html#access-lists

is a link for more information to a Topic -> ""Getting Started tutorial."" but this link leads to the french Version of the ""Getting Started tutorial"".
Maybe this could be changed.

Best Regards
"
76694,TYPO3 CMS - What's New,Bug,"",New,Should have,Miscellaneous errors,Pierrick Caillon,Michael Schams,2016-06-19 15:36,TYPO3 CMS 8.1,TYPO3 CMS 8.1,2016-06-19,"","",0,2016-06-19 15:36,"","",-792350,"","","While translating, I have seen these issues:
* InDepthChanges.tex:""Feature: #75454 - PHP Library Doctrine DBAL (2)"": §4 ""select, update and delete"" -> ""select, update and delete"" ('d' in ""and"" missing)
* InDepthChanges.tex:""Feature: #75454 - PHP Library Doctrine DBAL (3)"": listing line 2, ""Connecction"" instead of ""Connection""
* InDepthChanges.tex:""Feature: #75454 - PHP Library Doctrine DBAL (3)"": listing line 10, missing quote after ""aTable""
* InDepthChanges.tex:""Feature: #70056 - PHP Library ""Guzzle"" (2)"": listing line 7, ""$uri = $additionalOptions"" (uri variable not used, but url is used. Same value is not expected for additionalOptions and url. An url is missing)
"
76095,TYPO3 CMS - What's New,Bug,"",Under Review,Should have,ObjectStorage.array : Invalid index in example,Pierrick Caillon,Michael Schams,2016-05-17 13:12,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-09,"","",0,2016-05-09 15:31,"","",-762750,"","","In the last Extbase and Fluid slide, when presenting the slides to my colleagues, we noticed the code example does not match its legend.

It tells it shows how to retrieve the 4th element, but it is the 5th which is retrieved, because the array starts at 0, not 1.

The error is also present in the source ticket and feature file.

Slide ID: 66f49b79-4de7bb91-25472149-88b0761f"
76079,TYPO3 CMS - What's New,Bug,"",Under Review,Must have,English - InDepthChanges - Duplicated paragraph from previous slide,Pierrick Caillon,Michael Schams,2016-05-17 13:01,TYPO3 CMS 8.0,TYPO3 CMS 8.0,2016-05-07,"","",0,2016-05-07 16:24,"","",-762200,"","","The paragraph for the class name in the new random generator slide is duplicated on the next slide. Slide ID is cb196cd9-d0c9c728-a608111d-286320ec

The paragraph text is ""The API resides in class \TYPO3\CMS\Core\Crypto\Random"""
