#;Project;Commit ID;Issue Type;Parent Issue;Status;Priority;Subject;Author;Assignee;Category;Target Version;Start Date;Created;Updated;Closed;Due Date;Estimated;% Done;Create Prev Commit; Created Next Commit;Updated Prev Commit;Updated Next Commit;Closed Prev Commit;Closed NExt Commit;Description
79638;TYPO3 CMS - What's New;null;Bug;;New;Should have;Small bug under InDepthChanges.tex file;Sergio Catalá;;;;null;Mon Feb 06 09:20:00 EET 2017;Mon Feb 06 09:21:00 EET 2017;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
79575;Security Guide;null;Task;Suggestion #68167: Create section with recommendations for developers;Accepted;Should have;Add a chapter on how FE session handling should be done for developers;Markus Klein;Markus Klein;Guidelines for Developers;;null;Tue Jan 31 23:19:00 EET 2017;Wed Feb 01 13:36:00 EET 2017;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"..., these two extension can be installed from TER.<pre>should be:</pre><pre>..., these two extension can be installed from TER.</pre>(extension*s*, in plural)'"
79415;wiki.typo3.org;null;Task;;Resolved;Should have;Buttons have the wrong color;Chris topher;Chris topher;;;null;Sun Jan 22 19:38:00 EET 2017;Sun Jan 29 09:40:00 EET 2017;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Mention which hooks shall be used by an extension to cleanup sensitive data from the session.'"
79362;Documentation;null;Bug;;Resolved;Should have;Wrong statement about realurl in TSRef;Dmitry Dulepov;Chris topher;;;null;Wed Jan 18 09:16:00 EET 2017;Wed Jan 18 20:56:00 EET 2017;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"For MediaWiki 1.26, the color of the button has already been added in the skins. With MediaWiki 1.27, which we are using currently, the according rules obviously no longer kick in. Fix them!Also check/fix the TYPO3Design skin.'"
79136;TYPO3 CMS - What's New;null;Bug;;Resolved;Should have;Miscellaneous typo in 8.4;Pierrick Caillon;Michael Schams;;TYPO3 CMS 8.4;null;Mon Jan 02 16:59:00 EET 2017;Tue Jan 03 00:50:00 EET 2017;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"_The only general way to prevent this is to have a different URL for pages when users are logged in (which the extension ''realurl'' can accomplish)._Please, remove the part that realurl can make a different url when the user is logged in. This information is false and only confuses people. Realurl converts urls provided by TYPO3 as is, without any relation to logged in users. It cannot do anything special if the user is logged in or not.If TYPO3 did not provide any additional parameters when the user is logged in, realurl cannot do anything special.If TYPO3 provides additional parameters in the url when the user is logged in, url will be unique also without realurl. So realurl should not be mentioned here at all.'"
79050;wiki.typo3.org;null;Task;;New;Should have;ContextSource::getContext (SkinTemplate): called and $context is null;Chris topher;;;;null;Tue Dec 20 13:41:00 EET 2016;Tue Dec 20 13:43:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"8.4 - InDepth - 375ce472-01a6dade-27151f45-66c981ca - ''ise'' instead of ''use'' in fifth item8.4 - InDepth - ''Misc (1)'' slide without a ''Misc (2)'' slide'"
79038;wiki.typo3.org;null;Task;;On Hold;Should have;PDF rendering is broken;Chris topher;;;;null;Mon Dec 19 18:56:00 EET 2016;Mon Dec 19 23:07:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"<pre>ContextSource::getContext (SkinTemplate): called and $context is null. Using RequestContext::getMain() for sanity</pre>Fix it!'"
79028;wiki.typo3.org;null;Task;;New;Should have;cURL sometimes is slow;Chris topher;;;;null;Sun Dec 18 17:03:00 EET 2016;Sun Dec 18 17:04:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"<pre>Book rendering failed: There was an error while attempting to render your book.</pre>'"
79027;wiki.typo3.org;null;Task;;Resolved;Must have;Move the wiki to a new server;Chris topher;Chris topher;;;null;Sun Dec 18 16:57:00 EET 2016;Sun Dec 18 17:17:00 EET 2016;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"<pre>curl_exec() extensions/BugtrackerStatus/ForgeIssue.php:44loadJsonFromRedmineApi() extensions/BugtrackerStatus/BugtrackerItem.php:77getRenderedResult() extensions/BugtrackerStatus/BugtrackerStatus_body.php:47renderForgeIssue() unknown:0</pre>This slowness happened 130 times in 7 days.The code runs a small request on the API of forge.typo3.org.curl_exec() is using the cURL binary from UNIX, which should be fast, even faster than a webbrowser as it e.g. does not load images and such.Most likely it is the network, which makes it respond slowly.'"
78870;Documentation;null;Bug;;Resolved;Should have;Cheatshets download links broken;Kurt Ludikovsky;;Documentation on typo3.org;;null;Sat Dec 03 10:57:00 EET 2016;Sat Dec 03 13:36:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"/var/www/vhosts/dev.wiki.typo3.org => Content from 5.12. is there.* Complete content of folder/var/www/vhosts/wiki.typo3.org => Content from 5.12. is there. Adjustments for new server (server paths, passwords and so on) have been made in these files.* Complete content of folder/var/www/vhosts/wiki.typo3.org/www/wiki/images=> Content from 7.12. is there.=> If no changes (file uploads!) in the meantime: Ok. Else: Folder images/ (recursively, but only that folder) has to be copied again, to not lose uploads from the meantime* Database wikitypo3org=> Get again from old server and put into MySQL again:     - on old server, User wikitypo3org: mysqldump wikitypo3org --opt > wikidump.sql     - on new server, User wiki: scp -p wikitypo3org@wiki.typo3.org:~/wikidump.sql wikidump.sql (temporarily needs a private key on the old server)                                          mysql wiki < wikidump.sql* After DB wikitypo3org in its final form is there:TRUNCATE TABLE `msg_resource`,TRUNCATE TABLE `msg_resource_links`,TRUNCATE TABLE `objectcache`,UPDATE `module_deps` SET `md_deps` = REPLACE ( `md_deps`, '/var/www/vhosts/wiki.typo3.org/www/wiki/', '/home/wiki/www/wiki/' ),(Table module_deps still contains old paths, which would create PHP errors, if not adjusted manually.)* Database wikidevtypo3org=> Dev system with old DB ok.* New DB of the dev system:UPDATE `module_deps` SET `md_deps` = REPLACE ( `md_deps`, '/var/www/vhosts/wiki.dev.typo3.org/www/wiki/', '/home/wikidev/www/wiki/' ),=> For the dev system: Done.* Additional, empty MySQL database is present: MySQL user ''example'' has access to the DB ''example'':    mysql -u example -pTHEPASSWORD example    For the password see LocalSettings.php.* Daily cronjob /etc/cron.d/wiki-backup, add on new system=> Added in crontab -e, still needs testing, if it's working. Can be done by setting the time in the cronjob line to current time + 1 minute or so.=> Is working.* Daily logrotation for the backup files:/home/wiki/backup/wiki-db.sql.gzand/home/wiki/backup/wiki.tar.gz=> Cannot add that myself: /etc/logrotate.d/wiki: Permission denied.=> Add by Michi, 5.12. Works.* Make sure logrotate is configured to use dateext for additions to filenames=> Already happens by default* python is there.* ImageMagick is still missing=> Install it, preferred location is /usr/bin/convert=> Has been installed.* Test upload of an image in the dev system=> Are thumbnails getting created?=> Upload and creation of thumbnails are both working* Logfiles are not all readable.Adjust owner or permissions of the files in /home/wiki/log and in /home/wikidev/log!* wikidev: Fix password protection, it is currently set up somewhere with name ''wikidev DEV''. Adjust username and password as in /home/wikidev/htaccesspw.txt   nginx-reload!   => https://docs.snowflakeops.ch/5-0-stable/services/website.html#environments* SSO-Code still needed adjustments, because the IP of the server changed.Folder /home/wiki/tmp/ still had to be created.* Headlines no longer are styled in Share-FontThe reference in the skin is a relative one, without HTTP/HTTPS.The problem might be that the backend (the server on which the website is stored, srv179) is called by the proxy server (srv170) via httpinternally => http => the proxy encodes this to httpsThe webserver maybe thinks the request came via httpSolution: Set $wgServer accordingly.'"
