#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags,Description
79638,TYPO3 CMS - What's New,Bug,"",New,Should have,Small bug under InDepthChanges.tex file,Sergio Catalá,"",2017-02-06 09:21,"","",2017-02-06,"","",0,2017-02-06 09:20,"","",-939400,"","","Line 64 under InDepthChanges.tex file:

..., these two extension can be installed from TER.

<pre>
should be:
</pre>

<pre>
..., these two extension can be installed from TER.
</pre>

(extension*s*, in plural)"
79575,Security Guide,Task,Suggestion #68167: Create section with recommendations for developers,Accepted,Should have,Add a chapter on how FE session handling should be done for developers,Markus Klein,Markus Klein,2017-02-01 13:36,Guidelines for Developers,"",2017-01-31,"","",0,2017-01-31 23:19,"","",-936250,"","","Describe how to safely deal with session data that was stored in the session while a FE user was authenticated when the FE user logs out.
Mention which hooks shall be used by an extension to cleanup sensitive data from the session."
79415,wiki.typo3.org,Task,"",Resolved,Should have,Buttons have the wrong color,Chris topher,Chris topher,2017-01-29 09:40,"","",2017-01-22,"","",100,2017-01-22 19:38,"","",-928250,"","","Buttons like the search button at https://wiki.typo3.org/wiki/index.php?search=Image+Processing&title=Special%3ASearch&fulltext=Suchen are blue, but they should be orange.

For MediaWiki 1.26, the color of the button has already been added in the skins. With MediaWiki 1.27, which we are using currently, the according rules obviously no longer kick in. Fix them!

Also check/fix the TYPO3Design skin.
"
79362,Documentation,Bug,"",Resolved,Should have,Wrong statement about realurl in TSRef,Dmitry Dulepov,Chris topher,2017-01-18 20:56,"","",2017-01-18,"","",100,2017-01-18 09:16,"","",-925600,"","","https://docs.typo3.org/typo3cms/TyposcriptReference/Setup/Config/Index.html?highlight=realurl#sendcacheheaders-onlywhenlogindeniedinbranch says:

_The only general way to prevent this is to have a different URL for pages when users are logged in (which the extension ""realurl"" can accomplish)._

Please, remove the part that realurl can make a different url when the user is logged in. This information is false and only confuses people. Realurl converts urls provided by TYPO3 as is, without any relation to logged in users. It cannot do anything special if the user is logged in or not.

If TYPO3 did not provide any additional parameters when the user is logged in, realurl cannot do anything special.

If TYPO3 provides additional parameters in the url when the user is logged in, url will be unique also without realurl. So realurl should not be mentioned here at all."
79136,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Miscellaneous typo in 8.4,Pierrick Caillon,Michael Schams,2017-01-03 00:50,"",TYPO3 CMS 8.4,2017-01-02,"","",100,2017-01-02 16:59,"","",-914300,"","","8.4 - Deprecated - cdebd43e-a5daad8b-a9fcffd8-b1cc30e5 - missing closing parenthesis in third item
8.4 - InDepth - 375ce472-01a6dade-27151f45-66c981ca - ""ise"" instead of ""use"" in fifth item
8.4 - InDepth - ""Misc (1)"" slide without a ""Misc (2)"" slide"
79050,wiki.typo3.org,Task,"",New,Should have,ContextSource::getContext (SkinTemplate): called and $context is null,Chris topher,"",2016-12-20 13:43,"","",2016-12-20,"","",0,2016-12-20 13:41,"","",-910000,"","","Each page request is currently giving this message:

<pre>ContextSource::getContext (SkinTemplate): called and $context is null. Using RequestContext::getMain() for sanity
</pre>

Fix it!"
79038,wiki.typo3.org,Task,"",On Hold,Should have,PDF rendering is broken,Chris topher,"",2016-12-19 23:07,"","",2016-12-19,"","",0,2016-12-19 18:56,"","",-909450,"","","The HTML in the left-hand menu is displayed as it should. But the functionality is broken: Rendering of a page to PDF fails with

<pre>Book rendering failed: 

There was an error while attempting to render your book.</pre>

"
79028,wiki.typo3.org,Task,"",New,Should have,cURL sometimes is slow,Chris topher,"",2016-12-18 17:04,"","",2016-12-12,"","",0,2016-12-18 17:03,"","",-908950,"","","cURL is slow:

<pre>curl_exec() extensions/BugtrackerStatus/ForgeIssue.php:44
loadJsonFromRedmineApi() extensions/BugtrackerStatus/BugtrackerItem.php:77
getRenderedResult() extensions/BugtrackerStatus/BugtrackerStatus_body.php:47
renderForgeIssue() unknown:0
</pre>

This slowness happened 130 times in 7 days.

The code runs a small request on the API of forge.typo3.org.
curl_exec() is using the cURL binary from UNIX, which should be fast, even faster than a webbrowser as it e.g. does not load images and such.
Most likely it is the network, which makes it respond slowly.
"
79027,wiki.typo3.org,Task,"",Resolved,Must have,Move the wiki to a new server,Chris topher,Chris topher,2016-12-18 17:17,"","",2016-12-09,"","",100,2016-12-18 16:57,"","",-908900,"","","* Complete content of folder
/var/www/vhosts/dev.wiki.typo3.org 
=> Content from 5.12. is there.

* Complete content of folder
/var/www/vhosts/wiki.typo3.org 
=> Content from 5.12. is there. Adjustments for new server (server paths, passwords and so on) have been made in these files.

* Complete content of folder
/var/www/vhosts/wiki.typo3.org/www/wiki/images
=> Content from 7.12. is there.
=> If no changes (file uploads!) in the meantime: Ok. Else: Folder images/ (recursively, but only that folder) has to be copied again, to not lose uploads from the meantime

* Database wikitypo3org
=> Get again from old server and put into MySQL again:
     - on old server, User wikitypo3org: mysqldump wikitypo3org --opt > wikidump.sql
     - on new server, User wiki: scp -p wikitypo3org@wiki.typo3.org:~/wikidump.sql wikidump.sql (temporarily needs a private key on the old server)
                                          mysql wiki < wikidump.sql

* After DB wikitypo3org in its final form is there:
TRUNCATE TABLE `msg_resource`;
TRUNCATE TABLE `msg_resource_links`;
TRUNCATE TABLE `objectcache`;
UPDATE `module_deps` SET `md_deps` = REPLACE ( `md_deps`, '/var/www/vhosts/wiki.typo3.org/www/wiki/', '/home/wiki/www/wiki/' );
(Table module_deps still contains old paths, which would create PHP errors, if not adjusted manually.)

* Database wikidevtypo3org
=> Dev system with old DB ok.

* New DB of the dev system:
UPDATE `module_deps` SET `md_deps` = REPLACE ( `md_deps`, '/var/www/vhosts/wiki.dev.typo3.org/www/wiki/', '/home/wikidev/www/wiki/' );
=> For the dev system: Done.

* Additional, empty MySQL database is present: MySQL user ""example"" has access to the DB ""example"":
    mysql -u example -pTHEPASSWORD example
    For the password see LocalSettings.php.

* Daily cronjob /etc/cron.d/wiki-backup, add on new system
=> Added in crontab -e; still needs testing, if it's working. Can be done by setting the time in the cronjob line to current time + 1 minute or so.
=> Is working.

* Daily logrotation for the backup files:
/home/wiki/backup/wiki-db.sql.gz
and
/home/wiki/backup/wiki.tar.gz
=> Cannot add that myself: /etc/logrotate.d/wiki: Permission denied.
=> Add by Michi, 5.12. Works.

* Make sure logrotate is configured to use dateext for additions to filenames
=> Already happens by default

* python is there.

* ImageMagick is still missing
=> Install it, preferred location is /usr/bin/convert
=> Has been installed.

* Test upload of an image in the dev system
=> Are thumbnails getting created?
=> Upload and creation of thumbnails are both working

* Logfiles are not all readable.
Adjust owner or permissions of the files in /home/wiki/log and in /home/wikidev/log!

* wikidev: Fix password protection; it is currently set up somewhere with name ""wikidev DEV"". 
Adjust username and password as in /home/wikidev/htaccesspw.txt
   nginx-reload!
   => https://docs.snowflakeops.ch/5-0-stable/services/website.html#environments

* SSO-Code still needed adjustments, because the IP of the server changed.
Folder /home/wiki/tmp/ still had to be created.

* Headlines no longer are styled in Share-Font
The reference in the skin is a relative one, without HTTP/HTTPS.
The problem might be that the backend (the server on which the website is stored, srv179) is called by the proxy server (srv170) via http
internally => http => the proxy encodes this to https
The webserver maybe thinks the request came via http
Solution: Set $wgServer accordingly."
78870,Documentation,Bug,"",Resolved,Should have,Cheatshets download links broken,Kurt Ludikovsky,"",2016-12-03 13:36,Documentation on typo3.org,"",2016-12-03,"","",0,2016-12-03 10:57,"","",-901050,"",cheatsheets,"The download links for the ""cheatsheets"":https://docs.typo3.org/typo3cms/CheatSheets/Index.html#cheat-sheets are broken. 

Most probably due to wrong/changed URL composition.
e.g. URL: 
<pre>
https://docs.typo3.org/~mbless/git.typo3.org/Documentation/DocsTypo3Org.git/Resources/Public/CheatSheets/TYPO3%20CMS%20Coding%20Guidelines%20on%20one%20page%20v1.pdf
</pre>

"
