#;Project;Tracker;Parent task;Status;Priority;Subject;Author;Assigned To;Updated;Category;Target version;Start date;Due date;Estimated time;% Done;Created;Story points;Velocity based estimate;Position;Remaining (hours);Tags;Description
75839;TYPO3 Skinning Reference;Feature;;New;Should have;2 Icons for intermediate tables;David Bruchmann;;21/4/2016 13:17;;;21/4/2016;;;0;21/4/2016 13:17;;;-750200;;;"Using intermediate table like described here:
http://stackoverflow.com/questions/26733567/typo3-extbase-irre-add-existing-records-with-foreign-selector/26746960#26746960

... tables should have the possibility getting two icons assigned.
While it's in general possible to override any icons with hooks like overrideIconOverlay it's much work and I never found any description about that, so I still have to fiddle that out, especially concerning ajax-calls from inside of inherited BE-forms.

An option to assign two different icons where each one is used depending on the perspective, the logic of IRRE would be much more comfortable.

I know it's getting deeper than just skinning, so I don't mind if the issue is sorted somewhere else."
72329;Documentation Rendering;Feature;Epic #57147: Rework design and general content of docs.typo3.org;Accepted;Must have;"Prepare a 7.6 IntroductionPackage for the ""Glue Pages""";Martin Bless;Martin Bless;18/12/2015 23:27;;;18/12/2015;;;0;18/12/2015 23:27;;;-600750;;;"
I'm planning to use a TYPO3 7.6 LTS installation for the glue page. Start would be the official Introduction Package. Visual appearance and contents needs to be tailored to documentation."
69508;Documentation;Feature;;Rejected;Should have;Auto-link references to forge tickets in changelog;Urs Braem;;7/9/2015 12:30;Manuals;;3/9/2015;;;0;3/9/2015 16:43;;;-460050;;;"Would it be possible to render references to forge tickets (like #69424) in the changelog of an extension automatically as links to forge?

See for example:
https://docs.typo3.org/typo3cms/extensions/powermail/Changelog/Index.html

If the references to forge would be linked, it would be much easier to access the corresponding issues (e.g, if you're updating after a while and want to read up)"
65931;Documentation Rendering;Feature;;Resolved;Must have;Allow syntax highlighting of PHP in reST for fragments;Simon Schaufelberger;Martin Bless;28/4/2015 9:18;;;23/3/2015;;;100;23/3/2015 13:26;;;-282300;;;"in github you can syntax highlight a block with the following annotation:

<pre>
```php
//phpcode
```
</pre>

See https://github.com/TYPO3-Documentation/TYPO3CMS-Book-ExtbaseFluid/pull/23#issuecomment-84913690"
65715;Documentation Rendering;Feature;;Resolved;Must have;"Introduce flag TER=1 to distinguish TER extensions from ""static"" manuals";Martin Bless;Xavier Perseguers;16/3/2015 17:35;;;13/3/2015;;;80;13/3/2015 11:53;;;-271500;;;"We have at least two distinguishable kinds of documentation projects:

1. ""regular"" projects
2. TER extensions

The workflow differs at some points so we should set a flag.

Suggested procedure:

1. Set TER=1 in cron_rebuild.conf for the TER extensions. This should be easy as it's rather centralized.

2. Over time add TER=0 in the cron_rebuild.conf files of regular projects though this is technically not needed. But it's good for clarification and documentation.

3. cron_rebuild.sh should not remove existing 'stable' symlinks for regular projects.

4. The 'stable' symlink of Flow should point to 2.3"
63117;TypoScript Reference (TSref);Feature;;Closed;Must have;FLUIDTEMPLATE now supports fallback paths;Markus Klein;Francois Suter;27/11/2014 21:51;;6.2;20/11/2014;;;100;20/11/2014 23:54;;;-141750;;;"This is a backport from version 7.
Please check Feature-61361-FallbackTemplatePathsForFluidStandaloneView.rst file there."
62597;Documentation Rendering;Feature;Epic #60470: Enhance PDF rendering;Closed;Should have;Higher output resolution for images;Xavier Perseguers;Xavier Perseguers;3/11/2014 7:11;;;1/11/2014;;;100;1/11/2014 13:49;;;-115750;;;"Embedded images automatically adjust to fit the width of a text line.

However smaller images are shown at a (typically) 72 dpi resolution and don't look as good as larger ones which have been resized:

Small image:

!small.png!

Large image:

!large.png!"
62512;TSconfig;Feature;;New;Should have;Make properties linkable;Christian Weiske;;28/10/2014 12:49;;;28/10/2014;;;0;28/10/2014 11:31;;;-111500;;;"I wanted to link to property ""defLangBinding"" on page
http://docs.typo3.org/typo3cms/TSconfigReference/PageTsconfig/Mod/Index.html, but there is no anchor in the HTML for that property."
62099;TypoScript Reference (TSref);Feature;;Resolved;Should have;IMGRESOURCE: Document stdWrap for frame property;Stefan Froemken;Chris topher;28/11/2014 15:27;;6.2;8/10/2014;;;100;8/10/2014 10:13;;;-90850;;;"Hallo Docu-Team,

Please add ""stdWrap"" to property ""frame"" here:
https://review.typo3.org/#/c/33179/

Wouter has added them to the 6.2 branch here:
https://review.typo3.org/#/c/33188/2/typo3/sysext/frontend/Classes/ContentObject/ContentObjectRenderer.php

Stefan"
60719;Documentation Rendering;Feature;;Closed;Should have;Add piwik tracking code;Francois Suter;;21/8/2014 21:22;;;1/8/2014;;;100;1/8/2014 12:48;;;-22150;;;"As I'm cleaning up the tickets in OTRS, I moving this request to a Forge issue. From Steffen Gebert:

could you please include the following Piwik code in the docs.typo3.org web site?

Would be interesting to see the amount of visitors.
<pre>
<!-- Piwik -->
<script type=""text/javascript"">
  var _paq = _paq || [],
  _paq.push([""trackPageView""]),
  _paq.push([""enableLinkTracking""]),

  (function() {
    var u=((""https:"" == document.location.protocol) ? ""https"" : ""http"") +
""://piwik.typo3.org/"",
    _paq.push([""setTrackerUrl"", u+""piwik.php""]),
    _paq.push([""setSiteId"", ""26""]),
    var d=document, g=d.createElement(""script""), s=d.getElementsByTagName(""script"")[0],
g.type=""text/javascript"",
    g.defer=true, g.async=true, g.src=u+""piwik.js"", s.parentNode.insertBefore(g,s),
  })(),
</script>
<!-- End Piwik Code -->
</pre>"
