;0;1;2;3;4;5;6;7;
configoption;0;0;0;0;0;0;0;0;
newblocks;0;0;0;0;0;0;0;0;
smiles;0;0;0;0;0;0;0;0;
session;0;0;0;0;0;0;0;0;
priv_msgs;0;0;0;0;0;0;0;0;
imagecategory;0;0;0;0;0;0;0;0;
xoopsnotifications;0;0;0;0;0;0;0;0;
imagebody;0;0;0;0;0;0;0;0;
imgset_tplset_link;0;0;0;0;0;0;0;0;
block_module_link;0;0;0;0;0;0;0;0;
xoopscomments;0;0;0;0;0;0;0;0;
group_permission;0;0;0;0;0;0;0;0;
image;0;0;0;0;0;0;0;0;
imgset;0;0;0;0;0;0;0;0;
banner;0;0;0;0;0;0;0;0;
groups;0;0;0;0;0;0;0;0;
avatar;0;0;0;0;0;0;0;0;
modules;0;0;0;0;0;0;0;0;
users;0;0;0;0;0;0;0;0;
imgsetimg;0;0;0;0;0;0;0;0;
configcategory;0;0;0;0;0;0;0;0;
ranks;0;0;0;0;0;0;0;0;
cache_model;-;-;-;-;-;0;3;0;
bannerclient;0;0;0;0;0;0;0;0;
avatar_user_link;0;0;0;0;0;0;0;0;
online;0;0;0;0;0;0;0;0;
bannerfinish;0;0;0;0;0;0;0;0;
tplsource;0;0;0;0;0;0;0;0;
config;0;0;0;0;0;0;0;0;
tplset;0;0;0;0;0;0;0;0;
groups_users_link;0;0;0;0;0;0;0;0;
tplfile;0;0;0;0;0;0;0;0;
