table;dur;birth;death;chngs;s@s;s@e;sAvg
configoption;8;0;-;0;4;4;4.0
newblocks;8;0;-;0;20;20;20.0
smiles;8;0;-;0;5;5;5.0
session;8;0;-;0;4;4;4.0
priv_msgs;8;0;-;0;8;8;8.0
imagecategory;8;0;-;0;9;9;9.0
xoopsnotifications;8;0;-;0;7;7;7.0
imagebody;8;0;-;0;2;2;2.0
imgset_tplset_link;8;0;-;0;2;2;2.0
block_module_link;8;0;-;0;2;2;2.0
xoopscomments;8;0;-;0;20;20;20.0
group_permission;8;0;-;0;5;5;5.0
image;8;0;-;0;8;8;8.0
imgset;8;0;-;0;3;3;3.0
banner;8;0;-;0;10;10;10.0
groups;8;0;-;0;4;4;4.0
avatar;8;0;-;0;8;8;8.0
modules;8;0;-;0;13;13;13.0
users;8;0;-;0;31;31;31.0
imgsetimg;8;0;-;0;4;4;4.0
configcategory;8;0;-;1;3;3;3.0
ranks;8;0;-;0;6;6;6.0
cache_model;3;5;-;6;3;3;3.0
bannerclient;8;0;-;0;7;7;7.0
avatar_user_link;8;0;-;0;2;2;2.0
online;8;0;-;0;5;5;5.0
bannerfinish;8;0;-;0;6;6;6.0
tplsource;8;0;-;0;2;2;2.0
config;8;0;-;2;10;10;10.0
tplset;8;0;-;0;5;5;5.0
groups_users_link;8;0;-;0;3;3;3.0
tplfile;8;0;-;0;9;9;9.0
