;0;1;2;3;4;5;6;7;
avatar;8;8;8;8;8;8;8;8;
avatar_user_link;2;2;2;2;2;2;2;2;
banner;10;10;10;10;10;10;10;10;
bannerclient;7;7;7;7;7;7;7;7;
bannerfinish;6;6;6;6;6;6;6;6;
block_module_link;2;2;2;2;2;2;2;2;
cache_model;0;0;0;0;0;3;3;3;
config;10;10;10;10;10;10;10;10;
configcategory;3;3;3;3;3;3;3;3;
configoption;4;4;4;4;4;4;4;4;
group_permission;5;5;5;5;5;5;5;5;
groups;4;4;4;4;4;4;4;4;
groups_users_link;3;3;3;3;3;3;3;3;
image;8;8;8;8;8;8;8;8;
imagebody;2;2;2;2;2;2;2;2;
imagecategory;9;9;9;9;9;9;9;9;
imgset;3;3;3;3;3;3;3;3;
imgset_tplset_link;2;2;2;2;2;2;2;2;
imgsetimg;4;4;4;4;4;4;4;4;
modules;13;13;13;13;13;13;13;13;
newblocks;20;20;20;20;20;20;20;20;
online;5;5;5;5;5;5;5;5;
priv_msgs;8;8;8;8;8;8;8;8;
ranks;6;6;6;6;6;6;6;6;
session;4;4;4;4;4;4;4;4;
smiles;5;5;5;5;5;5;5;5;
tplfile;9;9;9;9;9;9;9;9;
tplset;5;5;5;5;5;5;5;5;
tplsource;2;2;2;2;2;2;2;2;
users;31;31;31;31;31;31;31;31;
xoopscomments;20;20;20;20;20;20;20;20;
xoopsnotifications;7;7;7;7;7;7;7;7;
