trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;rev_1.01.sql;rev_1.02.sql;online;Insertion:UpdateTable;online_pagecount;TINYINT(3);false;0;-
2;rev_1.02.sql;rev_1.03.sql;-;-;-;-;-;-;-
3;rev_1.03.sql;rev_1.04.sql;parser;Insertion:NewTable;parser_id;INT(10);true;0;-
3;rev_1.03.sql;rev_1.04.sql;parser;Insertion:NewTable;parser_pluginname;VARCHAR(100);false;0;-
3;rev_1.03.sql;rev_1.04.sql;parser;Insertion:NewTable;parser_regexp;VARCHAR(100);false;0;-
4;rev_1.04.sql;rev_1.05.sql;submitnews;Insertion:UpdateTable;submitnews_category;TINYINT(3);false;0;-
4;rev_1.04.sql;rev_1.05.sql;upload;Insertion:UpdateTable;upload_category;TINYINT(3);false;0;-
5;rev_1.05.sql;rev_1.06.sql;submitnews;Insertion:UpdateTable;submitnews_file;VARCHAR(100);false;0;-
6;rev_1.06.sql;rev_1.07.sql;comments;Insertion:UpdateTable;comment_pid;INT(10);false;0;-
6;rev_1.06.sql;rev_1.07.sql;comments;Insertion:UpdateTable;comment_subject;VARCHAR(100);false;0;-
7;rev_1.07.sql;rev_1.08.sql;user;Insertion:UpdateTable;user_customtitle;VARCHAR(100);false;0;-
8;rev_1.08.sql;rev_1.09.sql;chatbox;Update:TypeChange;cb_nick;VARCHAR(30);false;0;-
9;rev_1.09.sql;rev_1.10.sql;download;Insertion:UpdateTable;download_comment;TINYINT(3);false;0;-
10;rev_1.10.sql;rev_1.11.sql;userclass_classes;Insertion:UpdateTable;userclass_editclass;TINYINT(3);false;0;-
11;rev_1.11.sql;rev_1.12.sql;comments;Update:TypeChange;comment_type;VARCHAR(10);false;0;-
12;rev_1.12.sql;rev_1.13.sql;-;-;-;-;-;-;-
13;rev_1.13.sql;rev_1.14.sql;poll;Insertion:UpdateTable;poll_comment;TINYINT(3);false;0;-
14;rev_1.14.sql;rev_1.15.sql;-;-;-;-;-;-;-
15;rev_1.15.sql;rev_1.16.sql;menus;Insertion:UpdateTable;menu_pages;TEXT;false;0;-
