Table	Duration	Birth	Death	LastKnownVersion	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
address	17	0	16	16	11	11	11	1	3	1	0.18	0.06	3	10	1	11
category	17	0	16	16	6	6	6	1	2	1	0.12	0.06	2	10	1	11
category_description	17	0	16	16	3	4	3.29	1.33	1	1	0.06	0.06	1	10	1	11
country	17	0	16	16	5	5	5	1	1	1	0.06	0.06	1	10	1	11
coupon	17	0	16	16	11	12	11.94	1.09	3	1	0.18	0.06	3	10	1	11
coupon_description	17	0	16	16	4	4	4	1	0	0	0	0		10	0	10
coupon_product	16	1	16	16	3	3	3	1	0	0	0	0		10	0	10
coupon_redeem	15	0	14	14	5	5	5	1	0	0	0	0		10	0	10
currency	17	0	16	16	9	9	9	1	0	0	0	0		10	0	10
customer	17	0	16	16	13	13	13	1	0	0	0	0		10	0	10
download	17	0	16	16	5	5	5	1	0	0	0	0		10	0	10
download_description	17	0	16	16	3	3	3	1	0	0	0	0		10	0	10
extension	17	0	16	16	3	3	3	1	0	0	0	0		10	0	10
geo_zone	17	0	16	16	5	5	5	1	0	0	0	0		10	0	10
image	1	0	0	0	3	3	3	1	0	0	0	0		10	0	10
image_description	1	0	0	0	3	3	3	1	0	0	0	0		10	0	10
information	17	0	16	16	2	2	2	1	0	0	0	0		10	0	10
information_description	17	0	16	16	4	4	4	1	0	0	0	0		10	0	10
language	17	0	16	16	9	9	9	1	0	0	0	0		10	0	10
manufacturer	17	0	16	16	4	4	4	1	2	1	0.12	0.06	2	10	1	11
newsletter	1	0	0	0	5	5	5	1	0	0	0	0		10	0	10
oc2_setting	1	249	249	249	6	6	6	1	0	0	0	0		10	0	10
oc_address	390	17	-	411	11	12	11.95	1.09	6	4	0.02	0.01	1.5	20	1	21
oc_affiliate	377	35	-	411	30	31	30.92	1.03	5	4	0.01	0.01	1.25	20	1	21
oc_affiliate_activity	236	176	-	411	5	6	5.99	1.2	6	3	0.03	0.01	2	20	1	21
oc_affiliate_login	128	284	-	411	6	6	6	1	0	0	0	0		20	0	20
oc_affiliate_transaction	377	35	-	411	6	6	6	1	3	3	0.01	0.01	1	20	1	21
oc_api	192	220	-	411	6	6	6.45	1	17	9	0.09	0.05	1.89	20	1	21
oc_api_ip	92	320	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_api_session	91	321	-	411	8	8	8	1	1	1	0.01	0.01	1	20	1	21
oc_attribute	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_attribute_description	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_attribute_group	377	35	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_attribute_group_description	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_banner	377	35	-	411	3	3	3	1	1	1	0	0	1	20	1	21
oc_banner_image	377	35	-	411	4	7	4.88	1.75	3	2	0.01	0.01	1.5	20	1	21
oc_banner_image_description	343	35	377	377	4	4	4	1	0	0	0	0		10	0	10
oc_cart	75	337	-	411	9	9	8.09	1	2	2	0.03	0.03	1	20	1	21
oc_category	390	17	-	411	7	9	8.97	1.29	11	6	0.03	0.02	1.83	20	1	21
oc_category_description	390	17	-	411	5	7	6.61	1.4	6	4	0.02	0.01	1.5	20	1	21
oc_category_filter	295	117	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_category_path	321	91	-	411	3	3	3	1	2	1	0.01	0	2	20	1	21
oc_category_to_layout	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_category_to_store	389	23	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_country	390	17	-	411	5	7	6.96	1.4	5	4	0.01	0.01	1.25	20	1	21
oc_coupon	390	17	-	411	12	14	13.96	1.17	9	5	0.02	0.01	1.8	20	1	21
oc_coupon_category	327	85	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_coupon_description	13	17	34	34	4	4	4	1	0	0	0	0		10	0	10
oc_coupon_history	377	35	-	411	6	6	6	1	2	2	0.01	0.01	1	20	1	21
oc_coupon_product	390	17	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_currency	390	17	-	411	9	9	9	1	1	1	0	0	1	20	1	21
oc_custom_field	310	102	-	411	6	7	6.33	1.17	12	10	0.04	0.03	1.2	20	1	21
oc_custom_field_customer_group	294	118	-	411	3	3	3.09	1	2	2	0.01	0.01	1	20	1	21
oc_custom_field_description	310	102	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_custom_field_location	11	197	207	207	4	4	4	1	0	0	0	0		10	0	10
oc_custom_field_to_customer_group	69	102	170	170	2	2	2	1	0	0	0	0		10	0	10
oc_custom_field_value	310	102	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_custom_field_value_description	310	102	-	411	4	4	4	1	0	0	0	0		20	0	20
oc_customer	390	17	-	411	13	23	19.9	1.77	15	12	0.04	0.03	1.25	20	1	21
oc_customer_activity	247	165	-	411	5	6	5.95	1.2	8	4	0.03	0.02	2	20	1	21
oc_customer_ban_ip	220	107	326	326	2	2	2	1	0	0	0	0		10	0	10
oc_customer_field	76	102	177	177	6	7	6.09	1.17	2	2	0.03	0.03	1	10	1	11
oc_customer_group	389	23	-	411	2	3	3.53	1.5	11	2	0.03	0.01	5.5	20	1	21
oc_customer_group_description	354	58	-	411	4	4	4	1	1	1	0	0	1	20	1	21
oc_customer_history	311	101	-	411	4	4	4	1	1	1	0	0	1	20	1	21
oc_customer_ip	377	35	-	411	4	4	4	1	1	1	0	0	1	20	1	21
oc_customer_ip_blacklist	49	58	106	106	2	2	2	1	1	1	0.02	0.02	1	10	1	11
oc_customer_login	128	284	-	411	6	6	6	1	0	0	0	0		20	0	20
oc_customer_online	354	58	-	411	5	5	5	1	3	2	0.01	0.01	1.5	20	1	21
oc_customer_reward	377	35	-	411	6	6	6	1	1	1	0	0	1	20	1	21
oc_customer_search	8	404	-	411	11	11	11	1	0	0	0	0		20	0	20
oc_customer_transaction	377	35	-	411	6	6	6	1	3	3	0.01	0.01	1	20	1	21
oc_customer_wishlist	71	341	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_download	390	17	-	411	5	4	4.5	0.8	2	2	0.01	0.01	1	20	1	21
oc_download_description	390	17	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_event	177	235	-	411	4	6	4.3	1.5	14	7	0.08	0.04	2	20	1	21
oc_extension	390	17	-	411	3	3	3	1	2	1	0.01	0	2	20	1	21
oc_filter	328	84	-	411	2	3	2.96	1.5	1	1	0	0	1	20	1	21
oc_filter_description	328	84	-	411	3	4	3.96	1.33	1	1	0	0	1	20	1	21
oc_filter_group	316	96	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_filter_group_description	316	96	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_filter_group_to_category	21	96	116	116	2	2	2	1	0	0	0	0		10	0	10
oc_filter_value	12	84	95	95	3	3	3	1	0	0	0	0		10	0	10
oc_filter_value_description	12	84	95	95	4	4	4	1	0	0	0	0		10	0	10
oc_geo_zone	390	17	-	411	5	5	5	1	0	0	0	0		20	0	20
oc_image	1	173	173	173	5	5	5	1	0	0	0	0		10	0	10
oc_image_description	1	173	173	173	3	3	3	1	0	0	0	0		10	0	10
oc_information	390	17	-	411	3	4	3.89	1.33	3	3	0.01	0.01	1	20	1	21
oc_information_description	390	17	-	411	4	7	5.87	1.75	5	3	0.01	0.01	1.67	20	1	21
oc_information_to_layout	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_information_to_store	389	23	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_language	390	17	-	411	9	8	8.67	0.89	2	2	0.01	0.01	1	20	1	21
oc_layout	377	35	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_layout_module	148	264	-	411	6	5	5.03	0.83	9	4	0.06	0.03	2.25	20	1	21
oc_layout_route	377	35	-	411	4	4	4	1	3	3	0.01	0.01	1	20	1	21
oc_length_class	389	23	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_length_class_description	389	23	-	411	4	4	4	1	0	0	0	0		20	0	20
oc_location	273	139	-	411	12	9	9.67	0.75	16	5	0.06	0.02	3.2	20	1	21
oc_manufacturer	390	17	-	411	5	4	4	0.8	0	0	0	0		20	0	20
oc_manufacturer_to_store	389	23	-	411	2	2	2	1	0	0	0	0		20	0	20
oc_marketing	257	155	-	411	6	6	6	1	2	1	0.01	0	2	20	1	21
oc_menu	24	388	-	411	6	6	6	1	0	0	0	0		20	0	20
oc_menu_description	24	388	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_menu_module	24	388	-	411	4	4	4	1	0	0	0	0		20	0	20
oc_modification	266	146	-	411	7	9	8.52	1.29	13	8	0.05	0.03	1.62	20	1	21
oc_module	122	265	-	411	4	4	3.98	1	6	3	0.05	0.02	2	20	1	21
oc_option	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_option_description	377	35	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_option_value	377	35	-	411	3	4	3.94	1.33	1	1	0	0	1	20	1	21
oc_option_value_description	377	35	-	411	4	4	4	1	0	0	0	0		20	0	20
oc_order	390	17	-	411	40	61	58.83	1.52	65	24	0.17	0.06	2.71	20	2	22
oc_order_custom_field	202	210	-	411	7	8	8	1.14	2	2	0.01	0.01	1	20	1	21
oc_order_download	163	17	184	184	7	7	7	1	0	0	0	0		10	0	10
oc_order_field	76	102	177	177	6	7	6.09	1.17	2	2	0.03	0.03	1	10	1	11
oc_order_fraud	253	58	310	310	53	53	53	1	2	1	0.01	0	2	10	1	11
oc_order_history	390	17	-	411	6	6	6	1	3	3	0.01	0.01	1	20	1	21
oc_order_misc	10	58	68	68	3	3	3	1	0	0	0	0		10	0	10
oc_order_option	390	17	-	411	7	8	8	1.14	6	2	0.02	0.01	3	20	1	21
oc_order_product	390	17	-	411	10	10	9.92	1	10	6	0.03	0.02	1.67	20	1	21
oc_order_recurring	221	190	-	411	20	20	20	1	11	4	0.05	0.02	2.75	20	1	21
oc_order_recurring_transaction	221	190	-	411	5	6	5.93	1.2	3	2	0.01	0.01	1.5	20	1	21
oc_order_status	390	17	-	411	3	3	3	1	0	0	0	0		20	0	20
oc_order_total	390	17	-	411	6	6	6.39	1	4	4	0.01	0.01	1	20	1	21
