trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1038403486;1026823911.sql;1038403486.sql;25;25;247;247;0;0;0;0;0;0;0;0
2;1055590723;1038403486.sql;1055590723.sql;25;25;247;247;0;0;0;0;0;0;0;0
3;1115312467;1055590723.sql;1115312467.sql;25;58;247;564;43;10;151;41;85;0;319;112
4;1115475554;1115312467.sql;1115475554.sql;58;58;564;564;0;0;0;0;0;0;0;0
5;1120486423;1115475554.sql;1120486423.sql;58;60;564;571;2;0;0;0;0;0;7;0
6;1128376376;1120486423.sql;1128376376.sql;60;60;571;571;0;0;0;0;0;0;0;0
7;1128461164;1128376376.sql;1128461164.sql;60;60;571;573;0;0;8;6;0;0;0;0
8;1129744810;1128461164.sql;1129744810.sql;60;61;573;576;1;0;1;1;0;0;3;0
9;1131477859;1129744810.sql;1131477859.sql;61;61;576;577;0;0;1;0;0;0;0;0
10;1135791320;1131477859.sql;1135791320.sql;61;61;577;577;0;0;0;0;1;0;0;0
11;1136587814;1135791320.sql;1136587814.sql;61;60;577;574;0;1;0;0;0;0;0;3
12;1137005767;1136587814.sql;1137005767.sql;60;60;574;574;0;0;3;3;0;0;0;0
13;1139097585;1137005767.sql;1139097585.sql;60;60;574;574;0;0;0;0;1;0;0;0
14;1139772060;1139097585.sql;1139772060.sql;60;61;574;578;1;0;3;2;5;0;3;0
15;1140644546;1139772060.sql;1140644546.sql;61;61;578;578;2;2;2;2;0;0;7;7
16;1141653836;1140644546.sql;1141653836.sql;61;61;578;577;0;0;1;2;0;0;0;0
17;1142205595;1141653836.sql;1142205595.sql;61;61;577;578;0;0;5;4;0;0;0;0
18;1142629352;1142205595.sql;1142629352.sql;61;62;578;584;1;0;1;0;0;0;5;0
19;1142969014;1142629352.sql;1142969014.sql;62;62;584;583;0;0;0;1;1;0;0;0
20;1143288433;1142969014.sql;1143288433.sql;62;62;583;586;0;0;7;4;2;0;0;0
21;1144343745;1143288433.sql;1144343745.sql;62;62;586;587;0;0;1;0;0;0;0;0
22;1144501947;1144343745.sql;1144501947.sql;62;62;587;587;0;0;0;0;2;0;0;0
23;1145112516;1144501947.sql;1145112516.sql;62;62;587;587;0;0;2;2;60;0;0;0
24;1145279390;1145112516.sql;1145279390.sql;62;62;587;588;0;0;1;0;0;0;0;0
25;1145313403;1145279390.sql;1145313403.sql;62;62;588;590;0;0;2;0;0;0;0;0
26;1145581744;1145313403.sql;1145581744.sql;62;62;590;590;0;0;2;2;0;2;0;0
27;1145722720;1145581744.sql;1145722720.sql;62;62;590;589;0;0;0;1;0;0;0;0
28;1146053181;1145722720.sql;1146053181.sql;62;62;589;589;0;0;0;0;11;0;0;0
29;1146949208;1146053181.sql;1146949208.sql;62;62;589;589;0;0;0;0;0;0;0;0
30;1147467178;1146949208.sql;1147467178.sql;62;62;589;589;0;0;0;0;1;0;0;0
31;1147801607;1147467178.sql;1147801607.sql;62;62;589;589;0;0;0;0;0;0;0;0
32;1148079025;1147801607.sql;1148079025.sql;62;62;589;589;0;0;0;0;9;0;0;0
33;1148146327;1148079025.sql;1148146327.sql;62;62;589;589;0;0;0;0;7;0;0;0
34;1148747061;1148146327.sql;1148747061.sql;62;62;589;588;0;0;0;1;0;0;0;0
35;1148843181;1148747061.sql;1148843181.sql;62;62;588;589;0;0;1;0;0;0;0;0
36;1148844253;1148843181.sql;1148844253.sql;62;62;589;589;0;0;0;0;0;0;0;0
37;1149025572;1148844253.sql;1149025572.sql;62;62;589;589;0;0;0;0;1;0;0;0
38;1149169662;1149025572.sql;1149169662.sql;62;62;589;589;0;0;0;0;0;0;0;0
39;1149366880;1149169662.sql;1149366880.sql;62;62;589;589;0;0;0;0;0;0;0;0
40;1149708743;1149366880.sql;1149708743.sql;62;62;589;589;10;10;0;0;0;0;41;41
41;1150476891;1149708743.sql;1150476891.sql;62;61;589;586;0;1;0;0;0;0;0;3
42;1150762185;1150476891.sql;1150762185.sql;61;61;586;586;0;0;0;0;0;0;0;0
43;1150866968;1150762185.sql;1150866968.sql;61;61;586;586;0;0;0;0;0;0;0;0
44;1151781112;1150866968.sql;1151781112.sql;61;61;586;586;0;0;0;0;1;0;0;0
45;1152204413;1151781112.sql;1152204413.sql;61;61;586;586;0;0;0;0;2;0;0;0
46;1152462237;1152204413.sql;1152462237.sql;61;61;586;598;0;0;12;0;0;0;0;0
47;1152795116;1152462237.sql;1152795116.sql;61;61;598;597;0;0;10;11;42;0;0;0
48;1153106611;1152795116.sql;1153106611.sql;61;61;597;600;0;0;3;0;0;0;0;0
49;1153150366;1153106611.sql;1153150366.sql;61;61;600;600;0;0;1;1;1;0;0;0
50;1153735716;1153150366.sql;1153735716.sql;61;61;600;600;0;0;0;0;7;0;0;0
51;1154268592;1153735716.sql;1154268592.sql;61;61;600;601;0;0;1;0;0;0;0;0
52;1154408793;1154268592.sql;1154408793.sql;61;61;601;602;0;0;1;0;0;0;0;0
53;1154446187;1154408793.sql;1154446187.sql;61;61;602;603;0;0;27;26;0;0;0;0
54;1154792968;1154446187.sql;1154792968.sql;61;61;603;607;0;0;79;75;15;2;0;0
55;1154892035;1154792968.sql;1154892035.sql;61;61;607;607;0;0;0;0;1;0;0;0
56;1154956962;1154892035.sql;1154956962.sql;61;61;607;607;0;0;0;0;0;0;0;0
57;1155333166;1154956962.sql;1155333166.sql;61;61;607;607;0;0;0;0;7;0;0;0
58;1155387256;1155333166.sql;1155387256.sql;61;61;607;607;0;0;0;0;7;0;0;0
