table;dur;birth;death;chngs;s@s;s@e;sAvg
phpbb_vote_desc;3;0;2;0;5;5;5.0
phpbb_profile_fields;225;3;227;38;17;24;18.088888
phpbb_auth_options;37;3;39;1;5;5;5.0
phpbb_forums_marking;37;3;39;0;3;3;3.0
phpbb_profile_fields_lang;225;3;227;4;5;5;5.0
phpbb_extension_groups;225;3;227;3;9;9;9.0
phpbb_bots;225;3;227;5;6;6;6.0
phpbb_auth_roles;25;15;39;4;4;5;4.68
phpbb_sessions;228;0;227;16;8;13;12.109649
phpbb_privmsgs_rules;225;3;227;7;9;9;9.0
phpbb_search_results;225;3;227;8;4;4;4.0
phpbb_auth_access;3;0;2;0;14;14;14.0
phpbb_bookmarks;225;3;227;3;3;2;2.3822222
phpbb_reports;225;3;227;46;8;15;10.044444
phpbb_zebra;225;3;227;2;4;4;4.0
phpbb_users_passwd;6;5;10;0;3;3;3.0
phpbb_modules;225;3;227;23;8;11;10.9377775
phpbb_disallow;228;0;227;6;2;2;2.0
phpbb_privmsgs;228;0;227;59;11;22;21.833334
phpbb_notification_types;43;175;227;4;2;3;2.6744187
phpbb_config_text;31;196;227;0;2;2;2.0
phpbb_forums;228;0;227;177;22;45;40.285088
phpbb_confirm;225;3;227;6;3;6;5.1422224
phpbb_topics_posted;220;8;227;1;3;3;3.0
phpbb_auth_roles_data;25;15;39;1;3;3;3.0
phpbb_attachments;225;3;227;11;14;15;14.733334
phpbb_auth_presets;12;3;14;5;5;4;4.9166665
phpbb_lang;225;3;227;7;6;6;6.0
phpbb_search_wordlist;225;3;227;7;3;4;3.64
phpbb_posts;228;0;227;104;13;29;26.399122
phpbb_acl_roles_data;188;40;227;0;3;3;3.0
phpbb_topics_track;188;40;227;0;4;4;4.0
phpbb_users;228;0;227;180;37;67;71.77631
phpbb_bbcodes;225;3;227;10;8;10;9.724444
phpbb_user_notifications;49;160;227;6;4;5;4.9387755
phpbb_vote_results;3;0;2;0;4;4;4.0
phpbb_teampage;37;170;227;0;5;5;5.0
phpbb_auth_groups;37;3;39;5;4;5;4.7027025
phpbb_sessions_keys;223;5;227;1;4;4;4.0
phpbb_reports_reasons;225;3;227;6;4;4;4.0
phpbb_notifications;49;160;227;14;8;8;8.102041
phpbb_styles;225;3;227;61;7;8;7.3155556
phpbb_ranks;228;0;227;9;5;5;5.0
phpbb_poll_options;188;40;227;1;4;4;4.0
phpbb_themes_name;3;0;2;0;31;31;31.0
phpbb_themes;3;0;2;0;41;41;41.0
phpbb_forums_access;188;40;227;1;3;3;3.0
phpbb_topics_watch;228;0;227;3;3;3;3.0
phpbb_warnings;210;18;227;2;5;5;5.0
phpbb_auth_preset_data;1;14;14;0;3;3;3.0
phpbb_categories;3;0;2;0;3;3;3.0
phpbb_log;225;3;227;0;10;10;10.0
phpbb_styles_template;144;3;155;21;6;8;6.548611
phpbb_topics;228;0;227;153;12;38;33.561405
phpbb_extensions;225;3;227;0;3;3;3.0
phpbb_forums_watch;225;3;227;1;3;3;3.0
phpbb_poll_voters;37;3;39;0;4;4;4.0
phpbb_login_attempts;100;123;227;2;7;7;7.04
phpbb_privmsgs_folder;225;3;227;2;4;4;4.0
phpbb_privmsgs_text;3;0;2;0;3;3;3.0
phpbb_styles_template_data;135;3;155;2;5;5;5.0
phpbb_migrations;42;137;227;1;6;7;6.952381
phpbb_styles_imageset;134;3;155;321;81;4;55.791046
phpbb_cache;38;3;40;0;3;3;3.0
phpbb_vote_voters;3;0;2;0;3;3;3.0
phpbb_user_group;228;0;227;4;3;4;3.9868422
phpbb_profile_fields_data;225;3;227;16;1;9;1.2844445
phpbb_sitelist;225;3;227;0;4;4;4.0
phpbb_privmsgs_to;225;3;227;16;10;10;10.0
phpbb_smilies;228;0;227;16;4;8;7.9473686
phpbb_moderator_cache;225;3;227;7;6;6;6.0
phpbb_search_wordmatch;225;3;227;0;3;3;3.0
phpbb_forum_access;37;3;39;0;3;3;3.0
phpbb_oauth_accounts;25;203;227;0;3;3;3.0
phpbb_drafts;225;3;227;4;7;7;7.0
phpbb_words;228;0;227;7;3;3;3.0
phpbb_auth_users;37;3;39;5;4;5;4.7027025
phpbb_ext;88;123;227;2;3;3;2.9772727
phpbb_acl_groups;188;40;227;0;5;5;5.0
phpbb_acl_users;188;40;227;0;5;5;5.0
phpbb_forum_prune;3;0;2;0;4;4;4.0
phpbb_groups;228;0;227;91;6;21;19.701754
phpbb_icons;225;3;227;3;6;6;6.0
phpbb_topics_marking;37;3;39;1;5;4;4.135135
phpbb_profile_lang;225;3;227;3;5;5;5.0
phpbb_styles_theme;144;3;155;29;7;7;6.8125
phpbb_poll_votes;188;40;227;0;4;4;4.0
phpbb_banlist;228;0;227;19;4;9;8.934211
phpbb_acl_options;188;40;227;1;5;5;5.0
phpbb_acl_roles;188;40;227;1;5;5;5.0
phpbb_posts_text;3;0;2;0;4;4;4.0
phpbb_forums_track;188;40;227;2;3;3;3.0
phpbb_styles_imageset_data;52;85;155;2;7;7;7.0
phpbb_config;228;0;227;6;2;3;2.9868422
phpbb_oauth_tokens;25;203;227;0;4;4;4.0
phpbb_poll_results;37;3;39;2;4;4;4.0
