trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_3928;rev_3908.sql;rev_3928.sql;10;10;33;33;0;0;0;0;0;0;0;0
2;rev_4111;rev_3928.sql;rev_4111.sql;10;11;33;47;1;0;0;0;0;0;14;0
3;rev_4259;rev_4111.sql;rev_4259.sql;11;11;47;48;0;0;1;0;0;0;0;0
4;rev_4451;rev_4259.sql;rev_4451.sql;11;11;48;48;0;0;0;0;0;0;0;0
5;rev_4561;rev_4451.sql;rev_4561.sql;11;11;48;48;0;0;0;0;0;0;0;0
6;rev_4602;rev_4561.sql;rev_4602.sql;11;11;48;48;0;0;0;0;0;0;0;0
7;rev_4717;rev_4602.sql;rev_4717.sql;11;11;48;48;0;0;0;0;1;0;0;0
8;rev_4885;rev_4717.sql;rev_4885.sql;11;10;48;48;0;1;2;0;0;0;0;2
9;rev_4982;rev_4885.sql;rev_4982.sql;10;10;48;49;0;0;1;0;0;0;0;0
10;rev_5084;rev_4982.sql;rev_5084.sql;10;10;49;49;0;0;0;0;0;0;0;0
11;rev_5194;rev_5084.sql;rev_5194.sql;10;10;49;49;0;0;0;0;3;0;0;0
12;rev_5212;rev_5194.sql;rev_5212.sql;10;10;49;49;0;0;0;0;1;0;0;0
13;rev_5417;rev_5212.sql;rev_5417.sql;10;10;49;49;0;0;0;0;0;0;0;0
14;rev_5868;rev_5417.sql;rev_5868.sql;10;10;49;49;0;0;0;0;0;0;0;0
15;rev_5870;rev_5868.sql;rev_5870.sql;10;10;49;49;0;0;0;0;0;0;0;0
16;rev_5921;rev_5870.sql;rev_5921.sql;10;10;49;49;0;0;0;0;0;0;0;0
17;rev_6203;rev_5921.sql;rev_6203.sql;10;10;49;49;0;0;0;0;0;0;0;0
18;rev_7117;rev_6203.sql;rev_7117.sql;10;10;49;49;0;0;0;0;1;0;0;0
19;rev_8335;rev_7117.sql;rev_8335.sql;10;10;49;49;0;0;0;0;0;0;0;0
20;rev_8713;rev_8335.sql;rev_8713.sql;10;10;49;49;0;0;0;0;0;0;0;0
21;rev_8718;rev_8713.sql;rev_8718.sql;10;10;49;49;0;0;0;0;0;0;0;0
