Table	Duration	Birth	Death	LastKnownVersion	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
accesslog	20	2	-	21	14	14	14	1	1	1	0.05	0.05	1	20	1	21
link	22	0	-	21	2	3	2.59	1.5	1	1	0.05	0.05	1	20	1	21
member	22	0	-	21	2	2	2	1	0	0	0	0		20	0	20
nonempty	22	0	-	21	1	1	1	1	0	0	0	0		20	0	20
page	22	0	-	21	4	5	4.86	1.25	1	1	0.05	0.05	1	20	1	21
pref	22	0	-	21	2	4	3.27	2	5	2	0.23	0.09	2.5	20	1	21
rating	22	0	-	21	6	6	6	1	1	1	0.05	0.05	1	20	1	21
recent	22	0	-	21	4	4	4	1	0	0	0	0		20	0	20
session	22	0	-	21	4	4	4	1	1	1	0.05	0.05	1	20	1	21
user	8	0	7	7	2	2	2	1	0	0	0	0		10	0	10
version	22	0	-	21	6	6	6	1	0	0	0	0		20	0	20
