Date;hash;release
1070875513;bb79330521286602ff65e82ec6737148875181e3;refs/tags/1.1.0
1178735238;8904f9de42467464e0a3ef1d93b11811429e2f30;refs/tags/1.10.0
1177974189;79f3123fee6443c699ea69c3872c5bcaaa4ff422;refs/tags/1.10.0rc1
1178313226;c230f824ffb9c117eac5ac8de4f7e755753fcbd1;refs/tags/1.10.0rc2
1184355520;2c5bb6fd1de3753bfbd60ced76884a07cc872fe8;refs/tags/1.10.1
1189460192;3cfe2da4fbb1e7952edfb91e1a7c2b8a7b89b479;refs/tags/1.10.2
1201134134;2f923416b95b2916e3ec7a698716abebc610c613;refs/tags/1.10.3
1204522273;f786253509acdab2b86fefd56bd7a852da306a6e;refs/tags/1.10.4
1189460211;7a703849af737152245ce04a592a66b42a59adbd;refs/tags/1.11.0
1189024609;6cf9f206423fd71816055389c8f4692229175bce;refs/tags/1.11.0rc1
1201134183;e530d80f0eb4424e55f31744c26ad6c891b2b383;refs/tags/1.11.1
1204523470;961e6ab71ef87fcd3d1fab53f0b1b38109b1f1b1;refs/tags/1.11.2
1206050694;33c8b6247e6ca4e68e1982d3950986b632fc4f0d;refs/tags/1.12.0
1205273071;64a2742b888ce2643c5dc511383177b3f27e47cf;refs/tags/1.12.0rc1
1222967688;fbc321636c640fe0f040a8c168105a59d711c361;refs/tags/1.12.1
1229331691;a61d22ac0f8982473c3cc698024aa6bfaeb1f2e6;refs/tags/1.12.2
1229501971;66f48da1e0792a45245e0e47e0c9f37ceaf5998d;refs/tags/1.12.3
1233975247;c50f0e8785c1c8cde8fb1efda1d23f966e93c098;refs/tags/1.12.4
1218724270;ef9c3a12bd32c40a538ac82b975455cec0633702;refs/tags/1.13.0
1216830591;790a6387b38a1a7cd4eace439ef4b592bc7b7a06;refs/tags/1.13.0rc1
1218429355;2e495d1cd9ac8b9fc3f068be878eba0d01d740a9;refs/tags/1.13.0rc2
1220716402;24e2932635db3e2ae5c9854204f87c97f279e42a;refs/tags/1.13.1
1222967614;b1b6a5d17fa3b572c206262e067409830602831a;refs/tags/1.13.2
1229332753;09582e83f282d9d6640f0137b5c03af8a005c1d6;refs/tags/1.13.3
1233975247;6a6451a5a6f45c120024fbca3456f9155ea58cea;refs/tags/1.13.4
1235298290;d16ee4291d691453caa7f9374653137c97c1efc4;refs/tags/1.13.5
1235298472;0034fc9250e40cdbe19659952f25bad4639a0f46;refs/tags/1.14.0
1233975247;3512ac484b06024f3baddf73e9d50eb2f5806d22;refs/tags/1.14.0rc1
1247505207;f19be260ba0a4ac5f37512b80840002eec62dede;refs/tags/1.14.1
1244613208;781e0c79ae6c950bb23f5795a4bde0d38ec46dd1;refs/tags/1.15.0
1242444976;9ff6ebfef93c53b2a14c46c964cb213266f9f067;refs/tags/1.15.0rc1
1247505207;6a30017acfec48e1225667f83ea3e0fa8bc78f3a;refs/tags/1.15.1
1268088770;304c5cdd53d4e32f658e4a845b60493de803c51f;refs/tags/1.15.2
1270599618;4c6fc2ddedfd157dd64d0b0b193171c0771d3f71;refs/tags/1.15.3
1275030503;d331489e2a28d5547cff8d1b7442f39f0b459fe2;refs/tags/1.15.4
1280301150;a5aca8185671e85e21754d333c11fcccdea02934;refs/tags/1.15.5
1280301063;5ff9e7b357373398ccb61c0af1359471fe3a3e4b;refs/tags/1.16.0
1268434759;608692addd30f04044c2d0abc159955eb3694e5f;refs/tags/1.16.0beta1
1270599618;444a24b82d0bb6aa59182cdfdb6ac2214b030782;refs/tags/1.16.0beta2
1275030568;ba381ac02db88a97b04787050ea79e62e7f2924a;refs/tags/1.16.0beta3
1294122924;ff88c7ed6f76a3a09680341818ad897b2b7a4b12;refs/tags/1.16.1
1296601231;6f7b43b49927128a6f92f1398f7fed43f1ea39ca;refs/tags/1.16.2
1302577641;674ff5526e52295fe8973d659184f4d4726fbaba;refs/tags/1.16.3
