Date	Author	NumAffectedFiles	Contains .sql
2015-10	Hierarch.pan,hierarch	17	0
2015-11	wuyingsong,onlymellb,litong,Hierarch.pan,jingwei.shi	332	0
2016-11	chao,吴迎松	913	4
2016-12	吴迎松,ChaoMa,zhangliming,root	147	2
2017-01	吴迎松,Chao	10	0
2017-02	吴迎松	24	1
2017-03	吴迎松,Chao	46	0
2017-05	Chao	37	1
2017-06	吴迎松	5	0
2017-07	吴迎松	96	0
2017-08	吴迎松	20	0
2017-09	吴迎松,chao,leviathan1995	975	0
2018-03	吴迎松	507	1
2018-04	吴迎松	100	1
2018-05	吴迎松	14	1
2018-06	吴迎松	15	0
2018-07	吴迎松	5	0
2018-08	吴迎松	10	0
2018-10	吴迎松	42	1
2018-11	吴迎松	4	0
2018-12	吴迎松	28	0
2019-01	liuts,吴迎松	17	2
2019-03	吴迎松	33	0
