Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	40	1019	0.0	1.0	0.9951171875	1.0	0.0048828125	
1	0	0	0.03125	1.0	0.9951171875	0.96875	0.0048828125	
2	0	0	0.0625	1.0	0.9951171875	0.9375	0.0048828125	
3	0	0	0.09375	1.0	0.9951171875	0.90625	0.0048828125	
4	0	0	0.125	1.0	0.9951171875	0.875	0.0048828125	
5	0	0	0.15625	1.0	0.9951171875	0.84375	0.0048828125	
6	0	0	0.1875	1.0	0.9951171875	0.8125	0.0048828125	
7	0	0	0.21875	1.0	0.9951171875	0.78125	0.0048828125	
8	0	0	0.25	1.0	0.9951171875	0.75	0.0048828125	
9	0	0	0.28125	1.0	0.9951171875	0.71875	0.0048828125	
10	0	0	0.3125	1.0	0.9951171875	0.6875	0.0048828125	
11	0	0	0.34375	1.0	0.9951171875	0.65625	0.0048828125	
12	0	0	0.375	1.0	0.9951171875	0.625	0.0048828125	
13	0	0	0.40625	1.0	0.9951171875	0.59375	0.0048828125	
14	0	0	0.4375	1.0	0.9951171875	0.5625	0.0048828125	
15	0	0	0.46875	1.0	0.9951171875	0.53125	0.0048828125	
16	0	0	0.5	1.0	0.9951171875	0.5	0.0048828125	
17	0	0	0.53125	1.0	0.9951171875	0.46875	0.0048828125	
18	0	0	0.5625	1.0	0.9951171875	0.4375	0.0048828125	
19	0	0	0.59375	1.0	0.9951171875	0.40625	0.0048828125	
20	0	0	0.625	1.0	0.9951171875	0.375	0.0048828125	
21	0	0	0.65625	1.0	0.9951171875	0.34375	0.0048828125	
22	0	0	0.6875	1.0	0.9951171875	0.3125	0.0048828125	
23	0	0	0.71875	1.0	0.9951171875	0.28125	0.0048828125	
24	0	0	0.75	1.0	0.9951171875	0.25	0.0048828125	
25	0	0	0.78125	1.0	0.9951171875	0.21875	0.0048828125	
26	0	0	0.8125	1.0	0.9951171875	0.1875	0.0048828125	
27	0	0	0.84375	1.0	0.9951171875	0.15625	0.0048828125	
28	0	0	0.875	1.0	0.9951171875	0.125	0.0048828125	
29	0	0	0.90625	1.0	0.9951171875	0.09375	0.0048828125	
30	0	0	0.9375	1.0	0.9951171875	0.0625	0.0048828125	
31	0	0	0.96875	1.0	0.9951171875	0.03125	0.0048828125	
32	0	5	1.0	1.0	1.0	0.0	0.0	
