Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	0	2311	0.0	0.0	0.36560670779939886	0.0	-0.36560670779939886	
1	0	30	0.1	0.0	0.3703527922797026	-0.1	-0.3703527922797026	
2	0	10	0.2	0.0	0.3719348204398038	-0.2	-0.3719348204398038	
3	0	1460	0.3	0.0	0.6029109318145862	-0.3	-0.6029109318145862	
4	0	17	0.4	0.0	0.6056003796867584	-0.4	-0.6056003796867584	
5	0	10	0.5	0.0	0.6071824078468596	-0.5	-0.6071824078468596	
6	0	0	0.6	0.0	0.6071824078468596	-0.6	-0.6071824078468596	
7	42	2457	0.7	1.0	0.9958867267837367	0.30000000000000004	0.0041132732162633134	
8	0	16	0.8	1.0	0.9984179718398987	0.19999999999999996	0.0015820281601013342	
9	0	8	0.9	1.0	0.9996835943679797	0.09999999999999998	3.1640563202028904E-4	
10	0	2	1.0	1.0	1.0	0.0	0.0	
